RSI_W,SMA_W,Buy,Sell,Hold,Pos,Ret,MDD,WR,Trades
3,100,20,70,10,7,3.9879943412503005,-49.54237493991315,58.077879038939514,1207
3,100,20,70,10,10,-4.538833268299669,-51.95462567978099,58.83306320907617,1851
3,100,20,70,10,15,-12.640505457999629,-52.22564626587302,59.52529668956902,3202
3,100,20,70,20,7,25.88864723085016,-50.693083821520524,60.93023255813953,1075
3,100,20,70,20,10,19.109187913000248,-50.09001841984136,60.67216981132076,1696
3,100,20,70,20,15,-3.3306560394996687,-50.94999193466552,60.19518996165911,2869
3,100,20,70,30,7,56.730722642450296,-41.47653215919728,60.91417910447762,1072
3,100,20,70,30,10,28.060277288350143,-48.44970179624365,60.67415730337079,1691
3,100,20,70,30,15,-5.108244911299686,-49.616901061714266,60.203045685279186,2955
3,100,20,75,10,7,12.145309249400205,-35.826187011421574,57.25646123260437,1006
3,100,20,75,10,10,-11.343048712949756,-47.225886261178005,57.05128205128205,1872
3,100,20,75,10,15,-19.342689401949777,-49.223130203072905,58.0116159890673,2927
3,100,20,75,20,7,73.23444767860019,-32.48297778729609,60.65573770491803,976
3,100,20,75,20,10,19.36309946595014,-46.242634593647,58.93630179344464,1617
3,100,20,75,20,15,-1.8503256596997364,-49.24662856114912,58.795269770879536,2706
3,100,20,75,30,7,63.434009892250366,-30.39468061211193,60.02358490566038,848
3,100,20,75,30,10,41.99964455550025,-44.02451393626315,59.691482226693495,1491
3,100,20,75,30,15,1.6078967636001362,-50.688818905649214,59.42028985507246,2553
3,100,20,80,10,7,-2.7165462664498707,-45.95173448623473,54.97674418604651,1075
3,100,20,80,10,10,-0.7181059977497739,-51.11773414713908,56.16580310880829,1930
3,100,20,80,10,15,-9.199049536499826,-48.189444593168254,56.63464959089291,2811
3,100,20,80,20,7,25.97995909755022,-42.92523008258253,59.133489461358316,854
3,100,20,80,20,10,7.437229974100212,-51.70174136057931,58.54450942170241,1539
3,100,20,80,20,15,-13.680767227849799,-49.83583655448224,58.65589111016589,2351
3,100,20,80,30,7,32.730634944200254,-38.994047887567795,59.286592865928654,813
3,100,20,80,30,10,19.786173789100058,-43.63479132286186,59.34676858929813,1439
3,100,20,80,30,15,-4.6073580338497955,-48.889595499288,59.2967032967033,2275
3,100,25,70,10,7,14.683204858350196,-47.4923266589902,58.21749795584628,1223
3,100,25,70,10,10,4.512135429950104,-52.7638123649799,59.26121372031662,1895
3,100,25,70,10,15,4.464768889600346,-51.39288328260485,59.83844911147011,3095
3,100,25,70,20,7,48.776089224300236,-46.312382094333735,61.141304347826086,1104
3,100,25,70,20,10,19.499979257000245,-53.479732379766396,60.801393728223,1722
3,100,25,70,20,15,-2.3108281140498232,-52.54945112681691,60.414610069101684,3039
3,100,25,70,30,7,61.738149285850305,-41.25544657843837,61.038961038961034,1078
3,100,25,70,30,10,26.3248451467504,-51.55046141077315,60.884749708963916,1718
3,100,25,70,30,15,-2.4328662886498265,-51.67548784356267,60.35737921906023,3022
3,100,25,75,10,7,4.685981665200223,-39.14395560784995,56.2007874015748,1016
3,100,25,75,10,10,-2.8485015937997127,-43.13256168373022,57.30042016806722,1904
3,100,25,75,10,15,-1.3246598527497766,-44.25587282388291,58.058540200074106,2699
3,100,25,75,20,7,80.02696771870015,-35.47115431440417,60.24340770791075,986
3,100,25,75,20,10,50.67160024925015,-38.80130897242137,59.40656565656566,1584
3,100,25,75,20,15,-5.543089983499783,-45.12392711892064,59.01960784313726,2550
3,100,25,75,30,7,63.101551738450226,-33.569577677827404,59.90675990675991,858
3,100,25,75,30,10,64.89296991355025,-34.68654511620725,59.83550376970528,1459
3,100,25,75,30,15,16.521540564450255,-45.55906993030803,59.45094509450946,2222
3,100,25,80,10,7,-10.215152925799842,-50.51128481119984,54.7787610619469,1130
3,100,25,80,10,10,7.41193798885027,-42.284035606348006,56.41911341393207,1737
3,100,25,80,10,15,-6.097365050249781,-48.23350130414529,56.50519031141869,2890
3,100,25,80,20,7,14.530842374900121,-43.56933377384994,57.82710280373832,856
3,100,25,80,20,10,16.55772800965021,-44.60671962211896,58.229598893499315,1446
3,100,25,80,20,15,-3.781446011849965,-47.088899734312086,58.57577073382545,2303
3,100,25,80,30,7,22.219401223350175,-39.96561918590503,58.17073170731707,820
3,100,25,80,30,10,15.15794080010009,-36.822647990970324,57.971014492753625,1311
3,100,25,80,30,15,6.15028771395012,-42.3767024676408,59.92063492063492,2016
3,100,30,70,10,7,12.798590506350148,-47.27311923159255,57.78145695364238,1208
3,100,30,70,10,10,5.8198656643000835,-53.382822700097385,58.91835673426937,1923
3,100,30,70,10,15,-1.6327638286998125,-50.219491621761634,59.02999361837907,3134
3,100,30,70,20,7,20.84283877565012,-49.57569013624235,59.723502304147466,1085
