종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
054620,AP시스템,"29,850","0","0.00","18,432,286,500","764,457,335,850"
130960,CJ E&M,"71,700","800","1.13","28,321,186,000","2,777,090,781,300"
035760,CJ오쇼핑,"160,100","-2,800","1.72","1,431,150,900","995,104,431,800"
051500,CJ프레시웨이,"38,050","-950","2.44","468,262,800","451,713,847,300"
058820,CMG제약,"3,235","55","1.73","7,718,397,700","351,667,934,340"
028150,GS홈쇼핑,"171,900","-100","0.06","787,539,100","1,128,093,750,000"
095340,ISC,"16,750","100","0.60","2,106,344,850","217,031,961,000"
067290,JW신약,"7,860","-280","3.44","2,675,393,490","306,893,369,880"
035600,KG이니시스,"12,050","-50","0.41","858,983,600","320,289,976,050"
060720,KH바텍,"13,200","-350","2.58","2,280,060,100","264,000,000,000"
160550,NEW,"11,000","-150","1.35","1,613,595,600","301,467,166,000"
060250,NHN한국사이버결제,"12,450","-350","2.73","1,447,974,250","228,385,825,350"
178920,SKC코오롱PI,"14,850","850","6.07","10,553,564,200","436,089,881,700"
036490,SK머티리얼즈,"180,000","600","0.33","6,485,876,200","1,898,581,140,000"
052260,SK바이오랜드,"17,600","-350","1.95","310,391,200","264,000,000,000"
063080,게임빌,"47,900","-800","1.64","2,193,797,600","312,421,810,400"
098460,고영,"45,100","-100","0.22","1,606,730,000","616,469,690,100"
121440,골프존유원홀딩스,"7,390","-370","4.77","2,974,882,600","316,564,085,020"
014200,광림,"7,940","80","1.02","15,304,608,540","385,077,978,840"
089600,나스미디어,"38,400","-1,100","2.78","227,051,100","336,180,134,400"
168330,내츄럴엔도텍,"17,300","-250","1.42","2,459,337,500","336,942,273,600"
095660,네오위즈게임즈,"11,150","-200","1.76","468,800,400","244,352,339,200"
041140,넥슨지티,"8,500","0","0.00","1,004,283,040","300,673,237,000"
031390,녹십자셀,"26,650","-550","2.02","521,243,200","311,696,774,350"
054050,농우바이오,"16,000","50","0.31","665,497,350","228,800,000,000"
222040,뉴트리바이오텍,"60,000","-1,500","2.44","2,081,701,900","618,840,000,000"
068240,다원시스,"13,000","50","0.39","1,380,082,000","312,483,197,000"
054670,대한뉴팜,"18,750","-600","3.10","1,926,695,800","269,154,750,000"
067080,대화제약,"23,350","0","0.00","2,262,031,850","425,553,142,900"
192080,더블유게임즈,"38,500","-1,350","3.39","2,179,396,350","661,605,406,000"
213420,덕산네오룩스,"31,000","-800","2.52","1,756,373,650","372,240,870,000"
100130,동국S&C,"5,510","-160","2.82","3,034,546,730","314,857,930,000"
086450,동국제약,"56,000","-1,400","2.44","749,101,200","497,952,000,000"
005290,동진쎄미켐,"10,400","300","2.97","11,110,428,740","493,295,535,200"
025900,동화기업,"30,300","-300","0.98","255,533,300","435,009,706,800"
039840,디오,"39,600","50","0.13","2,296,742,900","600,787,558,800"
171120,라이온켐텍,"21,100","800","3.94","1,766,640,800","324,644,705,500"
141080,레고켐바이오,"35,250","-200","0.56","659,576,750","350,427,546,750"
