종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"25,150","-50","0.20","3,088,746,800","384,327,738,150"
035760,CJ ENM,"139,800","1,000","0.72","7,002,689,000","3,065,695,729,200"
058820,CMG제약,"3,860","25","0.65","1,934,088,815","536,124,061,840"
195940,HK이노엔,"52,600","100","0.19","10,618,292,000","1,520,376,647,400"
035900,JYP Ent.,"50,700","0","0.00","17,275,514,700","1,799,722,844,400"
035600,KG이니시스,"19,050","50","0.26","3,541,425,350","531,579,467,700"
060720,KH바텍,"26,750","50","0.19","16,681,789,300","633,371,573,500"
108320,LX세미콘,"167,800","500","0.30","34,667,405,300","2,729,149,540,000"
060250,NHN한국사이버결제,"29,850","-500","1.65","4,796,460,750","1,075,089,987,750"
030190,NICE평가정보,"17,900","-100","0.56","765,314,750","1,086,795,278,000"
218410,RFHIC,"35,550","-100","0.28","6,574,203,500","947,919,313,350"
036540,SFA반도체,"7,780","90","1.17","28,461,690,540","1,279,501,157,340"
098460,고영,"23,800","100","0.42","3,201,458,950","1,633,983,169,000"
078130,국일제지,"4,060","-5","0.12","2,621,246,350","518,126,940,380"
151910,나노스,"6,300","550","9.57","9,293,209,870","936,339,686,100"
007390,네이처셀,"18,600","800","4.49","12,816,125,150","1,164,865,101,600"
033640,네패스,"39,000","650","1.69","11,441,542,350","899,308,878,000"
119860,다나와,"26,050","-200","0.76","1,109,328,250","340,599,113,100"
032190,다우데이타,"14,900","-200","1.32","2,270,964,650","570,670,000,000"
068240,다원시스,"29,400","50","0.17","7,235,043,200","929,937,258,600"
045390,대아티아이,"5,600","-80","1.41","3,585,190,520","398,448,523,200"
078600,대주전자재료,"103,200","-3,400","3.19","31,264,598,600","1,597,597,197,600"
213420,덕산네오룩스,"57,400","1,100","1.95","10,214,051,900","1,425,309,674,600"
194480,데브시스터즈,"105,800","600","0.57","32,931,599,900","1,249,138,280,000"
086450,동국제약,"21,450","-350","1.61","1,269,705,250","953,667,000,000"
005290,동진쎄미켐,"46,700","-4,300","8.43","432,566,246,450","2,401,056,869,800"
025900,동화기업,"93,500","-5,300","5.36","13,176,081,500","1,888,810,049,500"
141080,레고켐바이오,"57,100","1,300","2.33","19,834,841,200","1,383,813,817,800"
058470,리노공업,"199,000","700","0.35","5,284,397,900","3,033,231,630,000"
267980,매일유업,"68,200","-500","0.73","418,076,400","534,936,111,600"
215200,메가스터디교육,"81,000","-1,400","1.70","3,727,546,900","960,812,280,000"
235980,메드팩토,"59,300","700","1.19","14,938,975,000","1,216,263,280,600"
086900,메디톡스,"142,500","-1,400","0.97","4,250,551,400","891,249,720,000"
140410,메지온,"223,300","6,200","2.86","32,259,707,300","1,987,415,999,800"
080160,모두투어,"22,200","350","1.60","1,768,076,450","419,580,000,000"
053030,바이넥스,"15,350","150","0.99","3,618,854,650","487,532,086,800"
064550,바이오니아,"47,300","-1,300","2.67","55,198,318,600","1,220,826,764,300"
323990,박셀바이오,"43,400","0","0.00","5,600,254,800","660,678,200,000"
090460,비에이치,"23,150","-50","0.22","14,924,326,400","782,703,166,800"
100090,삼강엠앤티,"21,600","200","0.93","15,012,796,250","790,006,348,800"
000250,삼천당제약,"44,900","1,550","3.58","5,586,405,800","1,022,285,040,900"
038500,삼표시멘트,"4,720","-10","0.21","820,600,020","509,364,964,320"
038540,상상인,"8,190","-110","1.33","570,699,240","453,138,883,470"
089980,상아프론테크,"51,900","-400","0.76","12,075,264,200","829,831,020,300"
006730,서부T&D,"9,300","360","4.03","7,605,731,810","551,108,058,300"
092190,서울바이오시스,"14,100","850","6.42","20,468,571,600","538,953,507,300"
046890,서울반도체,"15,600","200","1.30","7,523,356,250","909,564,240,000"
178320,서진시스템,"41,950","-1,250","2.89","11,478,579,150","788,253,965,950"
015750,성우하이텍,"5,750","40","0.70","1,652,040,820","460,000,000,000"
299660,셀리드,"52,300","3,200","6.52","10,868,493,800","508,941,341,600"
268600,셀리버리,"43,800","100","0.23","6,817,028,400","759,220,396,200"
068760,셀트리온제약,"124,500","100","0.08","14,270,898,400","4,550,575,969,500"
091990,셀트리온헬스케어,"80,200","0","0.00","43,078,480,100","12,433,285,539,600"
357780,솔브레인,"278,000","-500","0.18","5,650,435,600","2,162,441,348,000"
036830,솔브레인홀딩스,"34,350","-250","0.72","1,030,025,350","720,115,323,600"
253450,스튜디오드래곤,"94,500","3,500","3.85","27,844,426,400","2,836,340,482,500"
222800,심텍,"47,050","1,400","3.07","63,117,270,300","1,498,737,428,150"
222080,씨아이에스,"14,700","300","2.08","21,849,909,300","903,131,044,200"
096530,씨젠,"61,500","500","0.82","41,006,003,600","3,211,898,631,000"
025980,아난티,"10,200","-350","3.32","16,182,690,100","869,354,802,600"
092040,아미코젠,"33,600","1,850","5.83","7,513,262,550","663,657,388,800"
084850,아이티엠반도체,"42,400","-200","0.47","1,610,718,750","980,426,393,600"
027360,아주IB투자,"4,030","30","0.75","1,147,727,635","486,916,512,680"
067160,아프리카TV,"202,900","200","0.10","5,511,674,600","2,332,288,224,300"
053800,안랩,"100,100","1,200","1.21","204,811,263,100","1,002,386,885,500"
131370,알서포트,"7,930","-40","0.50","3,812,806,800","422,407,968,190"
