종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"35,350","250","0.71","3,033,400,450","483,553,816,550"
130960,CJ E&M,"96,100","-1,600","1.64","28,110,019,500","3,722,153,752,900"
035760,CJ오쇼핑,"224,800","-6,200","2.68","9,582,822,000","1,397,248,446,400"
051500,CJ프레시웨이,"38,500","-1,300","3.27","1,693,941,550","457,056,061,000"
058820,CMG제약,"7,580","1,340","21.47","270,124,910,280","825,365,309,520"
028150,GS홈쇼핑,"215,800","-1,000","0.46","4,039,415,200","1,416,187,500,000"
078150,HB테크놀러지,"3,680","100","2.79","8,537,363,140","290,684,767,680"
067290,JW신약,"8,810","250","2.92","9,147,628,030","357,226,206,100"
035600,KG이니시스,"18,400","-400","2.13","4,823,854,000","513,047,310,400"
060250,NHN한국사이버결제,"16,700","-100","0.60","3,057,063,550","327,111,300,100"
036540,SFA반도체,"2,345","-5","0.21","1,290,466,115","330,824,643,415"
178920,SKC코오롱PI,"46,350","-900","1.90","53,466,367,650","1,361,129,024,700"
036490,SK머티리얼즈,"176,800","-3,200","1.78","9,956,931,600","1,864,828,586,400"
063080,게임빌,"92,500","200","0.22","18,732,817,800","610,055,260,000"
098460,고영,"81,600","-900","1.09","6,431,827,500","1,116,773,601,600"
121440,골프존뉴딘,"5,280","-40","0.75","526,564,560","226,178,399,040"
014200,광림,"3,905","70","1.83","1,056,283,815","189,386,587,830"
089600,나스미디어,"74,000","-500","0.67","2,236,532,500","647,847,134,000"
168330,내츄럴엔도텍,"23,750","450","1.93","5,496,423,200","480,487,200,000"
095660,네오위즈,"12,750","500","4.08","2,231,211,650","279,416,352,000"
007390,네이처셀,"24,000","950","4.12","61,559,971,100","1,242,020,424,000"
041140,넥슨지티,"13,550","300","2.26","5,066,772,300","479,308,513,100"
031390,녹십자셀,"49,200","500","1.03","11,087,043,800","575,440,198,800"
054050,농우바이오,"16,500","-50","0.30","776,271,500","235,950,000,000"
222040,뉴트리바이오텍,"22,700","800","3.65","5,658,431,150","468,255,600,000"
068240,다원시스,"18,250","1,700","10.27","35,065,710,950","443,422,841,500"
067080,대화제약,"25,100","350","1.41","10,407,571,150","457,446,847,400"
192080,더블유게임즈,"50,800","-900","1.74","6,453,940,300","893,852,111,200"
