종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"53,700","0","0.00","3,665,773,300","1,177,595,569,800"
195940,HK이노엔,"35,950","100","0.28","4,108,358,150","1,018,459,581,450"
028300,HLB,"73,400","300","0.41","45,655,584,300","9,643,837,582,200"
067630,HLB생명과학,"10,030","20","0.20","5,066,065,460","1,222,494,323,430"
115450,HLB테라퓨틱스,"12,390","680","5.81","17,049,829,580","992,933,769,870"
403870,HPSP,"26,450","400","1.54","12,081,357,050","2,201,036,115,200"
095340,ISC,"70,000","-2,100","2.91","15,158,872,900","1,483,794,060,000"
035900,JYP Ent.,"67,600","-2,300","3.29","33,926,583,300","2,401,996,459,200"
035600,KG이니시스,"8,770","-70","0.79","665,364,290","244,721,886,180"
417200,LS머트리얼즈,"11,850","70","0.59","2,361,257,400","801,684,009,150"
060250,NHN KCP,"7,570","470","6.62","1,185,141,130","304,015,825,270"
218410,RFHIC,"12,820","-280","2.14","1,843,776,470","339,530,546,440"
036540,SFA반도체,"3,085","0","0.00","703,001,615","507,360,034,755"
067160,SOOP,"90,200","-700","0.77","4,324,257,900","1,036,827,983,400"
399720,가온칩스,"41,500","2,400","6.14","7,344,640,700","481,288,780,000"
098460,고영,"8,890","780","9.62","14,855,398,550","610,340,771,950"
215000,골프존,"65,500","100","0.15","808,089,000","411,039,682,500"
420770,기가비스,"25,250","700","2.85","497,279,250","320,062,889,500"
121600,나노신소재,"58,100","-100","0.17","3,355,231,900","708,592,131,800"
253590,네오셈,"9,020","280","3.20","2,415,658,040","395,699,859,280"
095660,네오위즈,"18,510","-380","2.01","1,899,835,550","404,569,664,160"
007390,네이처셀,"20,650","-850","3.95","29,208,043,000","1,328,975,271,400"
033640,네패스,"6,750","200","3.05","232,799,520","155,649,613,500"
348210,넥스틴,"51,800","700","1.37","1,934,367,050","540,649,550,000"
225570,넥슨게임즈,"13,470","80","0.60","2,624,437,070","887,136,543,780"
032190,다우데이타,"10,070","-90","0.89","332,619,200","385,681,000,000"
068240,다원시스,"9,120","120","1.33","529,683,290","348,050,545,440"
078600,대주전자재료,"72,400","-2,400","3.21","9,978,138,000","1,120,794,933,200"
393890,더블유씨피,"10,960","-130","1.17","1,681,318,800","370,920,858,240"
213420,덕산네오룩스,"27,450","-300","1.08","2,335,883,950","681,615,863,550"
317330,덕산테코피아,"30,250","600","2.02","2,796,671,250","619,416,666,000"
194480,데브시스터즈,"28,350","650","2.35","1,891,808,250","341,352,427,500"
086450,동국제약,"16,300","-220","1.33","1,129,781,080","724,698,000,000"
005290,동진쎄미켐,"21,000","100","0.48","3,154,505,250","1,079,704,374,000"
025900,동화기업,"8,210","-70","0.85","542,324,750","415,075,309,850"
131970,두산테스나,"24,600","-400","1.60","1,290,439,150","475,450,054,800"
376300,디어유,"33,800","-2,250","6.24","9,826,652,050","802,358,122,800"
281740,레이크머티리얼즈,"10,900","-60","0.55","1,368,569,180","716,462,973,200"
277810,레인보우로보틱스,"211,500","48,800","29.99","153,857,677,100","4,103,069,967,000"
328130,루닛,"65,600","1,800","2.82","66,825,811,100","1,898,654,240,000"
141080,리가켐바이오,"108,800","-200","0.18","77,362,158,200","3,983,204,774,400"
058470,리노공업,"198,000","6,400","3.34","21,833,453,700","3,017,989,260,000"
267980,매일유업,"34,700","-50","0.14","535,250,500","272,174,238,600"
215200,메가스터디교육,"42,250","-1,550","3.54","1,778,167,950","484,267,598,750"
086900,메디톡스,"121,100","-3,700","2.96","4,807,362,300","883,847,986,700"
140410,메지온,"30,350","-500","1.62","2,597,299,350","909,387,277,950"
118990,모트렉스,"10,060","570","6.01","2,478,949,180","250,111,619,400"
095500,미래나노텍,"7,560","-60","0.79","702,753,290","234,435,592,440"
064550,바이오니아,"19,410","560","2.97","2,208,912,850","500,977,748,310"
310210,보로노이,"80,400","400","0.50","9,545,258,400","1,475,869,996,800"
018290,브이티,"40,700","700","1.75","37,837,069,550","1,456,978,884,900"
000250,삼천당제약,"150,800","2,300","1.55","47,625,281,000","3,537,386,777,600"
006730,서부T&D,"5,500","80","1.48","268,683,680","362,598,076,500"
046890,서울반도체,"7,100","-200","2.74","3,553,035,710","413,968,340,000"
178320,서진시스템,"27,350","500","1.86","9,411,408,300","1,538,381,541,900"
171090,선익시스템,"45,900","4,250","10.20","6,500,490,150","435,793,189,500"
015750,성우하이텍,"5,020","55","1.11","770,753,050","401,600,000,000"
365340,성일하이텍,"35,350","-150","0.42","819,108,450","429,431,800,000"
108860,셀바스AI,"12,490","850","7.30","10,623,834,340","336,165,727,100"
068760,셀트리온제약,"54,800","-1,900","3.35","8,980,885,800","2,279,876,567,600"
357780,솔브레인,"163,000","-2,400","1.45","2,318,395,900","1,267,906,258,000"
036830,솔브레인홀딩스,"35,450","-650","1.80","1,737,576,600","743,175,785,200"
253450,스튜디오드래곤,"42,600","-450","1.05","2,192,685,300","1,280,492,014,800"
025320,시노펙스,"6,080","150","2.53","3,242,693,880","509,613,050,880"
065350,신성델타테크,"107,700","-8,200","7.08","65,602,680,600","2,960,021,199,600"
257720,실리콘투,"33,700","1,000","3.06","59,407,188,000","2,051,427,985,800"
222800,심텍,"10,920","-110","1.00","1,173,811,320","347,847,241,560"
222080,씨아이에스,"7,470","70","0.95","1,328,163,420","577,967,637,330"
352480,씨앤씨인터내셔널,"44,650","-1,050","2.30","4,522,970,100","447,122,465,650"
096530,씨젠,"24,200","1,400","6.14","32,633,097,850","1,263,869,054,800"
025980,아난티,"5,400","100","1.89","2,049,514,340","478,599,181,200"
099190,아이센스,"15,400","130","0.85","864,759,900","425,675,604,200"
