종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"66,700","2,100","3.25","4,925,829,500","1,462,674,571,800"
195940,HK이노엔,"49,850","550","1.12","7,041,776,175","1,412,245,066,350"
028300,HLB,"52,900","2,100","4.13","56,005,421,000","6,975,029,519,000"
403870,HPSP,"34,450","950","2.84","43,731,995,175","2,880,384,067,600"
095340,ISC,"120,000","8,900","8.01","36,203,392,400","2,543,646,960,000"
035900,JYP Ent.,"77,500","4,900","6.75","101,571,416,100","2,753,768,130,000"
060370,LS마린솔루션,"29,500","-450","1.50","6,446,062,850","1,541,046,193,000"
417200,LS머트리얼즈,"12,420","240","1.97","8,649,036,000","840,246,024,780"
060250,NHN KCP,"15,360","450","3.02","3,516,226,265","616,866,984,960"
218410,RFHIC,"35,050","2,400","7.35","13,092,755,900","928,945,642,100"
036540,SFA반도체,"4,870","295","6.45","14,612,575,159","800,921,675,610"
067160,SOOP,"68,900","1,100","1.62","2,952,306,500","791,989,446,300"
399720,가온칩스,"52,800","1,100","2.13","8,498,624,200","612,502,176,000"
036620,감성코퍼레이션,"5,760","-10","0.17","3,651,194,790","521,301,720,960"
098460,고영,"27,150","4,250","18.56","253,212,207,225","1,863,976,598,250"
215000,골프존,"56,700","-1,100","1.90","1,687,623,300","355,816,030,500"
121600,나노신소재,"47,750","-2,200","4.40","5,056,873,875","583,084,370,250"
253590,네오셈,"11,170","210","1.92","10,616,118,720","490,018,561,880"
095660,네오위즈,"25,400","1,100","4.53","1,763,198,600","555,163,126,400"
007390,네이처셀,"22,200","400","1.83","5,553,244,350","1,430,458,243,200"
348210,넥스틴,"73,500","1,600","2.23","5,045,345,700","770,059,867,500"
225570,넥슨게임즈,"12,430","420","3.50","1,857,398,250","818,641,962,820"
032190,다우데이타,"18,450","50","0.27","1,592,104,740","706,635,000,000"
078600,대주전자재료,"61,000","-2,500","3.94","10,645,124,250","944,316,173,000"
213420,덕산네오룩스,"37,800","1,300","3.56","5,214,585,350","938,618,566,200"
194480,데브시스터즈,"33,250","2,950","9.74","4,213,836,725","403,294,237,500"
086450,동국제약,"17,080","-70","0.41","2,735,444,380","772,535,573,600"
033500,동성화인텍,"24,050","-1,300","5.13","4,373,245,225","721,247,330,700"
005290,동진쎄미켐,"39,650","3,000","8.19","38,746,998,525","2,038,584,687,100"
025900,동화기업,"8,380","-90","1.06","356,041,820","423,670,048,300"
131970,두산테스나,"54,100","900","1.69","28,459,494,350","1,045,603,575,800"
347850,디앤디파마텍,"88,900","-2,900","3.16","92,314,849,200","3,870,299,727,000"
376300,디어유,"40,100","0","0.00","10,060,286,925","951,910,080,600"
281740,레이크머티리얼즈,"14,330","-420","2.85","6,659,787,635","941,918,752,840"
277810,레인보우로보틱스,"493,500","23,000","4.89","115,478,212,500","9,573,829,923,000"
108490,로보티즈,"269,500","8,500","3.26","99,806,478,000","3,926,638,716,000"
328130,루닛,"43,950","2,850","6.93","19,982,914,275","1,285,833,986,700"
141080,리가켐바이오,"170,800","-2,900","1.67","50,535,583,750","6,253,045,730,400"
058470,리노공업,"64,900","4,600","7.63","47,402,257,500","4,946,149,065,000"
215200,메가스터디교육,"40,750","-1,400","3.32","1,931,894,100","422,382,552,000"
086900,메디톡스,"122,400","1,600","1.32","3,362,675,200","893,336,032,800"
140410,메지온,"98,000","7,900","8.77","23,768,202,000","2,975,663,572,000"
059090,미코,"13,730","350","2.62","2,768,205,650","458,812,361,940"
053030,바이넥스,"15,500","520","3.47","3,649,829,230","506,604,914,000"
310210,보로노이,"215,000","-2,500","1.15","26,690,164,500","3,954,521,015,000"
018290,브이티,"18,450","940","5.37","5,325,335,690","644,676,911,100"
083650,비에이치아이,"52,700","400","0.76","15,901,391,750","1,630,768,562,500"
000250,삼천당제약,"244,500","12,000","5.16","41,756,382,750","5,735,351,904,000"
006730,서부T&D,"12,790","-310","2.37","12,110,186,620","836,810,345,170"
046890,서울반도체,"6,380","170","2.74","781,948,470","371,988,452,000"
178320,서진시스템,"25,750","450","1.78","6,023,699,350","1,438,736,934,250"
171090,선익시스템,"53,000","500","0.95","1,136,994,550","506,759,712,000"
014620,성광벤드,"25,300","-450","1.75","2,837,881,750","671,901,309,200"
015750,성우하이텍,"6,800","-10","0.15","3,197,189,870","544,000,000,000"
365340,성일하이텍,"41,600","700","1.71","1,195,404,050","508,994,553,600"
108860,셀바스AI,"12,570","370","3.03","2,746,558,610","338,318,910,300"
068760,셀트리온제약,"61,900","3,900","6.72","21,209,227,750","2,703,910,848,000"
357780,솔브레인,"279,000","17,000","6.49","14,866,018,750","2,170,219,914,000"
036830,솔브레인홀딩스,"38,150","850","2.28","804,721,750","799,778,736,400"
304100,솔트룩스,"28,100","1,450","5.44","3,145,419,975","353,887,325,500"
253450,스튜디오드래곤,"46,550","3,800","8.89","15,656,865,550","1,399,223,081,900"
025320,시노펙스,"6,020","-50","0.82","2,707,504,930","528,155,946,920"
065350,신성델타테크,"56,800","100","0.18","4,887,860,200","1,561,088,246,400"
257720,실리콘투,"40,350","1,700","4.40","24,319,222,075","2,468,286,487,800"
222800,심텍,"50,800","1,450","2.94","31,976,206,500","1,896,984,674,400"
050890,쏠리드,"7,820","450","6.11","6,153,316,515","475,116,095,880"
222080,씨아이에스,"6,670","20","0.30","1,843,851,985","516,070,166,130"
352480,씨앤씨인터내셔널,"32,900","3,250","10.96","2,133,851,675","448,423,742,900"
096530,씨젠,"24,450","650","2.73","3,711,161,800","1,276,925,553,300"
025980,아난티,"8,360","560","7.18","15,983,683,685","791,688,120,960"
214430,아이쓰리시스템,"79,800","3,300","4.31","9,126,252,850","583,115,757,000"
053800,안랩,"60,400","300","0.50","1,898,894,650","672,040,962,400"
196170,알테오젠,"457,000","7,500","1.67","171,237,958,000","24,452,145,116,000"
101490,에스앤에스텍,"51,300","3,000","6.21","15,994,780,525","1,094,479,292,700"
056190,에스에프에이,"24,150","750","3.21","2,059,905,525","867,196,554,000"
041510,에스엠,"132,400","-2,600","1.93","62,407,859,050","3,031,256,956,000"
237690,에스티팜,"115,000","-4,200","3.52","31,003,372,400","2,380,693,660,000"
058610,에스피지,"82,700","1,400","1.72","138,458,560,700","1,834,067,672,000"
298380,에이비엘바이오,"195,500","-4,500","2.25","195,630,540,100","10,776,969,757,500"
101360,에코앤드림,"16,770","-850","4.82","3,091,837,545","298,273,131,780"
086520,에코프로,"88,300","-2,500","2.75","159,878,483,650","11,989,034,221,600"
247540,에코프로비엠,"141,700","-4,900","3.34","66,208,137,300","13,858,450,444,800"
383310,에코프로에이치엔,"23,350","-700","2.91","2,377,481,925","489,764,662,200"
036810,에프에스티,"31,700","1,050","3.43","15,458,601,325","696,016,231,600"
348370,엔켐,"64,300","1,400","2.23","10,486,383,500","1,399,646,713,500"
290650,엘앤씨바이오,"62,400","1,300","2.13","23,499,975,400","1,536,216,240,000"
058970,엠로,"38,400","1,050","2.81","1,743,847,300","474,606,259,200"
039200,오스코텍,"43,300","-1,900","4.20","16,407,555,025","1,656,579,020,800"
226950,올릭스,"139,800","-600","0.43","56,883,593,250","2,822,545,643,400"
232140,와이씨,"15,700","1,220","8.43","29,268,102,300","1,288,111,995,000"
122870,와이지엔터테인먼트,"70,400","1,000","1.44","46,169,174,850","1,315,849,849,600"
032820,우리기술,"3,735","95","2.61","5,396,597,042","622,836,610,650"
041190,우리기술투자,"7,530","170","2.31","3,181,620,985","632,520,000,000"
240810,원익IPS,"80,000","12,100","17.82","200,742,873,350","3,926,712,080,000"
074600,원익QnC,"22,800","1,350","6.29","14,171,771,175","599,366,400,000"
336570,원텍,"8,250","500","6.45","12,047,589,455","742,243,400,250"
069080,웹젠,"12,990","90","0.70","1,476,450,920","449,465,483,160"
112040,위메이드,"26,800","1,850","7.41","5,290,457,650","909,819,344,400"
101730,위메이드맥스,"6,430","270","4.38","541,304,315","538,855,128,980"
388720,유일로보틱스,"83,000","-200","0.24","10,994,776,100","970,833,985,000"
056080,유진로봇,"14,690","290","2.01","10,058,227,860","551,053,512,880"
084370,유진테크,"85,600","10,600","14.13","51,630,341,500","1,961,613,195,200"
179900,유티아이,"24,000","4,010","20.06","7,312,586,950","470,217,240,000"
