종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"106,600","-1,300","1.20","11,508,867,400","2,337,647,816,400"
195940,HK이노엔,"39,950","300","0.76","6,320,044,800","1,154,734,735,050"
028300,HLB,"32,100","300","0.94","18,036,992,300","3,738,555,036,900"
067630,HLB생명과학,"11,950","160","1.36","9,509,115,350","1,155,763,824,100"
403870,HPSP,"60,300","2,900","5.05","22,975,860,100","1,223,471,925,000"
095340,ISC,"36,150","550","1.54","6,749,884,900","628,990,876,650"
035900,JYP Ent.,"72,100","0","0.00","19,044,048,300","2,559,369,173,200"
035600,KG이니시스,"13,250","120","0.91","1,236,717,970","369,733,750,500"
060720,KH바텍,"15,450","-190","1.21","5,094,234,890","365,816,478,900"
060250,NHN한국사이버결제,"14,420","450","3.22","6,639,494,410","579,116,010,620"
030190,NICE평가정보,"13,240","170","1.30","1,256,469,880","803,864,216,800"
218410,RFHIC,"24,650","350","1.44","3,222,765,150","660,285,598,100"
151910,SBW생명과학,"795","41","5.44","1,218,184,734","140,821,623,810"
036540,SFA반도체,"4,470","155","3.59","4,859,463,015","735,137,554,410"
098460,고영,"16,990","260","1.55","4,768,052,210","1,166,444,287,450"
215000,골프존,"140,000","-100","0.07","8,317,248,600","878,558,100,000"
078130,국일제지,"2,200","45","2.09","1,778,808,465","280,758,440,600"
121600,나노신소재,"89,000","2,600","3.01","21,301,805,800","965,501,637,000"
007390,네이처셀,"14,080","40","0.28","5,855,734,260","881,931,156,480"
033640,네패스,"17,990","630","3.63","3,486,471,890","414,835,043,980"
348210,넥스틴,"51,000","900","1.80","3,168,295,800","507,790,374,000"
225570,넥슨게임즈,"15,040","10","0.07","11,155,735,070","989,046,853,760"
064260,다날,"5,640","310","5.82","13,487,421,650","388,872,585,600"
032190,다우데이타,"49,950","-1,050","2.06","41,075,919,400","1,913,085,000,000"
068240,다원시스,"15,550","-70","0.45","2,370,875,180","538,971,070,450"
078600,대주전자재료,"87,500","1,000","1.16","9,020,091,100","1,354,551,887,500"
298540,더네이쳐홀딩스,"30,350","50","0.17","3,324,375,250","441,430,309,600"
393890,더블유씨피,"50,600","4,050","8.70","18,391,858,400","1,705,043,810,800"
213420,덕산네오룩스,"36,500","750","2.10","5,652,464,300","906,338,033,500"
086450,동국제약,"17,030","140","0.83","1,463,334,030","757,153,800,000"
005290,동진쎄미켐,"35,200","350","1.00","30,851,743,800","1,809,790,188,800"
025900,동화기업,"54,000","400","0.75","1,700,206,300","1,090,991,862,000"
131970,두산테스나,"32,900","1,750","5.62","12,403,901,450","485,590,083,300"
376300,디어유,"44,750","3,500","8.48","50,745,349,800","1,055,412,237,250"
141080,레고켐바이오,"40,250","1,850","4.82","30,887,822,050","1,026,496,595,250"
058470,리노공업,"171,200","-1,600","0.93","8,939,077,600","2,609,493,744,000"
267980,매일유업,"51,300","200","0.39","307,921,000","402,378,629,400"
215200,메가스터디교육,"73,900","700","0.96","6,082,228,700","876,592,932,000"
235980,메드팩토,"22,750","550","2.48","3,317,145,200","479,585,811,250"
086900,메디톡스,"137,600","500","0.36","6,613,886,000","919,465,216,000"
140410,메지온,"14,410","620","4.50","6,041,451,090","385,352,479,380"
080160,모두투어,"20,400","-50","0.24","2,700,444,550","385,560,000,000"
053030,바이넥스,"11,030","220","2.04","2,695,672,330","350,324,359,440"
064550,바이오니아,"28,100","900","3.31","10,715,723,350","725,269,177,100"
323990,박셀바이오,"36,950","550","1.51","6,092,004,600","562,489,850,000"
090460,비에이치,"21,100","400","1.93","16,840,400,600","727,198,396,900"
100090,삼강엠앤티,"20,700","200","0.98","6,128,639,900","1,101,964,748,400"
000250,삼천당제약,"50,900","1,300","2.62","25,734,387,100","1,158,893,286,900"
038500,삼표시멘트,"3,595","30","0.84","456,911,355","387,959,120,070"
038540,상상인,"6,040","150","2.55","2,165,972,270","334,183,010,520"
089980,상아프론테크,"32,300","-200","0.62","3,641,439,300","516,445,895,100"
006730,서부T&D,"7,960","-10","0.13","1,260,394,600","480,781,651,800"
046890,서울반도체,"10,900","180","1.68","2,007,983,040","635,528,860,000"
178320,서진시스템,"16,920","210","1.26","7,791,640,890","635,864,462,640"
015750,성우하이텍,"5,140","100","1.98","4,916,217,720","411,200,000,000"
365340,성일하이텍,"116,800","8,000","7.35","91,293,556,500","1,393,407,531,200"
268600,셀리버리,"13,620","-410","2.92","22,964,783,210","495,355,981,380"
068760,셀트리온제약,"66,600","100","0.15","7,148,022,300","2,510,951,468,400"
091990,셀트리온헬스케어,"60,800","500","0.83","41,376,377,400","9,621,133,177,600"
357780,솔브레인,"242,000","6,500","2.76","6,274,654,000","1,882,412,972,000"
036830,솔브레인홀딩스,"25,700","150","0.59","763,868,950","538,776,239,200"
253450,스튜디오드래곤,"80,400","-1,100","1.35","10,899,215,100","2,416,703,239,200"
215600,신라젠,"6,740","270","4.17","15,590,747,180","693,324,422,500"
222800,심텍,"30,650","550","1.83","10,789,043,600","976,329,482,950"
222080,씨아이에스,"10,310","40","0.39","3,643,419,420","637,640,631,720"
096530,씨젠,"27,900","200","0.72","6,877,261,050","1,457,105,232,600"
025980,아난티,"7,750","-60","0.77","8,700,559,640","669,823,982,750"
092040,아미코젠,"20,500","880","4.49","2,398,825,210","404,971,514,000"
084850,아이티엠반도체,"28,100","-50","0.18","530,201,750","637,249,945,400"
027360,아주IB투자,"2,670","15","0.56","791,087,550","322,597,292,520"
067160,아프리카TV,"89,400","6,100","7.32","46,699,750,100","1,027,632,169,800"
053800,안랩,"96,000","-900","0.93","52,884,309,000","961,330,080,000"
196170,알테오젠,"41,400","3,350","8.80","72,388,009,250","2,132,870,868,000"
101490,에스앤에스텍,"30,500","600","2.01","8,791,443,850","654,269,133,500"
056190,에스에프에이,"37,150","450","1.23","2,928,120,600","1,334,010,434,000"
041510,에스엠,"89,100","2,400","2.77","60,299,331,100","2,121,230,519,100"
052020,에스티큐브,"14,170","1,870","15.20","47,748,108,990","622,110,710,390"
237690,에스티팜,"82,600","500","0.61","7,068,719,500","1,553,604,815,000"
298380,에이비엘바이오,"21,700","1,600","7.96","30,138,130,550","1,037,004,243,800"
088800,에이스테크,"6,670","0","0.00","3,242,949,790","299,656,906,910"
086520,에코프로,"131,000","2,600","2.02","58,916,037,700","3,308,735,775,000"
247540,에코프로비엠,"114,000","4,800","4.40","211,585,136,400","11,149,353,216,000"
383310,에코프로에이치엔,"52,500","1,200","2.34","4,565,590,400","803,508,930,000"
036810,에프에스티,"22,900","650","2.92","21,272,829,250","498,230,468,100"
182400,엔케이맥스,"13,200","-40","0.30","4,085,849,340","525,692,098,800"
348370,엔켐,"62,100","1,400","2.31","8,998,284,300","981,944,761,500"
061970,엘비세미콘,"7,560","210","2.86","1,929,506,020","331,011,515,520"
290650,엘앤씨바이오,"23,050","800","3.60","4,582,867,250","522,886,737,550"
066970,엘앤에프,"218,500","7,500","3.55","128,726,489,500","7,870,002,046,000"
039200,오스코텍,"19,690","-70","0.35","3,733,098,760","723,467,917,590"
122870,와이지엔터테인먼트,"51,700","-300","0.58","19,325,416,600","964,554,957,300"
041190,우리기술투자,"5,220","210","4.19","13,692,331,570","438,480,000,000"
240810,원익IPS,"31,150","250","0.81","13,334,813,550","1,528,963,516,150"
074600,원익QnC,"26,150","400","1.55","9,477,477,250","687,431,200,000"
104830,원익머트리얼즈,"29,800","300","1.02","1,305,206,150","375,718,400,000"
030530,원익홀딩스,"3,655","70","1.95","568,533,545","282,304,820,555"
112040,위메이드,"39,150","1,100","2.89","41,014,232,150","1,323,151,062,300"
299900,위지윅스튜디오,"19,570","40","0.20","12,389,170,360","836,856,664,970"
086390,유니테스트,"12,870","330","2.63","2,722,141,750","271,996,201,620"
206650,유바이오로직스,"9,080","210","2.37","2,486,707,880","330,918,847,560"
023410,유진기업,"3,735","-15","0.40","416,042,290","288,756,073,305"
084370,유진테크,"27,350","1,250","4.79","7,987,223,400","626,753,748,700"
272290,이녹스첨단소재,"31,950","950","3.06","7,828,418,500","643,014,773,100"
102710,이엔에프테크놀로지,"23,650","300","1.28","1,464,019,200","337,907,321,400"
039030,이오테크닉스,"76,700","1,500","1.99","6,152,927,300","944,909,485,000"
294090,이오플로우,"19,520","1,170","6.38","14,069,323,860","592,671,686,080"
060150,인선이엔티,"8,970","100","1.13","2,106,308,780","417,675,599,640"
049070,인탑스,"28,700","0","0.00","6,774,115,350","493,640,000,000"
189300,인텔리안테크,"75,100","-800","1.05","25,127,210,800","689,693,541,900"
095700,제넥신,"15,440","420","2.80","8,098,252,960","621,069,506,960"
082270,젬백스,"15,140","210","1.41","2,328,092,770","603,449,453,840"
036930,주성엔지니어링,"12,480","270","2.21","8,382,712,050","602,150,165,760"
144510,지씨셀,"49,400","800","1.65","3,621,259,850","780,536,993,600"
085660,차바이오텍,"14,590","190","1.32","3,309,872,150","820,954,759,620"
278280,천보,"246,000","2,500","1.03","13,341,326,500","2,460,000,000,000"
016790,카나리아바이오,"13,480","240","1.81","23,018,001,520","631,746,171,640"
293490,카카오게임즈,"47,000","150","0.32","26,840,715,250","3,867,627,509,000"
119860,커넥트웨이브,"16,160","470","3.00","1,777,052,030","778,798,427,520"
078340,컴투스,"66,800","600","0.91","7,939,124,700","859,476,856,000"
214370,케어젠,"177,600","-2,400","1.33","20,988,840,800","1,907,956,800,000"
032500,케이엠더블유,"28,750","100","0.35","3,943,834,100","1,144,850,386,250"
183300,코미코,"48,000","350","0.73","2,582,833,300","480,981,456,000"
041960,코미팜,"7,060","0","0.00","843,552,880","453,152,284,560"
029960,코엔텍,"7,370","100","1.38","1,077,748,130","368,500,000,000"
033290,코웰패션,"4,800","40","0.84","1,113,147,980","424,801,123,200"
200130,콜마비앤에이치,"29,550","450","1.55","3,263,677,750","873,012,138,900"
294570,쿠콘,"35,750","2,150","6.40","6,502,231,500","366,604,988,750"
110790,크리스에프앤씨,"21,650","250","1.17","1,249,565,450","253,640,142,000"
214150,클래시스,"18,780","390","2.12","3,968,938,930","1,216,506,463,560"
095610,테스,"17,930","160","0.90","1,222,986,050","354,444,292,180"
064760,티씨케이,"111,800","3,000","2.76","6,029,847,700","1,305,265,000,000"
131290,티에스이,"41,550","850","2.09","6,063,898,800","459,602,374,950"
104480,티케이케미칼,"3,210","25","0.78","811,248,005","291,774,343,140"
034230,파라다이스,"17,600","-50","0.28","18,376,971,150","1,601,992,832,000"
214450,파마리서치,"78,100","500","0.64","4,931,459,500","789,741,733,000"
140860,파크시스템스,"122,300","0","0.00","4,045,593,500","849,723,155,700"
091700,파트론,"8,850","200","2.31","3,155,671,970","521,426,193,900"
263750,펄어비스,"47,700","2,200","4.84","24,604,133,600","3,064,050,283,500"
022100,포스코 ICT,"6,620","-90","1.34","6,416,767,150","1,006,469,905,980"
319660,피에스케이,"18,220","200","1.11","7,199,270,270","527,773,529,080"
137400,피엔티,"46,700","1,500","3.32","13,916,294,600","1,062,013,946,600"
067310,하나마이크론,"10,970","340","3.20","8,234,258,000","525,702,738,380"
166090,하나머티리얼즈,"38,800","1,100","2.92","7,345,086,150","766,403,751,200"
003380,하림지주,"9,450","350","3.85","5,655,609,660","1,058,453,118,450"
256840,한국비엔씨,"4,960","75","1.54","2,467,149,860","335,209,140,480"
030520,한글과컴퓨터,"14,910","120","0.81","5,179,483,600","375,789,105,300"
