종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"25,500","650","2.62","10,519,827,500","369,245,788,500"
035760,CJ ENM,"141,800","2,300","1.65","22,048,531,000","3,109,554,037,200"
058820,CMG제약,"5,810","30","0.52","23,642,060,140","806,963,937,640"
028150,GS홈쇼핑,"138,400","-600","0.43","3,280,114,500","908,250,000,000"
035900,JYP Ent.,"37,550","-850","2.21","25,543,073,850","1,332,930,824,600"
035600,KG이니시스,"19,800","-350","1.74","7,222,972,500","552,507,793,200"
060720,KH바텍,"20,100","-300","1.47","13,268,454,200","475,845,450,300"
060250,NHN한국사이버결제,"70,000","1,500","2.19","26,240,946,100","1,607,997,510,000"
030190,NICE평가정보,"24,350","-450","1.81","5,516,308,050","1,478,405,867,000"
178920,PI첨단소재,"37,050","50","0.14","15,956,584,950","1,088,022,230,100"
218410,RFHIC,"45,200","550","1.23","25,875,039,500","1,077,912,424,000"
036540,SFA반도체,"5,960","190","3.29","55,138,574,880","980,183,405,880"
036490,SK머티리얼즈,"355,600","-2,200","0.61","23,614,631,800","3,750,752,518,800"
098460,고영,"109,500","4,500","4.29","7,864,082,600","1,503,539,134,500"
215000,골프존,"68,400","-900","1.30","1,972,531,900","429,238,386,000"
078130,국일제지,"5,100","-100","1.92","12,723,367,730","644,376,758,400"
092730,네오팜,"28,400","-150","0.53","1,451,413,450","233,089,052,400"
007390,네이처셀,"10,200","-50","0.49","9,009,079,500","624,142,069,800"
033640,네패스,"43,250","750","1.76","123,742,827,200","997,310,486,500"
194700,노바렉스,"38,800","-150","0.39","4,366,310,700","349,345,112,000"
144510,녹십자랩셀,"119,700","27,600","29.97","236,022,919,400","1,263,320,263,800"
031390,녹십자셀,"60,300","9,100","17.77","359,035,277,300","753,972,205,500"
119860,다나와,"30,250","-500","1.63","1,965,090,800","395,513,365,500"
032190,다우데이타,"12,950","150","1.17","3,758,977,600","495,985,000,000"
068240,다원시스,"21,350","950","4.66","25,764,988,350","577,825,089,450"
045390,대아티아이,"6,020","240","4.15","37,081,200,120","428,332,162,440"
078600,대주전자재료,"47,650","1,200","2.58","27,156,532,350","724,363,149,250"
213420,덕산네오룩스,"35,000","150","0.43","8,263,548,100","840,350,420,000"
100130,동국S&C,"7,980","-60","0.75","7,679,017,470","456,001,140,000"
086450,동국제약,"28,400","-850","2.91","16,459,049,600","1,262,664,000,000"
005290,동진쎄미켐,"37,000","500","1.37","65,113,073,700","1,902,336,278,000"
025900,동화기업,"55,300","5,700","11.49","33,699,622,200","1,116,970,524,600"
060570,드림어스컴퍼니,"5,220","-60","1.14","1,837,950,820","296,808,401,340"
141080,레고켐바이오,"72,200","2,100","3.00","73,954,667,100","1,709,970,793,200"
294140,레몬,"10,950","-150","1.35","2,344,346,300","377,775,000,000"
058470,리노공업,"135,300","300","0.22","11,856,711,300","2,062,292,661,000"
267980,매일유업,"69,500","-400","0.57","5,252,023,300","545,132,841,000"
215200,메가스터디교육,"40,650","1,650","4.23","6,227,924,800","481,372,422,000"
235980,메드팩토,"114,000","-3,700","3.14","63,167,884,000","2,318,171,988,000"
086900,메디톡스,"170,700","-4,300","2.46","24,235,387,900","1,020,350,544,300"
078160,메디포스트,"35,050","450","1.30","11,406,611,750","547,405,362,100"
140410,메지온,"172,800","-3,000","1.71","19,191,527,700","1,536,659,596,800"
018290,브이티지엠피,"8,720","-170","1.91","4,963,920,980","297,871,023,120"
090460,비에이치,"22,500","550","2.51","26,895,448,000","753,135,480,000"
082920,비츠로셀,"16,800","300","1.82","2,322,438,600","361,857,753,600"
143240,사람인에이치알,"26,450","-550","2.04","719,933,300","308,387,506,350"
000250,삼천당제약,"81,800","-300","0.37","71,216,422,600","1,862,425,753,800"
038500,삼표시멘트,"3,985","-5","0.13","2,136,082,075","427,818,334,405"
038540,상상인,"6,390","-30","0.47","2,117,857,160","353,547,920,070"
089980,상아프론테크,"46,850","1,150","2.52","18,735,031,400","736,705,240,250"
006730,서부T&D,"7,550","-10","0.13","2,233,224,390","438,960,352,200"
092190,서울바이오시스,"19,150","-100","0.52","11,194,408,750","731,982,954,950"
046890,서울반도체,"21,200","650","3.16","39,512,514,400","1,236,074,480,000"
178320,서진시스템,"51,000","400","0.79","24,602,109,600","923,133,966,000"
268600,셀리버리,"192,500","4,300","2.28","41,485,382,900","1,575,633,097,500"
068760,셀트리온제약,"218,300","-20,300","8.51","380,197,854,900","7,817,462,057,100"
091990,셀트리온헬스케어,"151,300","-11,700","7.18","839,728,570,800","22,968,826,068,600"
357780,솔브레인,"291,400","19,100","7.01","43,994,822,600","2,266,674,132,400"
036830,솔브레인홀딩스,"46,450","1,350","2.99","8,260,560,450","973,780,401,200"
192440,슈피겐코리아,"66,200","1,100","1.69","5,479,796,800","411,523,230,600"
253450,스튜디오드래곤,"94,500","1,900","2.05","46,891,910,000","2,835,410,602,500"
243840,신흥에스이씨,"49,100","1,350","2.83","10,216,709,800","342,211,189,800"
108320,실리콘웍스,"62,200","4,000","6.87","29,866,340,900","1,011,639,460,000"
222080,씨아이에스,"9,580","150","1.59","91,120,162,310","550,770,256,080"
096530,씨젠,"183,800","-9,200","4.77","122,990,073,800","4,821,812,876,000"
025980,아난티,"8,260","190","2.35","12,144,341,630","703,576,780,620"
092040,아미코젠,"38,250","-150","0.39","26,785,639,650","734,955,007,500"
084850,아이티엠반도체,"57,200","300","0.53","10,209,931,300","1,321,651,817,200"
067160,아프리카TV,"61,700","1,200","1.98","9,826,957,700","709,227,123,900"
053800,안랩,"84,500","8,300","10.89","85,019,664,300","846,170,747,500"
065660,안트로젠,"65,400","3,100","4.98","13,465,988,100","594,717,123,600"
131370,알서포트,"12,650","-600","4.53","19,162,993,250","673,828,599,950"
196170,알테오젠,"172,500","-7,200","4.01","109,468,251,100","4,844,300,250,000"
101490,에스앤에스텍,"44,950","1,450","3.33","35,795,415,050","964,242,542,650"
056190,에스에프에이,"39,500","900","2.33","13,677,394,700","1,418,396,020,000"
041510,에스엠,"29,550","-200","0.67","8,539,814,000","693,021,404,550"
052020,에스티큐브,"10,300","100","0.98","5,889,040,000","312,965,592,700"
237690,에스티팜,"103,900","100","0.10","38,352,514,200","1,938,358,400,000"
298380,에이비엘바이오,"31,350","250","0.80","29,464,323,200","1,449,819,153,750"
088800,에이스테크,"27,400","250","0.92","33,510,026,550","1,122,247,227,200"
028300,에이치엘비,"93,300","800","0.86","65,301,626,800","4,942,091,763,300"
067630,에이치엘비생명과학,"27,000","-200","0.74","20,514,706,350","1,270,902,231,000"
239610,에이치엘사이언스,"44,000","-950","2.11","1,968,376,300","226,254,512,000"
230360,에코마케팅,"29,950","-50","0.17","11,229,414,900","973,910,326,300"
086520,에코프로,"53,400","3,700","7.44","59,138,970,650","1,179,616,199,400"
247540,에코프로비엠,"187,200","17,100","10.05","151,444,416,700","3,937,783,075,200"
183490,엔지켐생명과학,"105,500","100","0.09","14,365,923,800","870,079,600,000"
182400,엔케이맥스,"20,800","-200","0.95","18,730,643,950","705,547,502,400"
061970,엘비세미콘,"14,650","-100","0.68","31,843,450,650","641,444,272,800"
290650,엘앤씨바이오,"33,500","-1,000","2.90","17,980,623,500","732,879,768,000"
066970,엘앤에프,"76,500","5,000","6.99","148,240,646,500","2,146,492,768,500"
097520,엠씨넥스,"41,200","800","1.98","32,678,001,600","735,975,458,400"
039200,오스코텍,"68,900","3,300","5.03","47,923,952,700","2,011,901,427,900"
048260,오스템임플란트,"50,500","-500","0.98","8,259,726,000","721,428,708,500"
138080,오이솔루션,"56,800","900","1.61","12,006,959,300","603,448,596,000"
122990,와이솔,"17,200","400","2.38","19,735,019,100","484,557,385,200"
122870,와이지엔터테인먼트,"44,050","-650","1.45","11,707,291,650","811,161,764,450"
240810,원익IPS,"44,300","50","0.11","30,916,632,800","2,174,416,814,300"
104830,원익머트리얼즈,"36,750","1,700","4.85","8,600,899,700","463,344,000,000"
030530,원익홀딩스,"6,270","-70","1.10","7,068,435,850","484,282,140,870"
069080,웹젠,"36,050","1,450","4.19","25,351,661,150","1,272,957,368,200"
044340,위닉스,"22,750","-950","4.01","10,741,348,250","406,620,418,750"
112040,위메이드,"38,150","-350","0.91","5,140,533,850","640,920,000,000"
078070,유비쿼스홀딩스,"27,000","-100","0.37","1,258,147,050","504,808,956,000"
023410,유진기업,"4,790","70","1.48","3,479,452,310","370,319,033,770"
084370,유진테크,"33,850","500","1.50","12,336,237,100","775,708,021,700"
263050,유틸렉스,"40,300","2,700","7.18","17,206,573,700","606,856,220,100"
272290,이녹스첨단소재,"46,400","800","1.75","7,653,959,750","440,915,675,200"
078020,이베스트투자증권,"6,740","-50","0.74","2,906,053,950","373,943,220,600"
102710,이엔에프테크놀로지,"47,950","300","0.63","15,078,094,700","683,663,236,200"
039030,이오테크닉스,"117,900","900","0.77","21,932,623,500","1,452,474,945,000"
035810,이지홀딩스,"4,085","-10","0.24","1,259,208,635","227,291,944,955"
060150,인선이엔티,"11,450","250","2.23","18,132,444,200","531,950,821,150"
048530,인트론바이오,"32,200","4,350","15.62","91,964,820,100","1,060,121,791,400"
095700,제넥신,"123,600","-700","0.56","75,395,402,400","3,052,644,866,400"
204270,제이앤티씨,"11,450","-50","0.43","5,491,687,850","662,364,935,700"
036930,주성엔지니어링,"8,180","-30","0.37","9,891,124,950","394,678,554,160"
115450,지트리비앤티,"29,900","700","2.40","39,954,417,850","804,589,325,800"
085660,차바이오텍,"19,750","-300","1.50","14,061,035,650","1,037,843,184,500"
278280,천보,"191,700","9,300","5.10","74,355,253,000","1,917,000,000,000"
293490,카카오게임즈,"46,000","0","0.00","23,493,482,950","3,406,375,164,000"
042000,카페24,"63,400","-100","0.16","6,925,945,900","597,899,849,800"
078340,컴투스,"160,700","1,400","0.88","27,372,119,000","2,067,633,694,000"
214370,케어젠,"73,100","1,400","1.95","6,030,446,500","785,313,300,000"
032500,케이엠더블유,"81,800","1,100","1.36","48,712,542,800","3,257,348,229,400"
290510,코리아센터,"8,020","240","3.08","26,893,495,890","611,129,108,740"
041960,코미팜,"13,150","-300","2.23","4,744,878,750","844,044,269,400"
029960,코엔텍,"9,330","-100","1.06","5,679,585,310","466,500,000,000"
033290,코웰패션,"5,610","-60","1.06","1,503,741,790","496,486,312,740"
200130,콜마비앤에이치,"51,200","-700","1.35","14,308,186,900","1,512,630,169,600"
083790,크리스탈지노믹스,"18,200","300","1.68","23,845,565,950","835,219,931,000"
214150,클래시스,"15,950","550","3.57","5,053,381,700","1,032,111,229,600"
237880,클리오,"17,750","-50","0.28","1,566,166,250","304,414,062,000"
095610,테스,"29,550","-100","0.34","20,502,232,550","584,151,078,300"
200230,텔콘RF제약,"6,060","0","0.00","9,227,007,950","530,304,612,720"
108230,톱텍,"12,650","350","2.85","6,801,374,700","480,994,049,250"
064760,티씨케이,"124,500","-800","0.64","9,078,982,500","1,453,537,500,000"
034230,파라다이스,"15,200","-100","0.65","10,428,307,350","1,382,328,614,400"
214450,파마리서치프로덕트,"57,200","0","0.00","3,438,531,000","559,934,918,400"
091700,파트론,"11,300","100","0.89","20,248,841,450","611,967,433,000"
263750,펄어비스,"252,000","-8,300","3.19","19,077,031,000","3,296,122,200,000"
022100,포스코 ICT,"8,580","830","10.71","422,856,501,170","1,304,457,974,820"
137400,피엔티,"25,450","1,000","4.09","29,013,063,700","564,524,443,150"
003380,하림지주,"9,190","180","2.00","7,493,113,440","848,621,325,800"
034950,한국기업평가,"97,400","-5,100","4.98","4,186,109,900","442,246,063,600"
084990,헬릭스미스,"31,700","-1,300","3.94","14,798,377,750","848,473,133,800"
048410,현대바이오,"29,700","500","1.71","264,586,274,850","1,066,701,546,900"
052260,현대바이오랜드,"24,300","-150","0.61","4,299,828,950","364,500,000,000"
243070,휴온스,"59,800","-2,000","3.24","8,384,406,300","590,868,491,200"
145020,휴젤,"190,000","2,200","1.17","17,662,888,510","2,407,325,650,000"
