종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
130960,CJ E&M,"79,500","-1,100","1.36","16,998,464,400","3,079,201,075,500"
035760,CJ오쇼핑,"186,000","-4,800","2.52","2,245,393,800","1,156,086,348,000"
051500,CJ프레시웨이,"80,500","-2,600","3.13","1,865,067,600","955,662,673,000"
028150,GS홈쇼핑,"162,100","-4,900","2.93","1,209,768,700","1,063,781,250,000"
095340,ISC,"27,650","-1,000","3.49","1,800,526,100","356,482,491,400"
067290,JW중외신약,"8,350","-230","2.68","5,107,809,680","326,025,399,300"
021320,KCC건설,"7,080","-220","3.01","168,406,850","151,512,000,000"
046440,KG모빌리언스,"14,050","-250","1.75","1,674,634,150","290,995,465,050"
035600,KG이니시스,"16,200","-150","0.92","4,356,702,800","430,597,312,200"
060720,KH바텍,"16,250","-650","3.85","1,987,224,650","325,000,000,000"
036030,KTH,"8,830","-200","2.21","400,659,090","315,363,644,260"
036490,OCI머티리얼즈,"112,000","-4,400","3.78","6,912,651,700","1,181,339,376,000"
046140,SBS콘텐츠허브,"14,800","-300","1.99","302,270,450","317,660,614,000"
178920,SKC코오롱PI,"10,250","-150","1.44","1,590,134,750","301,004,800,500"
066270,SK컴즈,"4,255","-135","3.08","814,243,235","184,784,140,150"
063080,게임빌,"75,000","-2,500","3.23","5,391,941,200","489,178,200,000"
011040,경동제약,"19,050","-550","2.81","160,782,700","252,888,750,000"
098460,고영,"37,750","-900","2.33","969,928,650","514,832,650,250"
215000,골프존,"86,600","-1,300","1.48","450,772,800","543,450,939,000"
121440,골프존유원홀딩스,"7,230","80","1.12","3,180,861,500","309,710,194,140"
089600,나스미디어,"51,500","1,500","3.00","1,091,122,500","424,691,248,000"
036800,나이스정보통신,"32,250","350","1.10","1,584,586,750","322,500,000,000"
168330,내츄럴엔도텍,"21,650","850","4.09","13,413,788,950","421,664,752,800"
095660,네오위즈게임즈,"15,850","-300","1.86","2,479,676,400","347,352,876,800"
041140,넥슨지티,"11,750","-350","2.89","1,030,640,350","415,636,533,500"
031390,녹십자셀,"44,850","-700","1.54","4,628,102,750","524,562,864,150"
054050,농우바이오,"21,400","-400","1.83","505,285,400","306,020,000,000"
032190,다우데이타,"15,150","-500","3.19","1,696,434,850","540,855,000,000"
068240,다원시스,"29,950","250","0.84","6,132,184,950","474,830,444,750"
054670,대한뉴팜,"17,550","2,100","13.59","11,448,215,100","251,928,846,000"
067080,대화제약,"37,300","100","0.27","14,981,290,450","679,791,530,200"
192080,더블유게임즈,"49,200","-1,500","2.96","10,223,409,400","840,816,585,600"
213420,덕산네오룩스,"28,450","150","0.53","2,122,824,800","341,621,056,500"
194480,데브시스터즈,"28,900","-950","3.18","627,065,750","315,053,350,000"
100130,동국S&C,"4,615","-235","4.85","2,312,361,545","263,714,945,000"
086450,동국제약,"56,900","-1,700","2.90","2,878,314,100","505,954,800,000"
026960,동서,"30,500","-650","2.09","3,621,001,300","3,040,850,000,000"
038500,동양시멘트,"4,030","-170","4.05","339,715,865","432,649,407,190"
005290,동진쎄미켐,"5,510","-190","3.33","2,162,682,670","257,636,833,460"
025900,동화기업,"34,100","-1,950","5.41","1,364,829,100","489,565,379,600"
092070,디엔에프,"16,400","600","3.80","1,261,870,100","176,493,979,200"
171120,라이온켐텍,"13,700","-350","2.49","462,933,800","210,788,268,500"
016170,로엔,"78,200","-5,800","6.90","3,387,850,400","1,977,811,331,000"
085370,루트로닉,"46,550","1,350","2.99","5,485,902,050","489,586,878,550"
058470,리노공업,"44,800","-2,100","4.48","948,401,050","682,858,176,000"
038290,마크로젠,"35,100","400","1.15","3,392,998,600","312,919,272,900"
005990,매일유업,"43,000","-1,200","2.71","2,024,059,150","576,200,000,000"
086900,메디톡스,"510,500","-2,300","0.45","13,994,549,700","2,887,661,117,500"
078160,메디포스트,"95,800","-1,000","1.03","12,358,068,000","745,974,003,000"
140410,메지온,"28,200","650","2.36","1,268,394,050","230,055,600,000"
080160,모두투어,"33,200","-500","1.48","831,657,800","418,320,000,000"
206640,바디텍메드,"3,900","195","5.26","77,780,066,860","818,535,786,900"
053030,바이넥스,"16,000","-200","1.23","10,872,799,100","497,127,168,000"
084990,바이로메드,"176,100","-8,000","4.35","47,765,275,400","2,500,246,139,700"
052260,바이오랜드,"26,500","-1,150","4.16","5,262,988,000","397,500,000,000"
043150,바텍,"40,600","1,050","2.65","9,884,906,400","603,082,793,600"
100120,뷰웍스,"44,550","0","0.00","3,479,782,000","445,583,085,750"
033560,블루콤,"11,800","-150","1.26","1,087,729,800","226,560,000,000"
143240,사람인에이치알,"21,950","-1,050","4.57","646,789,050","255,372,072,850"
016100,산성앨엔에스,"29,700","-200","0.67","9,393,854,450","532,803,654,900"
018310,삼목에스폼,"20,050","-500","2.43","476,255,750","196,490,000,000"
024950,삼천리자전거,"16,700","-550","3.19","1,067,943,500","221,668,735,900"
