종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"34,450","850","2.53","19,942,526,650","498,843,820,150"
035760,CJ ENM,"155,600","-4,000","2.51","19,433,090,700","3,412,176,362,400"
051500,CJ프레시웨이,"27,800","-850","2.97","629,835,850","330,030,090,800"
058820,CMG제약,"4,400","150","3.53","86,195,928,765","611,125,873,600"
028150,GS홈쇼핑,"146,500","-2,100","1.41","2,190,543,300","961,406,250,000"
035900,JYP Ent.,"24,100","-50","0.21","9,064,388,450","855,429,307,200"
035600,KG이니시스,"16,850","-150","0.88","2,158,111,400","470,189,712,900"
060250,NHN한국사이버결제,"21,850","-350","1.58","5,593,041,350","501,924,937,050"
030190,NICE평가정보,"13,550","-400","2.87","2,041,377,650","822,685,811,000"
218410,RFHIC,"39,150","2,300","6.24","46,757,028,550","929,511,123,300"
036540,SFA반도체,"4,325","20","0.46","29,538,623,965","615,414,085,050"
178920,SKC코오롱PI,"34,800","-200","0.57","4,856,226,200","1,021,948,005,600"
036490,SK머티리얼즈,"181,000","-4,500","2.43","11,381,406,100","1,909,128,813,000"
217730,강스템바이오텍,"8,150","10","0.12","3,143,863,420","169,922,911,550"
098460,고영,"104,300","-1,200","1.14","3,432,828,100","1,430,782,289,300"
215000,골프존,"67,200","-1,700","2.47","977,695,000","421,707,888,000"
078130,국일제지,"6,190","210","3.51","28,576,199,660","757,243,411,740"
089600,나스미디어,"32,500","-850","2.55","917,193,650","284,527,457,500"
092730,네오팜,"47,350","-1,000","2.07","1,663,688,050","388,618,543,350"
007390,네이처셀,"6,570","-20","0.30","7,167,466,330","402,020,921,430"
033640,네패스,"24,850","800","3.33","28,193,156,750","573,021,169,700"
041140,넥슨지티,"7,110","160","2.30","2,507,721,980","251,504,319,420"
144510,녹십자랩셀,"37,750","-150","0.40","3,150,266,500","398,415,538,500"
031390,녹십자셀,"46,950","0","0.00","6,175,610,250","568,143,687,150"
068240,다원시스,"15,750","-100","0.63","1,752,594,750","424,181,882,250"
045390,대아티아이,"5,230","-10","0.19","5,639,100,950","372,122,460,060"
213420,덕산네오룩스,"26,100","-200","0.76","6,141,509,650","626,661,313,200"
086450,동국제약,"88,500","-600","0.67","2,238,984,800","786,942,000,000"
005290,동진쎄미켐,"16,400","-350","2.09","12,027,273,100","843,197,701,600"
025900,동화기업,"16,650","-300","1.77","328,491,700","336,303,060,300"
060570,드림어스컴퍼니,"5,810","-160","2.68","587,064,910","330,355,711,070"
039840,디오,"41,050","-950","2.26","2,911,357,500","637,243,862,100"
141080,레고켐바이오,"52,300","-500","0.95","4,806,840,500","560,757,409,700"
058470,리노공업,"62,100","-2,200","3.42","2,502,545,300","946,551,177,000"
267980,매일유업,"84,300","-1,800","2.09","2,183,829,400","661,218,683,400"
215200,메가스터디교육,"40,300","-1,200","2.89","1,910,995,300","476,421,764,000"
086900,메디톡스,"300,600","-300","0.10","13,321,362,000","1,748,016,054,000"
078160,메디포스트,"35,550","550","1.57","4,965,292,450","555,214,283,100"
140410,메지온,"193,800","2,500","1.31","63,787,585,900","1,687,213,497,600"
080160,모두투어,"18,100","-100","0.55","1,664,275,950","342,090,000,000"
049950,미래컴퍼니,"35,350","-150","0.42","747,735,550","287,898,601,200"
043150,바텍,"28,550","-650","2.23","813,425,150","424,089,008,800"
090460,비에이치,"21,750","-200","0.91","7,390,684,800","710,800,179,000"
143240,사람인에이치알,"31,000","0","0.00","970,372,200","360,662,153,000"
000250,삼천당제약,"36,350","750","2.11","9,736,658,900","803,546,302,550"
038500,삼표시멘트,"3,655","-135","3.56","985,143,650","392,390,467,315"
006730,서부T&D,"8,630","-70","0.80","1,049,551,020","478,437,560,290"
046890,서울반도체,"16,100","-150","0.92","15,364,037,200","938,716,940,000"
178320,서진시스템,"30,500","1,700","5.90","33,105,478,900","552,070,313,000"
035890,서희건설,"1,110","-10","0.89","1,286,266,095","229,860,118,680"
014620,성광벤드,"10,050","-300","2.90","561,934,250","287,430,000,000"
015750,성우하이텍,"3,705","-45","1.20","475,200,400","296,400,000,000"
036630,세종텔레콤,"382","1","0.26","1,155,911,483","229,324,580,132"
068760,셀트리온제약,"39,700","-100","0.25","8,689,154,100","1,353,337,468,500"
091990,셀트리온헬스케어,"52,600","-400","0.75","44,761,807,900","7,570,615,324,800"
036830,솔브레인,"84,200","-100","0.12","8,041,355,900","1,464,934,418,200"
192440,슈피겐코리아,"50,900","-100","0.20","1,167,198,900","316,412,876,700"
253450,스튜디오드래곤,"81,100","200","0.25","12,226,276,500","2,278,615,607,000"
215600,신라젠,"14,400","-150","1.03","16,699,819,350","1,023,150,600,000"
243840,신흥에스이씨,"38,450","100","0.26","1,129,744,500","252,703,435,450"
108320,실리콘웍스,"39,300","-500","1.26","3,203,047,050","639,186,990,000"
096530,씨젠,"30,950","300","0.98","4,673,316,200","811,942,919,000"
025980,아난티,"10,400","0","0.00","10,459,194,650","880,308,041,600"
092040,아미코젠,"25,200","-250","0.98","3,632,896,350","484,016,652,000"
067390,아스트,"8,290","30","0.36","1,601,027,960","212,884,315,080"
067160,아프리카TV,"65,700","-3,200","4.64","14,811,171,200","755,206,191,900"
053800,안랩,"81,000","15,500","23.66","306,098,071,300","811,122,255,000"
065660,안트로젠,"42,150","-750","1.75","4,890,783,800","364,609,175,550"
196170,알테오젠,"69,800","2,900","4.33","33,952,943,900","969,993,150,000"
073070,에스모,"1,705","0","0.00","5,625,544,795","159,252,529,315"
056190,에스에프에이,"45,200","-1,050","2.27","5,627,624,350","1,623,075,952,000"
041510,에스엠,"37,950","-500","1.30","5,772,562,450","889,813,687,950"
007820,에스엠코어,"10,700","-300","2.73","2,319,783,450","214,363,222,200"
052020,에스티큐브,"11,150","-300","2.62","1,508,389,800","302,729,535,650"
237690,에스티팜,"29,700","-100","0.34","3,677,971,900","554,083,200,000"
298380,에이비엘바이오,"24,400","250","1.04","54,237,995,550","1,105,401,740,000"
028300,에이치엘비,"114,300","-600","0.52","137,552,567,400","4,885,058,327,400"
067630,에이치엘비생명과학,"28,400","650","2.34","70,546,768,650","1,336,431,665,200"
239610,에이치엘사이언스,"54,000","-700","1.28","1,257,514,900","277,675,992,000"
230360,에코마케팅,"31,600","-600","1.86","2,931,642,100","511,886,409,200"
086520,에코프로,"22,850","400","1.78","9,141,700,100","504,760,864,350"
247540,에코프로비엠,"53,000","0","0.00","7,249,838,400","1,089,466,198,000"
183490,엔지켐생명과학,"73,800","3,400","4.83","12,680,889,500","580,013,535,600"
182400,엔케이맥스,"10,750","-50","0.46","1,365,252,350","335,733,938,000"
061970,엘비세미콘,"8,080","280","3.59","23,586,489,340","353,779,503,360"
066970,엘앤에프,"22,150","200","0.91","6,166,053,100","548,405,847,350"
097520,엠씨넥스,"37,100","-650","1.72","12,981,183,450","662,735,182,200"
115960,연우,"23,750","400","1.71","1,799,919,550","294,452,500,000"
039200,오스코텍,"23,850","-250","1.04","8,398,608,150","696,427,417,350"
048260,오스템임플란트,"42,000","-300","0.71","6,141,207,850","600,000,114,000"
138080,오이솔루션,"52,300","2,850","5.76","16,668,518,750","404,777,523,600"
122990,와이솔,"15,050","-50","0.33","2,998,484,350","423,987,712,050"
019210,와이지-원,"7,480","-120","1.58","727,950,950","228,692,166,120"
122870,와이지엔터테인먼트,"27,500","150","0.55","6,101,856,100","500,434,247,500"
215360,우리산업,"20,000","-400","1.96","642,078,500","182,643,260,000"
240810,원익IPS,"35,600","-250","0.70","15,950,720,300","1,747,386,875,600"
104830,원익머트리얼즈,"29,500","-850","2.80","3,180,273,600","371,936,000,000"
030530,원익홀딩스,"5,570","110","2.01","5,259,476,370","430,215,554,170"
069080,웹젠,"15,900","-400","2.45","1,517,537,350","561,443,055,600"
044340,위닉스,"26,300","250","0.96","4,687,497,450","470,071,077,500"
112040,위메이드,"29,600","-50","0.17","2,915,931,950","497,280,000,000"
023410,유진기업,"4,945","-85","1.69","1,533,859,825","382,302,217,535"
263050,유틸렉스,"67,800","500","0.74","4,261,832,200","495,296,289,000"
272290,이녹스첨단소재,"52,400","-1,100","2.06","3,528,034,300","483,778,808,000"
095190,이엠코리아,"4,390","60","1.39","1,441,211,150","159,500,570,560"
039030,이오테크닉스,"100,300","-3,000","2.90","10,447,558,400","1,235,650,865,000"
035810,이지바이오,"4,940","-45","0.90","1,458,927,505","286,161,113,940"
016250,이테크건설,"72,500","-600","0.82","469,468,500","203,000,000,000"
041830,인바디,"23,350","-300","1.27","1,288,895,150","319,516,309,700"
060150,인선이엔티,"8,320","0","0.00","2,102,880,270","319,415,466,240"
048530,인트론바이오,"15,150","-350","2.26","10,378,323,150","454,662,786,750"
065620,제낙스,"3,715","55","1.50","2,204,822,310","83,538,253,960"
095700,제넥신,"62,700","200","0.32","13,687,150,700","1,489,833,321,900"
082270,젬백스,"40,450","1,900","4.93","116,406,314,650","1,556,638,280,350"
036930,주성엔지니어링,"8,160","60","0.74","4,835,018,180","393,713,569,920"
228760,지노믹트리,"24,550","1,100","4.69","14,806,868,600","490,661,578,250"
115450,지트리비앤티,"31,200","-100","0.32","12,796,714,500","780,344,572,800"
278280,천보,"63,300","1,700","2.76","8,085,965,800","633,000,000,000"
042000,카페24,"51,200","0","0.00","2,583,882,000","482,846,566,400"
078340,컴투스,"104,500","-3,000","2.79","5,697,434,700","1,344,540,890,000"
032500,케이엠더블유,"57,300","6,200","12.13","167,383,414,500","2,280,727,714,800"
041960,코미팜,"15,100","-150","0.98","5,937,612,050","965,258,062,500"
