RSI_W,SMA_W,Buy,Sell,Hold,Pos,Ret,MDD,WR,Trades
3,30,20,70,10,3,-36.386829217999846,-43.49358221044721,58.04597701149425,348
3,30,20,70,10,5,26.967948735000256,-30.186661731022312,59.55223880597015,670
3,30,20,70,10,7,15.694417417150142,-35.04980253348389,59.33273219116321,1109
3,30,20,70,10,10,-8.786382719699827,-35.987546581437314,59.41853422168383,1651
3,30,20,70,15,3,-27.014048028299907,-41.36959922406796,58.80503144654088,318
3,30,20,70,15,5,31.45470652535025,-28.39654050775827,60.26058631921825,614
3,30,20,70,15,7,26.7700125707502,-27.780842550891066,59.813084112149525,963
3,30,20,70,15,10,-0.18230090549984368,-32.746609756005476,60.14540647719762,1513
3,30,20,70,20,3,-33.93574153634988,-47.191054016505284,57.89473684210527,304
3,30,20,70,20,5,44.57546479350019,-28.926719555312225,61.064891846921796,601
3,30,20,70,20,7,30.170585791500205,-28.225430055275798,59.95740149094782,939
3,30,20,70,20,10,-4.1211451665498,-34.95035039896895,59.91620111731844,1432
3,30,20,70,25,3,-29.157230494749818,-44.500623960953895,58.745874587458744,303
3,30,20,70,25,5,18.47790599320018,-33.28290873088699,60.641891891891895,592
3,30,20,70,25,7,43.8307669020501,-28.955252141012267,60.53268765133172,826
3,30,20,70,25,10,-1.813545920949844,-35.24237936368405,60.21201413427561,1415
3,30,20,70,30,3,-26.659666258549876,-43.323674437769,58.52842809364549,299
3,30,20,70,30,5,34.62849947690021,-31.683142353781708,60.84745762711864,590
3,30,20,70,30,7,46.674420767800214,-27.601300953887947,60.58394160583942,822
3,30,20,70,30,10,-3.596968752499785,-34.78024538713104,60.08522727272727,1408
3,30,20,70,40,3,-30.608652440049855,-44.8714982576109,59.0,300
3,30,20,70,40,5,33.8876032503002,-31.550036248491704,61.082910321489,591
3,30,20,70,40,7,43.59573520980018,-28.92440037462627,60.70559610705596,822
3,30,20,70,40,10,-6.318550794749756,-36.36635603630324,60.14234875444839,1405
3,30,20,72,10,3,49.88497414085016,-37.03099004765656,58.21917808219178,292
3,30,20,72,10,5,68.67115884370017,-31.22297388072913,60.541586073500966,517
3,30,20,72,10,7,41.77648747020017,-30.290335724074545,59.67940813810111,811
3,30,20,72,10,10,7.766480805550224,-33.15727592142073,59.82384823848238,1476
3,30,20,72,15,3,75.27432850395009,-36.60936762505346,59.64285714285714,280
3,30,20,72,15,5,91.66410734665027,-27.02214226556811,60.83333333333333,480
3,30,20,72,15,7,46.675022978450144,-27.251961215626903,60.924369747899156,714
3,30,20,72,15,10,26.959116887800192,-31.253139281679722,60.55923473142016,1359
3,30,20,72,20,3,128.57371471615008,-42.56472372564319,60.507246376811594,276
3,30,20,72,20,5,119.32440507120008,-30.367022391052284,62.97071129707113,478
3,30,20,72,20,7,93.89540384625006,-27.365620307335973,62.42937853107344,708
3,30,20,72,20,10,14.1273998005502,-32.71042715595346,60.259344012204416,1311
3,30,20,72,25,3,77.07028225260004,-46.31714432264204,60.447761194029844,268
3,30,20,72,25,5,90.75420704855006,-31.4762610123738,61.587982832618025,466
3,30,20,72,25,7,89.16581162620005,-28.129876347487887,62.212643678160916,696
3,30,20,72,25,10,21.05497833845016,-30.844242505710017,60.38610038610038,1295
3,30,20,72,30,3,135.7522596893,-37.2982842330237,61.172161172161175,273
3,30,20,72,30,5,102.57617176835016,-31.54332923077231,61.72043010752688,465
3,30,20,72,30,7,93.60276855725023,-26.622239914760833,62.589928057553955,695
3,30,20,72,30,10,12.935215448500292,-34.307345842943846,60.046911649726354,1279
3,30,20,72,40,3,135.7522596893,-37.2982842330237,61.172161172161175,273
3,30,20,72,40,5,102.89548750205012,-31.41575083291083,61.72043010752688,465
3,30,20,72,40,7,92.0479899252502,-27.73064707990293,62.62626262626263,693
3,30,20,72,40,10,17.47941289950021,-32.857003982367786,60.342146189735615,1286
3,30,20,74,10,3,55.76754517160018,-39.22866492402795,56.05536332179931,289
3,30,20,74,10,5,56.0142078257502,-31.853304559354296,58.31663326653307,499
3,30,20,74,10,7,36.299420116950174,-31.862963170048097,58.816120906801004,794
3,30,20,74,10,10,3.5359893004501597,-33.70279729605176,58.80353501019715,1471
3,30,20,74,15,3,61.79069264735006,-38.98861108332908,58.54545454545455,275
3,30,20,74,15,5,104.87121321155017,-23.50341447451592,60.75949367088608,474
3,30,20,74,15,7,57.46760011160017,-26.838043713638694,60.42857142857143,700
3,30,20,74,15,10,4.566054991650126,-34.872611318581555,59.66257668711656,1304
3,30,20,74,20,3,112.74201310855005,-45.298819437682326,59.25925925925925,270
3,30,20,74,20,5,132.8512077674001,-25.434144911818592,62.1505376344086,465
3,30,20,74,20,7,100.42960311580016,-24.86543544653609,62.46376811594203,690
3,30,20,74,20,10,9.510988103550089,-35.10156479622033,60.28594122319301,1259
3,30,20,74,25,3,99.37207041560012,-40.046597727083224,59.92366412213741,262
3,30,20,74,25,5,114.62097539350013,-24.523035276982906,61.67400881057269,454
3,30,20,74,25,7,99.34102501020024,-24.49283716434209,62.297496318114874,679
3,30,20,74,25,10,17.803043873650083,-35.38306000842419,60.51571313456889,1241
3,30,20,74,30,3,124.62468016615009,-33.5467724790358,60.820895522388064,268
3,30,20,74,30,5,131.4371024504001,-20.22306984621273,61.97802197802198,455
3,30,20,74,30,7,100.39481858295014,-24.33329115147661,62.0384047267356,677
3,30,20,74,30,10,13.637916558400187,-36.32197691030154,60.40650406504066,1230
3,30,20,74,40,3,124.62468016615009,-33.5467724790358,60.820895522388064,268
3,30,20,74,40,5,125.5985229588502,-22.24709804550881,61.89427312775331,454
3,30,20,74,40,7,94.74440903665024,-25.71677022761755,62.07407407407407,675
3,30,20,74,40,10,13.178329934400047,-36.78742034557409,60.55419722901385,1227
3,30,20,76,10,3,-25.84250052304983,-33.43838998837881,56.60377358490566,318
3,30,20,76,10,5,71.19782634490028,-28.951454560395916,58.6709886547812,617
3,30,20,76,10,7,37.24861745070016,-31.97762357587709,58.836689038031324,894
3,30,20,76,10,10,6.415781086900196,-37.390692340295146,58.79718490083173,1563
3,30,20,76,15,3,-44.809624693549864,-48.18571487834376,55.12367491166078,283
3,30,20,76,15,5,45.77062117095014,-33.43438312124375,57.67857142857142,560
3,30,20,76,15,7,58.120349273500274,-26.10101377706399,59.46248600223964,893
3,30,20,76,15,10,39.58386253330015,-30.173536588518612,59.1672753834916,1369
3,30,20,76,20,3,-38.86169100439988,-48.01801343656716,56.72727272727273,275
3,30,20,76,20,5,72.54325406930018,-29.95898405979609,58.75912408759124,548
3,30,20,76,20,7,78.05821882155031,-23.655149502277443,60.93928980526919,873
3,30,20,76,20,10,39.69271858425021,-26.762072667494152,60.04654771140419,1289
3,30,20,76,25,3,-45.81694670639995,-52.55799582394638,57.63358778625955,262
3,30,20,76,25,5,88.1416343267502,-31.4831736969796,59.29368029739776,538
3,30,20,76,25,7,73.03519674880012,-25.73440164347446,60.2112676056338,852
3,30,20,76,25,10,33.882290483100206,-27.15235527858083,60.22187004754358,1262
3,30,20,76,30,3,-37.818791646999884,-46.763887434580155,57.63358778625955,262
3,30,20,76,30,5,101.80663936080023,-30.612267186698634,59.88805970149254,536
3,30,20,76,30,7,65.80550729155019,-26.35317573752048,59.690844233055884,841
3,30,20,76,30,10,26.377023598950267,-28.087773536614684,60.38492381716119,1247
3,30,20,76,40,3,-40.23674499309994,-48.39661003456636,57.25190839694656,262
3,30,20,76,40,5,92.57338325060016,-31.205198786891508,60.113421550094515,529
3,30,20,76,40,7,66.19723443100017,-29.19336954102502,60.04784688995215,836
3,30,20,76,40,10,41.96687195285029,-26.266919477239632,60.722891566265055,1245
3,30,20,78,10,3,-32.484512062249884,-41.5085146777241,54.666666666666664,300
3,30,20,78,10,5,52.41402532770019,-24.90022793346387,57.5809199318569,587
3,30,20,78,10,7,13.775962363800097,-31.919424741661885,57.54716981132076,848
3,30,20,78,10,10,8.275107449350205,-35.43588816368833,57.71012574454004,1511
3,30,20,78,15,3,-41.93974817324998,-45.68900547285718,56.343283582089555,268
3,30,20,78,15,5,8.919300737550074,-35.45287078640194,57.08812260536399,522
3,30,20,78,15,7,23.20377871875017,-28.189155110532564,58.30065359477125,765
3,30,20,78,15,10,5.007393054700171,-31.910284401189116,57.066052227342546,1302
3,30,20,78,20,3,-47.03507860769995,-51.17709288147944,55.37848605577689,251
3,30,20,78,20,5,21.768176138400097,-28.64216021560057,57.31462925851704,499
3,30,20,78,20,7,31.638666542850235,-28.066151403001733,59.50310559006211,805
3,30,20,78,20,10,1.7037873397501624,-32.94475180779374,58.931419457735245,1254
3,30,20,78,25,3,-44.46803115219995,-50.78719677402387,55.6910569105691,246
3,30,20,78,25,5,12.376970867700155,-33.66890018299889,57.46421267893661,489
3,30,20,78,25,7,7.810317203300121,-33.43017335827713,58.34428383705651,761
3,30,20,78,25,10,1.3626690625502036,-33.022613589911785,59.42148760330579,1210
3,30,20,78,30,3,-43.60462003879994,-49.73853123522961,55.55555555555556,243
3,30,20,78,30,5,26.11858467630015,-30.579587088566644,56.99588477366255,486
3,30,20,78,30,7,1.8275136744001053,-34.86845480856978,58.09018567639257,754
3,30,20,78,30,10,-1.4793653802998907,-29.456496485553917,59.583333333333336,1200
3,30,20,78,40,3,-44.26410153244995,-49.450543667113,55.833333333333336,240
3,30,20,78,40,5,16.751839512950095,-31.869771996912306,57.74058577405857,478
3,30,20,78,40,7,7.487831880850115,-33.48893960211985,58.61148197596796,749
3,30,20,78,40,10,8.728455388050115,-30.433630393972482,60.13400335008375,1194
3,30,20,80,10,3,113.27633657120026,-34.68312730526391,58.09935205183585,463
3,30,20,80,10,5,83.17718425135018,-22.427294915959926,58.13148788927336,578
3,30,20,80,10,7,10.483439179500099,-32.599157304685654,57.44211686879823,907
3,30,20,80,10,10,7.241986907350162,-37.32451352020455,56.74386920980926,1468
3,30,20,80,15,3,-12.70007507354981,-57.52075113220061,57.53086419753086,405
3,30,20,80,15,5,4.024079947900061,-35.34768467459784,57.70750988142292,506
3,30,20,80,15,7,20.421460869450115,-36.631046161419675,57.534246575342465,803
3,30,20,80,15,10,-0.529281326849862,-39.45521037410986,57.33056708160442,1446
3,30,20,80,20,3,35.975386816450204,-46.0196372294473,57.14285714285714,385
3,30,20,80,20,5,42.509969811150185,-28.128868910694266,57.70020533880903,487
3,30,20,80,20,7,12.89475412135015,-31.7614051599083,58.026315789473685,760
3,30,20,80,20,10,-9.046559897499861,-36.032378694407996,57.70465489566613,1246
3,30,20,80,25,3,-25.225243344249858,-62.94172788459095,56.403269754768395,367
3,30,20,80,25,5,-8.384003493749859,-39.48057679684233,57.71670190274841,473
3,30,20,80,25,7,-1.2885933648499104,-41.038654839138005,57.18194254445964,731
3,30,20,80,25,10,11.21112224060019,-32.00715491219302,58.59247135842881,1222
3,30,20,80,30,3,-28.093892975449787,-60.530335122121635,56.07734806629834,362
3,30,20,80,30,5,-5.8109019644499105,-35.7128307643148,57.2961373390558,466
3,30,20,80,30,7,0.2595006793500998,-37.55951818240194,57.37931034482758,725
3,30,20,80,30,10,7.75551952510023,-30.384186652503402,58.925619834710744,1210
3,30,20,80,40,3,-30.07563364264989,-61.775250079658164,56.657223796033996,353
3,30,20,80,40,5,-11.892585463099936,-38.721241438237094,58.04347826086956,460
3,30,20,80,40,7,4.332980215300086,-37.50584131579191,57.799442896935936,718
3,30,20,80,40,10,12.165384943050173,-28.84618080772797,59.163179916317986,1195
