SMA,Buy,Sell,Hold,MaxPos,Return,MDD,WinRate,Trades
60,40,80,50,5,1903.8624168315,-44.71090074341872,63.81243628950051,981
120,20,80,50,3,1896.6637031517014,-48.882133826999386,62.74864376130199,553
60,20,80,50,3,1891.5219950271492,-63.84169243975627,63.898305084745765,590
120,40,80,40,3,1848.5221803575,-45.58563244574283,62.62626262626263,594
60,35,80,50,5,1759.3692605203994,-48.88643418970485,63.598759048603924,967
50,35,80,50,5,1704.8208252447,-46.7311799289508,62.60416666666667,960
120,20,80,40,3,1685.4180237817507,-44.020965183266355,61.904761904761905,567
120,20,80,30,3,1538.2427179439994,-61.02015985988456,61.038961038961034,616
120,30,80,40,3,1486.4482837534492,-45.44609728927202,61.36752136752137,585
120,30,80,50,3,1438.3237231483492,-55.50638269478823,62.1342512908778,581
60,35,80,50,3,1379.7807700284998,-53.762029844440605,64.00679117147709,589
100,20,80,40,5,1271.0132985544496,-51.13643706009295,60.73684210526316,950
120,15,80,50,3,1148.57244884385,-54.700727791386626,63.1768953068592,554
120,25,80,40,3,1147.98283108365,-40.41251162863774,60.52173913043478,575
50,35,80,50,3,1109.498177582001,-50.4238384058817,62.52158894645942,579
100,20,80,50,5,1109.2490959416991,-46.57632357567457,60.43010752688171,930
60,30,80,50,3,1068.90131552105,-57.67553169185291,63.148788927335644,578
30,30,80,40,5,1056.5367498135004,-49.24286740656089,62.48756218905472,1005
50,30,80,50,3,1044.5149896757503,-53.62418816911517,63.17626527050611,573
120,35,80,40,3,1018.4572943048995,-45.586953412213546,61.60409556313993,586
100,25,80,50,3,992.5788788359505,-50.68256149990225,61.18881118881119,572
100,20,80,50,3,987.4719135352001,-52.791292435448945,61.35957066189624,559
50,35,80,40,5,935.5537933669506,-53.542514074561595,62.114989733059545,974
100,40,80,10,10,921.2284796233001,-32.37179037504247,53.43095033017513,3483
60,40,80,50,3,903.15624237905,-56.59130365743953,63.497453310696095,589
120,35,80,50,3,892.5788534271002,-55.62024579638928,62.19081272084806,566
60,20,80,40,3,885.4575796566501,-66.26886733060627,61.37123745819398,598
60,40,80,40,5,885.3848290061503,-50.643344199198545,62.874251497005986,1002
30,25,80,40,3,871.7444335120999,-56.78159433822341,61.87290969899666,598
60,30,80,50,5,871.0999730945497,-51.91130464157698,61.78947368421053,950
60,20,80,10,3,857.5734573200995,-75.78412232757182,52.67770204479065,1027
50,30,80,50,5,855.64261071755,-46.730423109914675,62.14511041009464,951
