RSI,SMA,Buy,Sell,Hold,Return,MDD,WinRate,Trades
3,20,5,55,5,17.65500861716309,-62.612431959297545,56.035825545171335,5136
3,20,5,55,10,271.2387662312201,-55.57479930133101,62.81052118850463,4106
3,20,5,55,15,503.2277562536657,-54.030561579686,63.70716510903427,3852
3,20,5,55,20,689.1614257988167,-59.087862082646744,63.79492600422832,3784
3,20,5,55,25,609.8010948289639,-53.43099591791381,63.68000000000001,3750
3,20,5,55,30,729.0036977460953,-46.863520649244144,63.721302722904426,3746
3,20,5,55,40,695.2655613512159,-50.99423588165405,63.672814755412986,3741
3,20,5,55,50,695.2655613512159,-50.99423588165405,63.672814755412986,3741
3,20,5,60,5,49.713743111494566,-62.34773357981553,55.18962075848304,5010
3,20,5,60,10,407.7137016388553,-48.48053745667214,62.29425170929349,3949
3,20,5,60,15,457.63028779052235,-55.793895259642234,62.70344827586207,3625
3,20,5,60,20,915.436218877242,-55.70780724611247,63.256076879592996,3538
3,20,5,60,25,753.9212045761385,-51.61608732118884,63.16542644533486,3494
3,20,5,60,30,845.368136113454,-50.79281393127286,63.1578947368421,3477
3,20,5,60,40,832.3643070342536,-56.228589047738595,63.22004608294931,3472
3,20,5,60,50,829.1598156314931,-55.58203597139072,63.20944972630366,3471
3,20,5,65,5,97.49620849605824,-56.62201451574478,54.05571487095453,4882
3,20,5,65,10,399.0505328558765,-51.09423623232854,60.8,3750
3,20,5,65,15,211.44022116266027,-59.67134752784855,61.980082015231396,3414
3,20,5,65,20,584.0021942658709,-61.59546492770834,62.76467029643074,3306
3,20,5,65,25,539.9876752421955,-55.73652370047447,62.5615763546798,3248
3,20,5,65,30,672.8229517496301,-54.49410252325063,62.65842349304482,3235
3,20,5,65,40,695.4325798446772,-55.61311689495362,62.68610421836228,3224
3,20,5,65,50,736.4897531947015,-53.35022908389403,62.693978895096215,3222
3,20,5,70,5,49.863371469266404,-56.38725769549914,52.606238224827294,4777
3,20,5,70,10,357.481290948409,-52.67510556394136,59.35321996097017,3587
3,20,5,70,15,79.11619554165348,-74.43763534276661,61.07634543178973,3196
3,20,5,70,20,299.2933066970445,-56.144274560514184,62.003284072249585,3045
3,20,5,70,25,327.27918399837,-53.16112277257932,62.032985526758665,2971
3,20,5,70,30,257.7389293449674,-59.301307717867644,61.87713310580205,2930
3,20,5,70,40,282.28975846048024,-57.42767127009256,61.90312607351426,2911
3,20,5,70,50,269.588320129748,-56.827118485289176,61.827586206896555,2900
3,20,5,75,5,46.81212679895974,-62.3500351802196,51.528854435831185,4644
3,20,5,75,10,545.7893072526172,-51.137354418294265,57.9360465116279,3440
3,20,5,75,15,383.3360542684641,-57.91849161068079,60.6301824212272,3015
3,20,5,75,20,624.744383191942,-51.50482400210588,61.81561285764747,2831
3,20,5,75,25,744.5344550024648,-52.587995388503074,61.78951228456179,2727
3,20,5,75,30,677.7924951580203,-50.903731684621334,61.748225625700414,2677
3,20,5,75,40,470.30328231545366,-57.833341296423235,61.61692482055157,2647
3,20,5,75,50,418.72153269640864,-53.36729122526116,61.57654226961158,2626
3,20,5,80,5,55.452237276858504,-58.634999371295535,50.67314058706687,4531
3,20,5,80,10,402.41531477905204,-47.811527378152974,56.43594414086217,3294
3,20,5,80,15,351.227421442768,-59.528947818799416,59.482453030840134,2821
3,20,5,80,20,1266.6063413600127,-51.2215429158823,61.02272727272727,2640
3,20,5,80,25,1289.9069446037788,-59.78118852525671,61.13116726835138,2493
3,20,5,80,30,856.0925605132354,-60.829227710317625,61.19096509240246,2435
3,20,5,80,40,1154.831769433055,-61.01100326182953,61.49353358364622,2397
3,20,5,80,50,1310.6497579182512,-59.504012623451516,61.57076858462831,2381
3,20,10,55,5,49.309157040635164,-63.94947568904207,56.43510054844607,5470
3,20,10,55,10,376.8217064064909,-51.77724810229284,63.31646734130635,4348
3,20,10,55,15,642.0799242443786,-58.487857357769236,64.30678466076697,4068
3,20,10,55,20,724.3862767266423,-63.31102716132072,64.18698165368183,3979
3,20,10,55,25,678.2702963016271,-57.13048138758349,64.19346670043049,3949
3,20,10,55,30,832.083172211085,-51.08896824939633,64.21692853522555,3946
3,20,10,55,40,833.589716140289,-54.8940214704284,64.18061897513952,3942
3,20,10,55,50,833.589716140289,-54.8940214704284,64.18061897513952,3942
3,20,10,60,5,91.1925479772296,-60.36497051586952,55.73678290213723,5334
3,20,10,60,10,547.1661362835229,-53.323172756233525,62.86401925391095,4155
3,20,10,60,15,558.2422857855635,-61.684273322569524,63.281456080189926,3791
3,20,10,60,20,1136.15129149566,-59.652922095710956,63.68549040799783,3701
3,20,10,60,25,1128.9702933317399,-53.45792965490387,63.77286377286377,3663
3,20,10,60,30,1313.472199564345,-53.106315865885755,63.70126304228446,3642
3,20,10,60,40,1397.6902415661086,-58.986130578296915,63.72144233415909,3633
3,20,10,60,50,1435.471303161119,-57.67610301459103,63.74896779521057,3633
3,20,10,65,5,179.2344419665283,-59.25872976556549,54.59104938271605,5184
3,20,10,65,10,722.668996968202,-50.59451383047529,61.323865077352266,3943
3,20,10,65,15,285.96910898062623,-61.707268416356555,62.124192188817084,3559
3,20,10,65,20,544.623213546813,-61.146239113245635,62.7079077910709,3427
3,20,10,65,25,547.1784810195776,-54.64294520910757,62.6706231454006,3370
3,20,10,65,30,634.5687664482218,-51.43324253660907,62.634408602150536,3348
3,20,10,65,40,771.7499018028116,-50.034114335004546,62.713387241689134,3339
3,20,10,65,50,767.1039034691452,-50.35304845807788,62.732174955062916,3338
3,20,10,70,5,25.477014425509957,-59.15746232364558,52.942341985337826,5047
3,20,10,70,10,462.89109517296555,-50.932237517687405,59.52063914780293,3755
3,20,10,70,15,239.79269742297208,-64.1872423037022,61.4040373606508,3319
3,20,10,70,20,497.3705488148874,-58.622294867102184,62.31108312342569,3176
