Year,CooldownDays,Return,WinRate,Trades,AvgWin,AvgLoss,RepeatLoss
2005,0,104.91220149520429,86.15384615384616,65,9.435580452010166,-10.851965714989625,0
2005,10,104.91220149520429,86.15384615384616,65,9.435580452010166,-10.851965714989625,0
2005,20,104.91220149520429,86.15384615384616,65,9.435580452010166,-10.851965714989625,0
2005,30,104.91220149520429,86.15384615384616,65,9.435580452010166,-10.851965714989625,0
2005,40,104.91220149520429,86.15384615384616,65,9.435580452010166,-10.851965714989625,0
2005,60,104.19774854121249,86.15384615384616,65,9.435580452010166,-10.851965714989625,0
2005,90,106.7758856588787,86.15384615384616,65,9.579374604160032,-10.851965714989625,0
2005,120,104.25953162657176,85.9375,64,9.616524507069668,-10.851965714989625,0
2005,180,98.71928134119719,85.48387096774194,62,9.715999507524163,-10.851965714989625,0
2006,0,12.28176987942624,62.264150943396224,53,8.596654777955534,-10.213936831743705,5
2006,10,12.28176987942624,62.264150943396224,53,8.596654777955534,-10.213936831743705,5
2006,20,12.28176987942624,62.264150943396224,53,8.596654777955534,-10.213936831743705,5
2006,30,12.28176987942624,62.264150943396224,53,8.596654777955534,-10.213936831743705,5
2006,40,12.28176987942624,62.264150943396224,53,8.596654777955534,-10.213936831743705,5
2006,60,10.41080181092877,62.745098039215684,51,8.4726751100543,-10.534812025575613,4
2006,90,11.462887873098593,63.46153846153846,52,8.560321680583783,-10.861436608277467,3
2006,120,11.462887873098593,63.46153846153846,52,8.560321680583783,-10.861436608277467,3
2006,180,-0.16158366224944265,61.702127659574465,47,7.573463269327852,-11.187628570401616,2
2007,0,11.714882506325598,70.0,60,8.923700924208948,-16.072653940582413,3
2007,10,11.714882506325598,70.0,60,8.923700924208948,-16.072653940582413,3
2007,20,11.714882506325598,70.0,60,8.923700924208948,-16.072653940582413,3
2007,30,11.714882506325598,70.0,60,8.923700924208948,-16.072653940582413,3
2007,40,11.714882506325598,70.0,60,8.923700924208948,-16.072653940582413,3
2007,60,14.518925432431583,70.0,60,9.17102978701855,-15.862208992687474,2
2007,90,17.521037749793788,70.0,60,9.489151579313662,-15.86220899268747,2
2007,120,17.514924310049974,70.0,60,9.500271142923117,-15.86220899268747,2
2007,180,13.85965310006625,68.42105263157895,57,9.768154529913797,-15.596735914397613,1
2008,0,-47.30755279349551,46.51162790697674,43,7.302464142690466,-17.632952236827034,4
2008,10,-47.30755279349551,46.51162790697674,43,7.302464142690466,-17.632952236827034,4
2008,20,-47.30755279349551,46.51162790697674,43,7.302464142690466,-17.632952236827034,4
2008,30,-47.30755279349551,46.51162790697674,43,7.302464142690466,-17.632952236827034,4
2008,40,-47.30755279349551,46.51162790697674,43,7.302464142690466,-17.632952236827034,4
2008,60,-34.25616707686607,48.837209302325576,43,6.954934813186948,-15.058247425625266,3
2008,90,-44.210198848006144,50.0,44,7.5586327224745355,-18.08093872772159,3
2008,120,-44.87646616096932,50.0,44,7.5586327224745355,-18.165552790723634,2
2008,180,-43.89699382745884,50.0,44,7.5586327224745355,-17.99606212352398,1
2009,0,40.18120933015763,67.1875,64,8.982207743725665,-9.578253959524275,3
2009,10,44.85803222711881,67.6923076923077,65,9.02864561283669,-9.303993993546106,2
2009,20,44.85803222711881,67.6923076923077,65,9.02864561283669,-9.303993993546106,2
2009,30,44.85803222711881,67.6923076923077,65,9.02864561283669,-9.303993993546106,2
2009,40,44.85803222711881,67.6923076923077,65,9.02864561283669,-9.303993993546106,2
2009,60,48.686415750041775,64.61538461538461,65,9.577427133071803,-8.157348195426303,1
2009,90,53.64674134609106,70.3125,64,8.942799255617688,-8.94057994307162,0
2009,120,53.64674134609106,70.3125,64,8.942799255617688,-8.94057994307162,0
2009,180,52.64496226494726,70.3125,64,8.885349213165709,-8.94057994307162,0
2010,0,54.74553028559619,75.75757575757575,66,8.126559738765314,-10.426848655582262,1
2010,10,54.74553028559619,75.75757575757575,66,8.126559738765314,-10.426848655582262,1
2010,20,54.74553028559619,75.75757575757575,66,8.126559738765314,-10.426848655582262,1
2010,30,54.74553028559619,75.75757575757575,66,8.126559738765314,-10.426848655582262,1
2010,40,54.74553028559619,75.75757575757575,66,8.126559738765314,-10.426848655582262,1
2010,60,46.35063581577212,73.84615384615385,65,7.9458870469480685,-10.026141140808312,1
2010,90,46.35063581577212,73.84615384615385,65,7.9458870469480685,-10.026141140808312,1
2010,120,39.684665455877166,73.01587301587301,63,7.863779624197904,-10.026141140808312,1
2010,180,39.684665455877166,73.01587301587301,63,7.863779624197904,-10.026141140808312,1
2011,0,27.034600157375934,68.42105263157895,57,9.876406210524445,-12.324735740085217,0
2011,10,27.034600157375934,68.42105263157895,57,9.876406210524445,-12.324735740085217,0
2011,20,27.034600157375934,68.42105263157895,57,9.876406210524445,-12.324735740085217,0
2011,30,27.034600157375934,68.42105263157895,57,9.876406210524445,-12.324735740085217,0
2011,40,27.034600157375934,68.42105263157895,57,9.876406210524445,-12.324735740085217,0
2011,60,16.9804495436479,67.27272727272727,55,9.931936526379403,-12.324735740085217,0
2011,90,14.266105817097063,67.27272727272727,55,9.622554486535966,-12.324735740085217,0
2011,120,10.781075782849081,66.66666666666666,54,9.484583550794008,-12.324735740085218,0
2011,180,10.781075782849081,66.66666666666666,54,9.484583550794008,-12.324735740085218,0
2012,0,28.725720475352425,73.4375,64,7.049262379840235,-9.902383586477717,1
2012,10,28.725720475352425,73.4375,64,7.049262379840235,-9.902383586477717,1
2012,20,28.725720475352425,73.4375,64,7.049262379840235,-9.902383586477717,1
