BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2008-09-25,2008-11-24,이오테크닉스,039030.KQ,14261.6484375,6152.08251953125,3273,-26659717.04432029,-57.04803004613992,60,33.981723829562256,37.213316675502185
2008-09-29,2008-11-28,CJ ENM,035760.KQ,53781.57421875,25773.787109375,859,-24181557.256895017,-52.28275203436823,60,33.799141155977466,49.78918254490081
2007-10-31,2007-12-20,JYP Ent.,035900.KQ,12117.236328125,7020.30419921875,5741,-29468443.39805881,-42.312327849339205,50,28.223357282576785,72.76334051992467
2024-10-08,2024-12-09,원텍,336570.KQ,6516.49853515625,3828.56689453125,227056,-614750850.3159931,-41.50044004714014,62,27.86675334197784,14.592549320474603
2016-09-29,2016-11-28,휴젤,145020.KQ,146831.859375,86332.46875,1880,-114567565.73490623,-41.45571272886719,60,30.634519049369985,19.543216392901428
2007-09-18,2007-11-19,제룡전기,033100.KQ,2796.231201171875,1657.4288330078125,23218,-26636593.589797378,-40.980914778961356,62,34.80039969219743,42.20919746723566
2017-04-14,2017-06-13,안랩,053800.KQ,79902.8203125,48062.48828125,2578,-82711564.91652851,-40.107174201768224,60,20.497396972492595,38.320656024973076
2006-03-16,2006-05-15,우리기술,032820.KQ,17450.0,10550.0,2406,-16729639.8,-39.8012200010103,60,26.876564142060232,20.687586795339456
2020-02-06,2020-04-03,와이씨,232140.KQ,4195.0,2575.0,86255,-140848851.55249998,-38.881043653195725,57,29.540722457512004,74.4519037337479
2008-08-18,2008-10-17,코나아이,052400.KQ,3887.617431640625,2393.278076171875,13225,-19921464.750743408,-38.70284709047552,60,33.490724345278736,31.012297790204997
2013-04-26,2013-06-25,에스엠,041510.KQ,44703.17578125,27915.705078125,3798,-64288038.91217168,-37.82140766262545,60,34.770059331325996,16.514513386192007
2005-11-29,2006-01-31,바이넥스,053030.KQ,11526.44140625,7337.34375,3064,-12946826.894626562,-36.616782614270846,63,29.670233244244557,64.6130343357518
2024-06-04,2024-08-05,한글과컴퓨터,030520.KQ,24600.0,15780.0,53925,-479824488.225,-36.1291709655847,62,19.02275384103808,10.905022342416032
2009-04-17,2009-06-16,SFA반도체,036540.KQ,4922.56103515625,3177.289306640625,7653,-13476482.506323155,-35.73177389420469,60,32.04994293874263,61.085993604146736
2022-05-04,2022-07-04,이녹스첨단소재,272290.KQ,47032.71875,30729.96875,15536,-255623704.86894995,-34.94320021736452,61,24.578842096067547,16.91718474278271
2016-09-02,2016-11-01,제주반도체,080220.KQ,6300.0,4125.0,44020,-96634409.77499998,-34.80503373501425,60,30.738082050116347,42.13440339888846
2022-07-21,2022-09-19,씨젠,096530.KQ,38479.9453125,25237.138671875,16204,-216591666.36798084,-34.69651937961228,60,34.91954994052692,17.09026151675323
2008-07-09,2008-09-08,쏠리드,050890.KQ,3458.913818359375,2280.78662109375,14642,-17413575.77568503,-34.34382515969434,61,33.25048409853744,42.5921010610494
2024-08-14,2024-10-14,넥슨게임즈,225570.KQ,23100.0,15260.0,59016,-467090040.14399993,-34.2231282509962,61,26.353277494484885,41.25556616200517
2020-02-20,2020-04-06,대주전자재료,078600.KQ,19310.154296875,12939.7939453125,19702,-126749416.03941318,-33.27750494871526,46,24.60301987013689,72.0384001237714
2018-06-08,2018-08-07,HLB,028300.KQ,43415.484375,29676.931640625,7764,-107779559.76984024,-31.937952912852097,60,26.454909180626274,59.29357929557183
2007-07-04,2007-09-03,에스엠,041510.KQ,4885.3564453125,3458.6591796875,14155,-20428640.40864648,-29.507620023450272,61,33.95248208667802,45.231304069977746
2023-08-01,2023-10-04,성우하이텍,015750.KQ,11606.9560546875,8292.0244140625,58733,-197013946.8315022,-28.86671038348697,64,28.157115960384658,30.859903412562446
2008-08-04,2008-10-06,비에이치아이,083650.KQ,3354.32568359375,2399.150146484375,15181,-14673807.869667858,-28.783133292384562,63,32.16116156091887,7.406119246219049
2018-10-23,2018-12-24,현대바이오,048410.KQ,3645.0,2615.0,86352,-90015829.00799999,-28.566024243587634,62,20.775109120384954,29.284679543406526
2011-07-20,2011-09-19,제주반도체,080220.KQ,3950.0,2840.0,23879,-26827781.891499996,-28.41007524890679,61,34.56301820508119,43.56221281886879
2008-10-07,2008-11-28,컴투스,078340.KQ,5795.08203125,4169.92236328125,6780,-11152823.83533838,-28.352829669892177,52,26.892362045918418,76.53708242193241
2021-10-07,2021-12-06,HLB,028300.KQ,46113.38671875,33283.8203125,17038,-221280016.94606447,-28.131792863712917,60,18.129720636591614,36.6849204119836
2021-01-04,2021-03-05,셀트리온제약,068760.KQ,178901.828125,129402.65625,3250,-162865713.86972654,-27.979012098636208,60,31.021318671007307,47.61028908515647
2019-06-20,2019-08-19,감성코퍼레이션,036620.KQ,1025.0,742.0,346644,-99319069.63620001,-27.920676587777717,60,32.983109588876616,24.521999858565337
2013-07-22,2013-09-23,쏠리드,050890.KQ,6529.56787109375,4751.302734375,21599,-38894199.31634645,-27.546574379533702,63,34.46556039233552,30.034122338592198
2016-12-16,2017-02-14,쏠리드,050890.KQ,3385.475830078125,2465.86328125,69652,-64865048.96205738,-27.476302532892365,60,33.36899679464911,50.092455716289514
2012-03-05,2012-05-04,나노신소재,121600.KQ,14835.13671875,10901.810546875,8391,-33435846.625982523,-26.82921084689155,60,28.260578093785213,44.65864108487704
2024-07-08,2024-09-06,이녹스첨단소재,272290.KQ,34557.109375,25659.759765625,45287,-408394476.39646435,-26.065721345097792,60,22.724073434714867,28.041038674768544
2011-07-22,2011-09-15,미코,059090.KQ,2726.75537109375,2030.5623779296875,35610,-25130868.436927557,-25.851764674785777,55,29.671021422268282,82.21687464766265
2012-08-21,2012-10-22,테크윙,089030.KQ,2549.83349609375,1904.735595703125,46385,-30337187.396253973,-25.6204515453554,62,26.525933459007547,23.264342884571093
2015-06-23,2015-08-24,골프존,215000.KQ,81558.6171875,60938.12890625,3587,-74990667.80409122,-25.603942247615457,62,21.448145716521367,8.412980227214348
2005-07-01,2005-08-30,서울반도체,046890.KQ,6153.4033203125,4610.04150390625,4537,-7100222.889184203,-25.403214173266065,60,25.21583296413027,42.475167477435214
2019-02-20,2019-04-22,포스코엠텍,009520.KQ,8952.1806640625,6725.97802734375,40303,-90991457.4067486,-25.190411198165464,61,31.040965215512486,28.35219923695368
2011-06-29,2011-08-29,SOOP,067160.KQ,6284.00048828125,4721.72900390625,13902,-22025933.0281163,-25.18382358361605,61,32.06938229136867,46.4084798759717
2019-06-18,2019-08-19,파마리서치,214450.KQ,44171.15234375,33296.046875,7965,-87860201.26335642,-24.944139842094263,62,26.35149917299543,47.62175678786662
2014-03-05,2014-05-07,LS마린솔루션,060370.KQ,5804.05810546875,4382.74951171875,27329,-39402649.43658091,-24.812514669556673,63,29.397929809842353,25.473044303471397
2019-02-20,2019-04-05,제룡전기,033100.KQ,9274.6025390625,7018.37646484375,38902,-89046668.39131993,-24.651950500112505,44,29.138050588683896,76.86956531510135
2007-06-25,2007-08-24,솔브레인홀딩스,036830.KQ,46078.12890625,34876.37890625,1441,-16376389.2366293,-24.63543210880878,60,23.59454558410536,44.34485800321061
2021-01-08,2021-03-09,에이비엘바이오,298380.KQ,27500.0,20850.0,21687,-146328749.3175,-24.507461873391055,60,21.36335724928712,47.59409788637371
2011-07-12,2011-09-14,성우하이텍,015750.KQ,12067.78515625,9150.5703125,7396,-21891546.821041405,-24.49925201866544,64,31.909709644153708,38.07196962515421
