SMA,Buy,Sell,Hold,Return,MDD,WinRate,Trades
60,40,80,50,1903.8624168315,-44.71090074341872,63.81243628950051,981
60,45,80,50,1835.7201079096499,-43.508715972639045,63.91437308868502,981
60,35,80,50,1759.3692605203994,-48.88643418970485,63.598759048603924,967
50,35,80,50,1704.8208252447,-46.7311799289508,62.60416666666667,960
100,20,80,40,1271.0132985544496,-51.13643706009295,60.73684210526316,950
100,20,80,50,1109.2490959416991,-46.57632357567457,60.43010752688171,930
50,45,80,50,1083.5004351673008,-46.734105350367905,62.512768130745656,979
60,30,80,7,1070.8631082854008,-57.99537848509952,50.220070422535215,2272
30,30,80,40,1056.5367498135004,-49.24286740656089,62.48756218905472,1005
20,30,70,15,1045.0920182518503,-41.78345530132061,63.54534746760895,1698
150,25,80,10,1005.5818000279002,-58.73728096459627,52.96940611877624,1667
150,40,80,10,994.0848812370506,-60.135124289975785,52.77777777777778,1728
50,30,80,7,980.2470050943501,-52.68955083248472,50.74823943661971,2272
60,45,80,7,957.3991946888498,-68.86700985383548,50.51635111876076,2324
50,45,75,50,944.2480433230495,-44.267777173290405,62.896315338474714,1167
60,45,80,40,942.9320106570501,-47.01841191471926,62.811565304087736,1003
50,45,75,40,941.8472422628503,-45.435801553551265,62.01353637901861,1182
50,40,75,40,939.1983785536494,-45.26413949076865,61.77966101694915,1180
50,35,80,40,935.5537933669506,-53.542514074561595,62.114989733059545,974
50,35,75,50,912.8854345601992,-50.73264878771836,63.09834638816362,1149
50,45,80,40,908.5570775928506,-52.312668816985266,62.6008064516129,992
60,40,80,40,885.3848290061503,-50.643344199198545,62.874251497005986,1002
30,45,80,20,885.1986730786491,-39.038608444733825,59.506762132060466,1257
50,35,75,30,872.4120968521504,-46.38087777038572,62.704918032786885,1220
60,30,80,50,871.0999730945497,-51.91130464157698,61.78947368421053,950
50,40,75,50,868.3603291397999,-45.262448528074444,62.56454388984509,1162
50,45,75,7,866.6771859728003,-60.60134338812645,51.455514555145555,2439
50,40,75,7,865.1994123391493,-55.32172555865458,51.4827018121911,2428
