SMA,Buy,Sell,Hold,Return,MDD,WinRate,Trades
50,25,55,40,825.7416474334005,-52.48081348628185,62.9951980792317,3332
100,30,70,40,823.3266470234001,-56.20486951348096,63.10247063588498,2469
50,10,55,15,820.7546465303996,-53.54366071567457,63.14797360980208,3183
120,10,80,30,818.9572120545504,-55.047826048377544,62.82327586206896,1856
150,35,60,20,817.2492777318997,-52.52578442115081,63.71391076115486,3048
100,35,70,20,816.8751615820503,-55.302251031245845,62.961492655815796,2519
100,15,70,50,815.0862780677999,-55.32306336026285,62.625,2400
100,20,80,10,812.8792882432006,-49.765293423841186,60.18636171113935,2361
30,35,80,30,811.4635987139499,-59.35835971987549,62.71273852501289,1939
100,15,70,40,810.3424504693498,-55.313978681614785,62.59891711786756,2401
100,15,80,20,805.9282792583995,-55.076501939009304,62.62677484787018,1972
50,25,55,15,805.4201253998002,-55.99770728078305,62.908982748364075,3362
150,25,50,20,802.8920518257003,-41.33719850371031,64.01949541284404,3488
60,25,80,20,801.2565354293502,-46.07225901756853,62.239841427155596,2018
100,25,80,10,800.9279520961005,-56.803803738424605,60.20151133501259,2382
150,5,80,40,799.1128885444507,-62.44375943414564,62.57534246575342,1825
150,20,80,15,798.7741657116995,-52.11922828057428,61.52716593245228,2043
150,35,50,20,797.8632063747991,-41.32071703147267,63.921568627450974,3570
100,15,70,30,797.1214600504999,-55.30812230915425,62.6300457761132,2403
150,10,80,10,796.8587979600002,-57.01836123310448,60.431338028169016,2272
100,25,80,50,796.0955822588492,-56.695148033374785,63.47462061747776,1911
60,20,50,20,795.3668206654997,-45.250354928311424,63.42368045649073,3505
120,25,80,40,794.9675269761508,-59.09834551010087,62.836056931997895,1897
30,10,60,40,794.9496808078505,-49.08302004514284,63.37290502793296,2864
50,25,55,50,794.8117306871997,-52.477748007712634,62.972972972972975,3330
120,30,80,15,791.6134714881492,-51.03740717322046,61.700095510983765,2094
150,30,50,20,790.4518916583997,-40.78230387690812,64.03954802259886,3540
50,10,55,20,789.3359509569498,-51.73296989232845,63.127962085308056,3165
30,25,60,50,786.75592218935,-50.69517432589057,63.02990469930989,3043
30,10,60,30,786.3442067217495,-49.08302004514284,63.297316138027185,2869
50,20,80,30,785.5185246894006,-45.222282936856516,61.73096976016684,1918
60,25,50,20,785.0292800454503,-44.77333954593536,63.1106120157215,3562
50,15,80,50,784.0022502062504,-46.852357941951816,61.90981432360743,1885
150,30,80,20,780.5430922140498,-62.0527961173641,62.71529888551165,1974
30,30,80,15,779.4530373232998,-50.52698317175348,61.82513139034879,2093
100,25,80,20,777.45902671825,-56.93972052730992,62.97595190380761,1996
200,15,70,50,775.2256919316496,-49.94869144173284,62.38416175231677,2374
100,25,70,50,775.1832296136503,-56.18418549270944,62.754686226568865,2454
150,35,75,20,774.9865659052997,-62.43301397790296,63.06509945750452,2212
150,25,75,30,774.9226418521002,-54.94083771824074,62.71028037383177,2140
50,10,55,40,773.5527657697517,-51.355229688794445,63.11787072243346,3156
50,10,55,30,773.5513626043519,-51.355271714248396,63.08958531180754,3159
60,10,80,50,773.2073359526001,-50.124907034446245,62.74825550187869,1863
60,20,50,40,771.6716567692494,-46.10493514369604,63.375430539609646,3484
60,10,70,20,771.4245393655995,-56.264334696705795,62.82264779350542,2402
100,25,70,40,769.4322870202998,-56.18165802972474,62.729124236252545,2455
200,5,70,50,767.8908837053001,-48.99663465070464,62.56521739130435,2300
200,15,70,40,767.8189784342505,-49.95162298578175,62.37373737373737,2376
100,25,70,30,766.4272028757005,-56.18741034843284,62.77461350691619,2458
200,5,70,40,764.3254733868505,-48.99267423148105,62.51086012163336,2302
50,10,80,5,761.8272978289003,-50.385296711984715,53.39285714285714,3360
120,10,80,40,758.8125466346495,-51.860932758106074,62.62241566920566,1838
100,25,65,20,756.7879828439505,-58.305894683011964,62.54980079681275,2761
50,25,80,7,756.2852599037986,-53.32009102944054,56.89170182841069,2844
60,25,50,7,754.6427315204493,-49.28616342673556,62.496815286624205,3925
50,35,80,10,751.3133578956503,-54.41804630202667,60.50143855322647,2433
100,25,80,40,749.1886351504986,-57.3492670929266,63.355985363303716,1913
30,25,60,40,749.1103805859501,-48.889556280566985,62.997042392375945,3043
150,10,80,50,748.0016250589003,-56.091456800825455,62.4795193883124,1831
200,5,70,20,746.1090782888502,-53.782948658565,62.39793725827245,2327
150,25,50,30,745.671899024749,-40.693713062066514,64.0126473124461,3479
30,10,60,20,743.8649487526491,-49.088479312623335,63.2072197153766,2881
120,35,80,15,743.6538700663507,-57.974227087190435,61.56413924654268,2097
100,35,70,30,742.6697786130001,-55.08635816632802,63.06886830447039,2483
30,10,60,15,742.6622929256494,-48.52203643681825,63.28205128205128,2925
200,25,70,40,742.5217495694509,-53.99845720209211,62.505167424555594,2419
200,25,70,50,742.5217495694509,-53.99845720209211,62.505167424555594,2419
150,35,50,30,741.9753210006993,-40.681871178061215,63.92245012644001,3559
100,25,65,50,741.3947707648498,-55.54849179712237,62.60964912280702,2736
30,35,80,40,741.2583115461002,-59.83486003883436,62.551867219917014,1928
60,15,80,30,741.2476837044999,-50.54285015600502,62.407991587802314,1902
100,5,70,20,740.3723872073,-57.51195951601448,62.637362637362635,2366
200,5,70,30,739.8220963433996,-49.380431066676714,62.51086012163336,2302
50,20,55,10,738.6303018848505,-54.64856687026056,62.969432314410476,3435
200,20,70,50,738.0865996830004,-50.22188169539529,62.36424394319131,2394
60,10,80,40,737.7419729389999,-49.277919044906085,62.77450455275844,1867
30,10,60,50,737.4852325637004,-49.08302004514284,63.334498427123386,2861
60,20,50,10,737.09652250325,-46.409487881052975,63.22758620689655,3625
30,15,80,20,733.8995609398501,-54.136134191713694,61.621344279117494,1949
30,35,80,50,732.7790336322506,-59.62196386497924,62.52609603340292,1916
30,25,60,30,731.8964787141492,-49.290093198064774,62.95931758530183,3048
150,5,80,30,731.8918520768495,-63.421006946555394,62.547632008709854,1837
100,35,70,50,731.2137708858504,-55.07222647999356,62.97941057731127,2477
200,20,70,40,731.1305827542498,-50.229041980497044,62.353923205342234,2396
60,20,50,15,730.6453464989494,-48.420059274652,63.246162592382035,3518
200,25,70,30,729.5270562877004,-52.92456936160691,62.525794469665705,2423
50,20,80,20,727.7649197116006,-46.731250613894034,61.347517730496456,1974
60,20,50,30,727.7235353251494,-45.87796405622295,63.38391067849985,3493
60,25,50,50,727.3783552100515,-48.1271223140881,63.033041513696695,3541
60,25,80,10,726.9000166558505,-50.47908360913787,60.14014839241549,2426
50,10,55,50,726.7074995799998,-51.354983932723954,63.06277742549143,3154
100,10,80,10,726.5816265545498,-51.79661734255506,60.155574762316334,2314
150,30,50,30,726.0312065544499,-40.131462804095776,64.03061224489795,3528
150,30,70,20,725.7025649937506,-57.73177144414859,62.91683406990759,2489
100,35,70,40,725.5114385813004,-55.08760148475362,62.95399515738499,2478
60,25,50,40,725.4962888507496,-47.262074337409125,63.04654442877292,3545
50,20,75,20,724.7810323688002,-51.333702681108406,63.062244434348024,2201
150,25,50,50,720.9188681668504,-40.69039358140399,63.99769585253456,3472
120,25,80,20,720.1163800736504,-63.57593751537086,62.52515090543259,1988
150,25,75,50,720.02601926745,-55.689045163241026,62.68166901078294,2133
100,30,80,15,719.9457456517008,-55.39727878744314,62.251655629139066,2114
150,25,80,20,719.3722791262005,-62.560908896046286,62.6144455747711,1966
50,10,50,15,718.3464204611988,-52.208918544924444,63.33135391923991,3368
150,35,50,40,718.1660497523997,-40.67727327783916,63.9381153305204,3555
100,10,70,20,718.1096023429499,-57.264313390388345,62.85475792988314,2396
60,25,50,30,717.9965784476495,-47.12689645848578,63.052661222190935,3551
150,25,75,40,716.4145663200001,-55.68516742032546,62.69915651358951,2134
50,15,80,40,715.5422700174506,-49.02399649704802,61.75847457627118,1888
150,25,70,20,714.5024007435998,-59.81677103706281,62.81427412814274,2466
120,25,80,15,713.0508249969498,-55.3935414651896,61.60842508377215,2089
150,25,50,40,712.7875845737998,-40.69490852631347,64.0,3475
120,25,80,50,712.0429289400508,-58.47136753031826,62.81167108753316,1885
120,20,80,10,710.8820071056003,-57.766009850240195,60.715807413719645,2347
100,25,80,30,710.3628120139001,-56.83716774483414,63.27800829875518,1928
200,35,80,15,710.20901280265,-59.11480924601369,61.87015503875969,2064
60,25,80,15,710.1832838848998,-43.18379099055253,61.75771971496437,2105
50,15,55,20,709.202241734599,-54.15856653021864,62.85271317829457,3225
30,25,60,20,708.4000325375503,-49.0365069260093,62.90006531678641,3062
200,15,70,30,707.2939626237495,-50.466555352263775,62.253047498949144,2379
150,25,50,15,707.1933863805507,-43.382178079760266,63.924592973436155,3501
120,35,80,40,706.9453557308993,-60.592238443607336,62.21515633280339,1887
120,35,80,30,701.86604511215,-61.09772922972354,62.28300894266175,1901
50,25,80,5,699.9375719218998,-56.54383497105528,53.690510116842404,3509
150,25,75,20,699.8697740391004,-62.32676416384897,62.91877007801744,2179
50,20,50,10,699.2853983469503,-52.95725230289317,63.075227335354086,3629
60,35,50,40,698.7456619172996,-50.30113248448309,63.10307017543859,3648
100,20,65,50,698.1947066204999,-49.90458627681419,62.52771618625277,2706
60,25,75,20,698.0428382549496,-55.89279929881463,62.869955156950674,2230
100,25,65,30,697.4264273128505,-55.55014114457616,62.654996353026995,2742
60,20,50,50,695.8841074170001,-47.22096779378299,63.42725704427832,3478
60,35,50,50,695.8462328932513,-50.38284901061324,63.12465678198792,3642
30,35,80,10,695.4480706949497,-53.742327982206284,59.56396544631839,2431
60,35,50,20,694.1500747878006,-50.173874275068606,63.045851528384276,3664
60,20,75,20,693.6217584420505,-51.052987428224526,62.72108843537415,2205
150,30,75,20,691.9136250295511,-63.17679927608141,62.94439380127621,2194
50,10,50,30,691.6498021893998,-50.52857498918769,63.22561340514662,3342
150,35,50,50,691.4190323130994,-40.67966225707224,63.90765765765766,3552
60,25,50,15,690.9203743818996,-49.630913727477946,62.92669278119754,3574
50,15,55,30,690.8086857452508,-53.80118165000495,62.791420578178425,3217
100,35,80,50,690.6971225726501,-57.3005379851114,63.305613305613306,1924
200,25,70,20,690.2550901777003,-59.435292342160785,62.20763233483792,2437
50,20,50,15,689.768717628799,-54.43312536354822,63.12801589554356,3523
200,15,70,20,689.6945060341501,-57.119354840336825,62.05170975813178,2398
30,15,60,15,688.7710220458503,-49.04236137429196,62.897290063566416,2989
50,15,55,15,688.51264407795,-57.23042688757425,62.85890707008336,3239
50,15,55,40,686.6221652593996,-53.79704418745984,62.77622159975101,3213
150,5,70,20,686.1563143402998,-55.08217512919791,62.723404255319146,2350
150,30,50,40,686.0814357575509,-40.13298237404507,64.05673758865248,3525
200,20,70,30,686.0651582214,-50.72379387384901,62.23426427678199,2399
60,35,80,15,685.3734642397999,-47.08801380021374,61.738308927727914,2117
50,25,70,10,684.5282004647006,-51.941284131954,61.43977191732003,2806
50,10,50,20,684.4493493207501,-50.90431066953385,63.264697105341696,3351
200,35,70,30,683.7278646221991,-49.82918823903188,62.57142857142857,2450
100,35,80,15,683.3241224290999,-57.82440807728497,62.19281663516069,2116
100,20,70,15,682.2019021899004,-56.631700716391975,62.4006359300477,2516
100,35,80,20,681.4838710059996,-56.69018821090563,62.92974588938714,2007
100,30,70,15,681.1046008220003,-59.55217264339445,62.715179968701094,2556
100,30,65,50,680.7368512206504,-54.37690946243282,62.86337209302325,2752
60,30,50,20,680.5837870650006,-47.74114045026581,63.05309734513275,3616
100,15,65,50,680.4218619551498,-52.92610214157789,62.42492492492493,2664
30,25,80,30,679.6256803216498,-58.41938475492703,62.79669762641898,1938
30,15,60,50,679.5030386419508,-51.590951026999385,62.86399451867077,2919
30,25,60,15,679.17482444455,-53.050728187782155,62.88659793814433,3104
150,35,50,15,678.7441695916493,-43.36606146343471,63.808991901703436,3581
50,30,80,15,678.5862404310504,-46.91959985883293,61.365807067812796,2094
100,15,50,20,676.1851633866997,-46.07150739588336,63.554392088423505,3438
150,30,75,30,673.48574982815,-55.249721130924634,62.697674418604656,2150
60,10,80,15,673.4289336407497,-44.192024642273545,61.32352941176471,2040
100,25,65,40,671.5584033522,-55.537996122372434,62.51370113262696,2737
50,25,70,20,671.3302814993494,-50.83386880268614,62.68596702854845,2487
200,5,80,50,670.9401429736498,-56.606033869200246,62.244333886124934,1809
120,5,80,40,670.4107620448005,-56.44510688601079,62.08035222894882,1817
60,35,50,30,669.5316671345485,-50.5278451612086,63.078608600383454,3651
100,20,80,50,668.9989655185994,-55.002530041756096,62.89473684210526,1900
150,15,70,20,668.9616209155998,-54.95750580647678,62.778235779060175,2426
150,10,80,30,668.7876807206497,-57.33526557343052,62.27027027027027,1850
50,25,65,40,668.1111627085014,-49.53567253756911,62.159174649963155,2714
30,25,80,50,667.0971278652496,-58.05465736462542,62.877997914494266,1918
120,30,80,40,666.7390703299997,-58.98794228923043,62.39361702127659,1880
60,15,80,20,666.4310985604494,-48.03466963029827,61.96038598273235,1969
200,35,70,50,666.4219772740494,-51.412807142759796,62.52045826513911,2444
200,35,70,40,666.4219772740494,-51.412807142759796,62.52045826513911,2444
100,20,65,20,665.82938181135,-53.33141047049186,62.45883644346871,2733
50,25,55,10,664.9274467909498,-59.633005914506064,62.808730614589315,3482
150,25,70,50,664.6446217969491,-56.22446958588105,62.720196640721014,2441
60,25,70,20,662.7783861281495,-52.06955751340444,63.02521008403361,2499
150,35,75,15,662.5099278544006,-55.908705017250384,62.68656716417911,2278
50,15,55,50,662.3493557756004,-53.799214457221645,62.75303643724697,3211
100,5,65,50,661.7652851194505,-54.20035607539797,62.39750097618118,2561
50,10,50,40,660.8628599357005,-51.33086140018227,63.238380809595206,3335
150,25,75,10,660.8460449573998,-57.70179530275684,61.858974358974365,2496
200,35,80,30,660.2057486182997,-59.68347217287343,62.53951527924131,1898
200,20,70,20,660.1709407126499,-59.28083040573745,62.044701986754966,2416
150,30,50,50,660.0429617073496,-40.13737060144001,64.02612152186258,3522
60,25,50,10,659.4499915202488,-50.86223010042169,63.002171552660144,3684
50,20,80,5,658.9856210000502,-54.424384143548785,53.59815774323546,3474
120,5,80,50,658.9489059069504,-55.7821081497988,62.09944751381216,1810
200,5,65,50,658.9238647456999,-50.62084153413754,62.33094669848847,2514
150,30,70,50,658.4055632303507,-53.967013317194045,62.78975193167955,2459
50,35,65,40,658.3141476028503,-48.18914406769124,62.71676300578035,2768
150,30,50,15,658.1630242878492,-42.85004359281345,63.87714849253311,3549
150,35,60,10,657.8397005743502,-57.00866182261407,63.78881987577639,3220
100,30,80,50,657.0598895324997,-55.447083761995145,63.40825927861997,1913
200,5,80,30,656.9756817879503,-55.305914871077235,62.211221122112214,1818
100,20,65,30,656.6572489141508,-49.90600896837839,62.573746312684364,2712
150,30,75,50,656.58381797125,-56.607169659230536,62.7039627039627,2145
100,30,65,30,655.6143026203503,-54.38270689012423,62.885103298296485,2759
150,25,70,30,655.54398913425,-56.222014868793046,62.71463614063778,2446
100,30,65,20,655.0663810921008,-56.551276220536884,62.697841726618705,2780
100,10,70,50,653.6066142275505,-56.870045423784866,62.83783783783784,2368
120,15,80,30,652.9294724539507,-58.496721932878984,62.326574172892215,1874
150,30,75,40,652.8781583367505,-56.6165569376333,62.72134203168685,2146
100,25,70,15,652.7661942034998,-60.88531429209115,62.38676644348169,2539
100,35,80,40,651.98593836615,-57.944455006597785,63.20166320166321,1924
60,15,80,50,651.0950404140503,-50.46482211635765,62.32038318254391,1879
200,20,80,50,650.6754504381499,-58.818895121805625,62.07638515330823,1859
150,30,70,40,650.6612082559999,-53.96541474336344,62.78975193167955,2459
200,5,70,15,650.6285106799501,-44.58342483949864,62.38919375263824,2369
150,30,70,30,650.3636581404003,-53.96090173850906,62.824675324675326,2464
60,30,50,40,648.9704245867001,-50.05575472529096,63.045290358432894,3599
100,20,80,15,648.0632225826502,-56.199417504317395,61.64186269803168,2083
120,25,80,30,647.8743978333994,-59.187362698734105,62.65123619147816,1901
200,5,65,40,647.3933138384001,-50.61889843130831,62.28139904610492,2516
30,15,60,40,647.2972017730506,-51.590951026999385,62.829736211031175,2919
200,25,80,30,647.2902507076506,-56.46454927057496,62.18931782125859,1891
30,15,50,10,646.9745763837005,-50.50550297864018,63.22418136020151,3573
100,15,70,15,646.8669818513001,-59.4112733168272,62.05086798546628,2477
150,25,70,40,646.3416719052002,-56.223600133841764,62.67922982384269,2441
150,5,80,15,646.3029024366999,-58.49145227760022,62.03937405350833,1981
60,20,55,40,645.9970773445506,-47.98632392607925,63.30472103004292,3262
30,10,55,15,645.6051799176007,-53.26346694536617,63.76857413847613,3163
200,30,80,15,645.5405666627004,-58.03025620895307,61.946472019464714,2055
50,25,80,50,645.1883897275509,-46.83833727151651,62.2907949790795,1912
100,5,65,40,644.8580134154998,-54.20304148372583,62.36349453978159,2564
120,15,80,10,644.0753057312503,-54.43427636242376,60.73724817831119,2333
30,25,70,15,643.7772388520513,-46.68494114890942,62.052877138413685,2572
100,10,70,40,643.7622169402499,-56.88131892287422,62.81131279020684,2369
100,15,50,10,643.1474345352003,-47.007469641451394,63.78971043013776,3557
200,30,70,30,642.8861723241005,-51.66150754662158,62.633305988515175,2438
50,20,70,7,642.8601113525004,-50.08604570827531,59.66868429436126,3139
50,20,50,7,642.8201083667498,-49.19992543710357,62.61004660797514,3862
100,35,75,20,642.6090043140503,-56.13407988222854,63.306451612903224,2232
200,5,80,15,642.4026455081504,-52.43297781555367,61.554192229038854,1956
50,25,80,30,641.4173235079496,-47.032422367187756,62.0850622406639,1928
100,30,80,20,640.5832040277496,-56.44581498949892,62.91854072963518,2001
50,35,65,20,639.9946688542996,-51.27648079678646,62.70944741532977,2805
60,20,55,20,639.9317798852005,-47.4016641983289,63.33943833943834,3276
150,10,80,20,639.4876953031,-58.20964493759394,62.06174777603349,1911
60,30,50,50,639.4669120118496,-50.576767448183325,63.0670748677985,3593
100,35,65,50,639.42280052685,-52.68396701845063,62.698412698412696,2772
30,15,60,20,639.3786177889505,-50.67307498545449,62.74242939775434,2939
30,15,60,30,638.2115588165002,-51.590951026999385,62.7906976744186,2924
20,25,60,20,637.7050009488997,-56.043444334562864,63.26199740596628,3084
120,35,80,50,635.7014399144506,-59.98609565932893,62.14057507987221,1878
100,5,70,50,635.4545350881001,-58.85702786856758,62.542808219178085,2336
150,35,55,20,634.8700172619002,-44.65400041103288,63.52941176470588,3315
150,30,60,20,634.7869098715,-54.79404183503252,63.69953673064196,3022
100,5,70,40,633.8789643170002,-58.84094966837557,62.48930710008555,2338
50,35,80,5,633.8033261225501,-57.0645146052145,53.98652442448063,3562
100,30,65,40,633.7965659739998,-54.378835056864105,62.78140885984024,2754
50,15,80,5,633.1798856021996,-53.0936303503713,53.53387850467289,3424
60,20,80,20,632.6233776132499,-45.53494022695608,61.923847695390776,1996
100,20,65,40,632.0088490105504,-49.91145546370488,62.43073513114149,2707
60,25,55,40,631.8349368995001,-49.60917318891656,63.02902055622733,3308
30,20,70,15,630.5372764930503,-49.023987617058395,62.106918238993714,2544
200,20,80,15,630.3118764986995,-52.378074929531785,61.59563924677899,2018
100,20,50,20,630.1930755648991,-46.38054648034074,63.52201257861635,3498
50,20,80,50,629.9191502149,-44.9301573161203,61.73684210526316,1900
30,15,55,15,628.82643323175,-48.03439393521164,63.80311831244268,3271
50,35,65,30,628.5160739840504,-48.1905554935628,62.62153402952827,2777
150,35,60,15,627.6102794984486,-53.82961856738303,63.73090672733181,3077
150,5,70,50,627.4260121127999,-52.363557150237085,62.929553264604806,2328
20,20,55,30,627.16064036815,-53.52648573600116,63.705275924802905,3298
150,10,80,40,626.8529981871004,-56.76213491759719,62.3773173391494,1834
200,25,80,50,626.7588582129501,-60.41473734885835,62.12765957446808,1880
150,20,70,20,626.1966168358005,-56.56554196064547,62.82103546677538,2453
60,30,50,30,626.0351468079004,-49.964201044222655,63.030807660283095,3603
100,5,65,30,626.0006632391,-54.15893447141119,62.35385814497272,2566
50,25,60,7,625.3175278594493,-59.67991626753858,61.431805319750985,3534
100,15,65,30,623.7125960455003,-52.92992916627163,62.44377811094453,2668
200,25,60,20,623.1444744372504,-58.63471625928409,62.95789113317357,2921
50,15,70,20,622.985103684,-51.90329857735922,62.28287841191067,2418
50,20,50,30,622.6417334910009,-53.41156182602796,63.02978235967927,3492
100,35,65,20,622.35413193595,-55.37355257114307,62.51783166904422,2804
200,30,70,50,622.1802450038002,-52.760840642577,62.54111842105263,2432
200,30,70,40,622.1802450038002,-52.760840642577,62.54111842105263,2432
60,35,50,15,621.8187453572992,-53.12995473673473,62.91462751495378,3678
100,35,80,30,621.4382557486501,-57.441024341669824,63.1578947368421,1938
60,10,80,20,621.3083098760496,-48.37911984557749,62.17324449000513,1951
50,35,80,15,621.2690635824,-49.83269893208223,61.29956999522217,2093
20,20,55,50,621.1800504424501,-53.53350963210806,63.70550654091877,3287
150,35,70,20,621.1641871361002,-57.60669651992421,62.660771704180064,2488
50,25,75,15,620.565537647751,-48.52207431841327,63.09420916162489,2314
150,5,70,40,620.0679399727503,-52.361066315775574,62.929553264604806,2328
200,20,80,30,619.9776519918507,-57.73345782282446,62.02463845741831,1867
30,10,80,20,619.8277972746502,-51.00035325588217,61.82100362131402,1933
150,35,55,30,619.68245305915,-44.01177178034246,63.59516616314199,3310
20,20,55,40,619.0166089210005,-53.528549530871736,63.73025516403402,3292
