MaxDays,Label,Return,MDD,WinRate,Trades,AvgHoldingDays,AvgWin,AvgLoss,Sharpe
10,10일,1039.0162451294646,-55.150208412162904,48.947533773169965,3183,9.769399937166195,6.998166968324132,-5.712703977350426,18.83975192558508
20,20일,2577.0031303404703,-59.4018863586972,54.11483253588517,2090,16.137799043062202,8.73651855403228,-8.148813419084933,43.382513389882675
30,30일,2409.780297381327,-61.930435237048655,60.497572815533985,1648,20.99757281553398,8.498440151332598,-9.948352378089394,38.9110828651132
40,40일,2199.06507656365,-62.75405089421984,64.51178451178451,1485,23.719191919191918,8.473675120882412,-11.567000238126855,35.04259956493426
50,50일,6081.228882065664,-64.29778010515015,66.35379061371842,1385,25.36895306859206,8.553799410496232,-11.57585665581033,94.57914211222615
60,60일,18028.480628737037,-63.878551162608346,67.31634182908546,1334,26.557721139430285,8.774160345634419,-11.174393173162308,282.2305813236745
70,70일,10437.791536473156,-60.086865910908635,67.3374613003096,1292,27.53250773993808,8.419671539175459,-10.951190915494525,173.71169852575383
90,90일,6456.961840148261,-61.77539519030503,67.20386784850928,1241,28.841257050765513,8.468697259757407,-11.38760090811144,104.52319763001064
999,무제한,13472.578518578564,-59.175532531281924,67.53670473083197,1226,29.18026101141925,8.514809129561547,-10.671791903238914,227.67143686381806
