SMA,Buy,Sell,Hold,MaxPos,Return,MDD,WinRate,Trades
30,25,80,15,5,1003.7849828372508,-44.7367540129098,61.897949451597526,2097
120,25,80,10,5,992.1111427976005,-57.059821377536416,60.99201345102985,2379
100,25,70,20,5,981.9820919684989,-56.507570185414636,62.946607788036935,2491
100,15,70,20,3,980.6485002338004,-60.25177014345644,62.958027981345765,1501
50,10,80,50,5,978.8056414580994,-46.34951048830614,62.653169952051144,1877
50,15,80,30,5,975.5727316148004,-47.14713986589676,61.92226890756303,1904
50,25,80,15,5,971.2479955196491,-41.629476787838136,61.19331742243437,2095
120,30,70,20,3,967.5771373941008,-59.907079688348475,62.82894736842105,1520
100,20,70,20,5,965.1500150396998,-53.16270533371389,62.92089249492901,2465
100,30,70,20,5,962.8361998945998,-56.514836720720666,63.183087355404865,2507
100,20,70,50,3,951.4232025914008,-59.6515511744464,63.259853039412164,1497
50,15,70,20,3,948.1825903343006,-63.543587111909204,62.26666666666667,1500
100,15,70,50,3,947.8550755571001,-59.33988929261261,63.08002689979825,1487
50,10,70,50,3,944.5806770264996,-57.34458899614591,62.49149081007488,1469
50,15,80,20,5,936.3183369883008,-51.97124326570468,61.60122386537481,1961
100,15,80,10,5,933.7113929127501,-50.583699444331444,60.239418554938005,2339
200,20,80,50,3,933.5561501911994,-65.67974538002392,63.227513227513235,1134
100,20,70,30,3,931.9821504707495,-59.652079515545,63.30887258172114,1499
120,10,80,50,5,930.7439230515499,-50.9662918254848,62.79956427015251,1836
60,30,80,10,5,929.7834373735997,-43.76765364235463,60.73040623717686,2437
100,15,70,30,3,929.0654021693495,-59.33534937120768,63.129617192746814,1489
100,15,80,30,5,922.0742286086509,-52.95573697708386,62.72869837950863,1913
50,15,70,50,3,919.1420128504999,-60.94199837146122,62.32275489534098,1481
120,25,70,15,3,909.8589603957496,-60.81093883948776,62.91989664082688,1548
30,30,80,20,5,906.4364133718002,-55.49172426300053,61.94513715710723,2005
30,25,80,20,5,904.66239411485,-55.073955892521695,62.40676280457483,2011
50,20,80,10,5,903.9664786923995,-44.451553595678874,60.04184100418411,2390
60,10,80,30,5,901.6930724337508,-49.36827696180636,62.65889830508474,1888
100,15,80,15,5,898.6708768837495,-52.56499925350244,61.81730304494925,2069
100,15,70,20,5,898.5784182241497,-55.07032497597375,62.60296540362438,2428
100,10,70,20,3,893.5316969863512,-60.789951956686615,63.022941970310384,1482
100,10,80,15,3,889.4080190406,-49.20351942326142,63.29830234438156,1237
200,5,80,50,3,880.5124738832998,-59.162287832880736,62.759242560865644,1109
100,5,70,15,3,877.0971365787,-63.64355570128944,63.28021248339974,1506
100,20,80,20,3,872.5947363430499,-64.55474755277257,63.20675105485232,1185
100,20,70,20,3,869.6649167963011,-60.55702714494334,63.02186878727635,1509
200,20,80,30,3,868.8170270088499,-65.04872520396894,63.309982486865145,1142
100,10,70,50,3,863.0843760045506,-60.585033793561806,63.10415248468346,1469
100,20,70,50,5,861.5227820153503,-52.878317290076126,62.874743326488705,2435
120,25,80,10,3,859.2573644965003,-65.14377603534771,60.87866108786611,1434
120,20,70,20,3,855.7003419189502,-62.70788078787955,62.81540504648074,1506
100,20,70,30,5,851.7602922841,-52.88159333469261,62.894628946289465,2439
100,30,80,10,5,850.6314111882995,-54.59341343534325,60.56690287619841,2399
100,10,80,20,3,849.3734185813508,-61.43939950078418,63.193851409052094,1171
100,25,80,15,5,847.4590525471503,-56.306964490624324,62.30440967283073,2109
100,10,70,30,3,844.6050009561501,-60.58264144980837,63.154316791298434,1471
120,10,70,50,3,843.7103413021994,-57.64549889739674,62.98305084745762,1475
120,15,80,50,5,843.1760372791505,-54.94281049563856,62.473118279569896,1860
50,10,70,30,3,842.6246077388996,-58.6052679914853,62.54248810333106,1471
50,25,80,10,5,842.5400730782002,-50.47721009836367,60.190555095277546,2414
100,25,80,30,10,839.4600427266508,-42.13644699450793,62.28140973903685,3717
50,10,80,50,3,839.3274707850503,-58.08966864034306,62.214411247803156,1138
100,30,70,30,5,836.1994846681505,-56.21574616303965,63.20258794985847,2473
50,10,80,20,5,831.4796524619002,-49.37458048971102,61.68032786885246,1952
100,10,80,30,10,831.0618792002991,-39.10209390297785,62.0292299044407,3558
50,10,80,15,3,830.9881814873,-53.122308986621235,61.27214170692431,1242
100,10,80,15,5,830.4195522101487,-52.428389792018024,61.839530332681015,2044
100,30,70,50,5,828.9277800266999,-56.21387692714082,63.128038897893035,2468
100,10,80,20,5,827.6533623521004,-53.175747029070074,62.544894817855315,1949
120,25,70,10,3,824.0264802235001,-60.547452730111914,62.023809523809526,1680
120,20,80,10,3,822.5132328883495,-68.04888700534978,60.70175438596491,1425
200,20,80,20,3,821.36806932815,-69.38142153670903,62.922297297297305,1184
120,10,80,30,5,818.9572120545504,-55.047826048377544,62.82327586206896,1856
100,15,70,50,5,815.0862780677999,-55.32306336026285,62.625,2400
100,20,80,10,5,812.8792882432006,-49.765293423841186,60.18636171113935,2361
120,10,70,30,3,812.4481021923003,-57.64466250866987,62.98305084745762,1475
50,15,80,30,3,812.3683281768994,-57.822387973233766,62.11072664359861,1156
50,15,70,30,3,812.1763988068997,-62.86972869778019,62.39027683997299,1481
100,25,70,50,3,807.38939203145,-59.534878103713396,62.782956058588546,1502
100,15,80,20,5,805.9282792583995,-55.076501939009304,62.62677484787018,1972
200,20,80,10,3,801.3254537924998,-69.93395462663777,60.46010064701653,1391
60,25,80,20,5,801.2565354293502,-46.07225901756853,62.239841427155596,2018
100,25,80,10,5,800.9279520961005,-56.803803738424605,60.20151133501259,2382
100,15,70,30,5,797.1214600504999,-55.30812230915425,62.6300457761132,2403
100,25,80,50,5,796.0955822588492,-56.695148033374785,63.47462061747776,1911
50,15,80,15,3,795.50444901995,-52.98147297367196,61.06194690265486,1243
100,20,80,30,10,794.9962992819003,-40.67884758493122,61.97760174815624,3661
120,30,80,15,5,791.6134714881492,-51.03740717322046,61.700095510983765,2094
100,25,70,30,3,790.0077005247492,-59.538565032472846,62.83244680851063,1504
30,25,80,10,10,788.12951519485,-41.59020960734857,59.23471569046601,4678
100,20,80,20,10,787.5068993679994,-45.750723149164926,62.01694017998941,3778
30,25,60,50,5,786.75592218935,-50.69517432589057,63.02990469930989,3043
30,10,60,30,5,786.3442067217495,-49.08302004514284,63.297316138027185,2869
50,20,80,30,5,785.5185246894006,-45.222282936856516,61.73096976016684,1918
60,20,70,20,3,784.9111351973503,-54.58884336571557,63.44370860927152,1510
50,15,80,50,5,784.0022502062504,-46.852357941951816,61.90981432360743,1885
30,30,80,15,5,779.4530373232998,-50.52698317175348,61.82513139034879,2093
100,25,80,20,5,777.45902671825,-56.93972052730992,62.97595190380761,1996
100,25,80,50,10,775.435626032651,-41.34919426134023,62.36763508009775,3683
200,15,70,50,5,775.2256919316496,-49.94869144173284,62.38416175231677,2374
100,25,70,50,5,775.1832296136503,-56.18418549270944,62.754686226568865,2454
60,10,80,50,5,773.2073359526001,-50.124907034446245,62.74825550187869,1863
60,10,70,20,5,771.4245393655995,-56.264334696705795,62.82264779350542,2402
200,25,70,15,3,770.1384927310004,-61.67104741800101,62.796833773087066,1516
200,5,80,30,3,769.1325144775003,-57.801400217906405,62.69058295964126,1115
200,5,70,15,3,768.9051035034506,-62.105943131733355,62.89437585733882,1458
200,5,70,50,5,767.8908837053001,-48.99663465070464,62.56521739130435,2300
100,25,70,30,5,766.4272028757005,-56.18741034843284,62.77461350691619,2458
30,30,80,15,3,764.7611930535497,-57.9979487965415,61.37440758293838,1266
120,20,70,15,3,764.0646479082001,-60.908796764132425,63.09291747888239,1539
50,10,80,5,5,761.8272978289003,-50.385296711984715,53.39285714285714,3360
100,20,80,50,10,761.7418688025989,-38.88913106633207,62.13538800220143,3634
100,10,80,50,10,760.78423595765,-40.60367952708414,62.04358901783187,3533
120,10,70,10,3,758.6396754195501,-57.116642952692196,62.144155057540885,1651
100,5,80,20,3,751.5170142240995,-66.61199934057666,63.65979381443299,1164
200,5,70,20,5,746.1090782888502,-53.782948658565,62.39793725827245,2327
200,20,70,15,3,744.6139139281499,-60.649988557096904,62.913907284768214,1510
30,10,60,20,5,743.8649487526491,-49.088479312623335,63.2072197153766,2881
30,10,60,15,5,742.6622929256494,-48.52203643681825,63.28205128205128,2925
200,25,70,50,5,742.5217495694509,-53.99845720209211,62.505167424555594,2419
60,15,80,30,5,741.2476837044999,-50.54285015600502,62.407991587802314,1902
100,5,70,20,5,740.3723872073,-57.51195951601448,62.637362637362635,2366
120,10,80,10,3,739.8492084526999,-68.20538864556924,60.44191019244476,1403
200,5,70,30,5,739.8220963433996,-49.380431066676714,62.51086012163336,2302
200,20,70,50,5,738.0865996830004,-50.22188169539529,62.36424394319131,2394
30,10,60,50,5,737.4852325637004,-49.08302004514284,63.334498427123386,2861
60,10,80,50,3,735.8383712829003,-47.74423401256737,62.19081272084806,1132
50,15,80,20,3,734.7033570843497,-62.10240024106702,61.48705096073517,1197
30,15,80,20,5,733.8995609398501,-54.136134191713694,61.621344279117494,1949
200,5,80,20,3,733.7230842015508,-63.1460758572466,62.83724978241949,1149
30,25,60,30,5,731.8964787141492,-49.290093198064774,62.95931758530183,3048
100,30,70,50,3,730.5043860900998,-58.54627656449607,62.81540504648074,1506
200,25,70,30,5,729.5270562877004,-52.92456936160691,62.525794469665705,2423
100,5,80,30,10,728.9318967123,-44.33861394093579,62.173788356753654,3487
200,5,70,20,3,728.8526984201999,-65.24494388534309,62.14135759272218,1429
50,20,80,20,5,727.7649197116006,-46.731250613894034,61.347517730496456,1974
50,5,70,20,3,727.0200568733992,-58.87567569671495,62.457569585879156,1473
60,25,80,10,5,726.9000166558505,-50.47908360913787,60.14014839241549,2426
100,10,80,10,5,726.5816265545498,-51.79661734255506,60.155574762316334,2314
100,30,70,30,3,726.4962197270506,-58.54428037411756,62.88933068257124,1509
200,25,80,15,10,725.3061487441996,-43.03290492230236,61.54828819621871,3914
60,20,70,15,3,722.128534100099,-55.045321704071924,63.212435233160626,1544
120,25,80,20,5,720.1163800736504,-63.57593751537086,62.52515090543259,1988
100,30,80,15,5,719.9457456517008,-55.39727878744314,62.251655629139066,2114
120,15,70,15,3,718.5505877800497,-58.483567145866786,62.93159609120521,1535
50,15,80,50,3,718.5327111949496,-59.990332333332,62.06293706293706,1144
100,10,70,20,5,718.1096023429499,-57.264313390388345,62.85475792988314,2396
100,15,80,50,10,717.0241898346512,-40.06617090008012,62.005571030640674,3590
120,25,80,15,5,713.0508249969498,-55.3935414651896,61.60842508377215,2089
100,15,80,30,10,712.43401584955,-41.00690937530698,61.874481614597734,3617
100,30,70,10,3,712.4144207333005,-64.62892143251341,61.89634864546525,1698
120,25,80,50,5,712.0429289400508,-58.47136753031826,62.81167108753316,1885
120,20,80,10,5,710.8820071056003,-57.766009850240195,60.715807413719645,2347
100,25,80,30,5,710.3628120139001,-56.83716774483414,63.27800829875518,1928
60,25,80,15,5,710.1832838848998,-43.18379099055253,61.75771971496437,2105
30,25,60,20,5,708.4000325375503,-49.0365069260093,62.90006531678641,3062
100,20,80,10,10,707.9000932024999,-42.22290578008968,59.9602911978822,4533
200,15,70,30,5,707.2939626237495,-50.466555352263775,62.253047498949144,2379
100,25,80,10,3,702.0223816965508,-56.681670601457235,61.14206128133704,1436
50,25,80,5,5,699.9375719218998,-56.54383497105528,53.690510116842404,3509
200,25,70,20,5,690.2550901777003,-59.435292342160785,62.20763233483792,2437
200,15,70,20,5,689.6945060341501,-57.119354840336825,62.05170975813178,2398
30,15,60,15,5,688.7710220458503,-49.04236137429196,62.897290063566416,2989
100,30,70,50,10,687.8453664600997,-45.38168681618554,62.53420332561566,4751
200,20,70,30,5,686.0651582214,-50.72379387384901,62.23426427678199,2399
50,25,70,10,5,684.5282004647006,-51.941284131954,61.43977191732003,2806
100,20,70,15,5,682.2019021899004,-56.631700716391975,62.4006359300477,2516
120,10,70,20,3,681.9316574479508,-59.9976243097195,62.878278412911904,1487
100,30,70,15,5,681.1046008220003,-59.55217264339445,62.715179968701094,2556
30,25,80,30,5,679.6256803216498,-58.41938475492703,62.79669762641898,1938
30,15,60,50,5,679.5030386419508,-51.590951026999385,62.86399451867077,2919
30,25,60,15,5,679.17482444455,-53.050728187782155,62.88659793814433,3104
50,30,80,15,5,678.5862404310504,-46.91959985883293,61.365807067812796,2094
50,10,80,30,3,677.1171048235993,-63.40115542348676,61.92139737991267,1145
60,10,80,15,5,673.4289336407497,-44.192024642273545,61.32352941176471,2040
100,30,70,20,10,672.2328748877501,-48.49120642552419,62.596053997923164,4815
50,25,70,20,5,671.3302814993494,-50.83386880268614,62.68596702854845,2487
50,30,70,30,3,671.1840417967504,-61.92304068814245,63.00197498354181,1519
200,5,80,50,5,670.9401429736498,-56.606033869200246,62.244333886124934,1809
50,30,70,20,3,669.8916126647,-62.849528273918644,62.67880364109233,1538
100,20,80,50,5,668.9989655185994,-55.002530041756096,62.89473684210526,1900
120,5,70,15,3,668.8116287531495,-62.35143517509803,63.38215712383488,1502
200,25,80,20,10,668.7180227176502,-46.62635629366939,61.73304628632938,3716
50,20,80,20,3,667.8288520418001,-59.08243539490997,61.684558216350126,1211
50,25,80,20,10,667.8259799714507,-42.888504741023624,61.62246489859594,3846
100,30,70,30,10,667.2619260985,-45.12231937663138,62.563025210084035,4760
30,25,80,50,5,667.0971278652496,-58.05465736462542,62.877997914494266,1918
100,30,80,30,10,666.7540427703007,-44.683185611194034,62.279765082754935,3746
60,15,80,20,5,666.4310985604494,-48.03466963029827,61.96038598273235,1969
60,25,70,20,5,662.7783861281495,-52.06955751340444,63.02521008403361,2499
100,15,80,20,10,662.5429434485003,-45.31281694974888,61.557112068965516,3712
50,25,80,15,3,662.4033664589007,-62.973976226751525,61.323763955342905,1254
200,20,70,20,5,660.1709407126499,-59.28083040573745,62.044701986754966,2416
50,20,80,5,5,658.9856210000502,-54.424384143548785,53.59815774323546,3474
120,5,80,50,5,658.9489059069504,-55.7821081497988,62.09944751381216,1810
200,10,80,20,3,658.4442245162504,-68.6670718150134,62.18560277536861,1153
100,30,80,50,5,657.0598895324997,-55.447083761995145,63.40825927861997,1913
200,5,80,30,5,656.9756817879503,-55.305914871077235,62.211221122112214,1818
200,10,80,50,3,656.0260580905997,-65.24174434728445,61.87895212285456,1107
50,25,70,10,3,655.4135566651497,-71.12702940945117,61.86291739894551,1707
100,10,70,50,5,653.6066142275505,-56.870045423784866,62.83783783783784,2368
120,15,80,30,5,652.9294724539507,-58.496721932878984,62.326574172892215,1874
100,25,70,15,5,652.7661942034998,-60.88531429209115,62.38676644348169,2539
100,20,70,20,10,652.0777649361502,-50.132392830492364,62.130937098844676,4674
200,15,80,50,3,651.9549239664502,-64.57976027443092,62.11849192100538,1114
60,15,80,50,5,651.0950404140503,-50.46482211635765,62.32038318254391,1879
200,20,80,50,5,650.6754504381499,-58.818895121805625,62.07638515330823,1859
200,5,70,15,5,650.6285106799501,-44.58342483949864,62.38919375263824,2369
50,20,80,15,3,650.6243714433508,-63.144703869462305,61.102236421725244,1252
100,20,70,30,10,650.4952620704001,-46.55292864577654,62.180874080484635,4622
30,15,80,15,3,648.4242774853506,-52.27756120662923,61.84738955823293,1245
100,20,80,15,5,648.0632225826502,-56.199417504317395,61.64186269803168,2083
120,25,80,30,5,647.8743978333994,-59.187362698734105,62.65123619147816,1901
200,25,80,30,5,647.2902507076506,-56.46454927057496,62.18931782125859,1891
100,15,70,15,5,646.8669818513001,-59.4112733168272,62.05086798546628,2477
200,30,80,15,5,645.5405666627004,-58.03025620895307,61.946472019464714,2055
100,25,70,20,3,645.2162125879502,-63.86644950411801,62.35917826375083,1509
50,25,80,50,5,645.1883897275509,-46.83833727151651,62.2907949790795,1912
100,5,80,50,10,644.66863399155,-44.32450584622717,62.04801851316169,3457
120,15,80,10,5,644.0753057312503,-54.43427636242376,60.73724817831119,2333
30,25,70,15,5,643.7772388520513,-46.68494114890942,62.052877138413685,2572
200,15,80,10,3,643.0232887605503,-69.97470259647731,60.0,1380
200,30,70,30,5,642.8861723241005,-51.66150754662158,62.633305988515175,2438
200,5,80,15,5,642.4026455081504,-52.43297781555367,61.554192229038854,1956
200,25,80,30,10,641.7253258714492,-42.917198325190576,61.638888888888886,3600
50,25,80,30,5,641.4173235079496,-47.032422367187756,62.0850622406639,1928
100,30,80,20,5,640.5832040277496,-56.44581498949892,62.91854072963518,2001
30,15,60,20,5,639.3786177889505,-50.67307498545449,62.74242939775434,2939
30,15,60,30,5,638.2115588165002,-51.590951026999385,62.7906976744186,2924
200,30,70,15,3,635.6602900395994,-63.57770419695,62.86279683377308,1516
100,5,70,50,5,635.4545350881001,-58.85702786856758,62.542808219178085,2336
100,20,70,50,10,635.4314312029996,-46.874403018308044,62.1175960078108,4609
30,20,80,10,10,635.0300873123,-44.32177679446074,59.48818043808285,4611
50,15,80,5,5,633.1798856021996,-53.0936303503713,53.53387850467289,3424
60,20,80,20,5,632.6233776132499,-45.53494022695608,61.923847695390776,1996
30,20,70,15,5,630.5372764930503,-49.023987617058395,62.106918238993714,2544
200,20,80,15,5,630.3118764986995,-52.378074929531785,61.59563924677899,2018
60,25,80,15,10,630.2396367817995,-36.98081002782361,61.17906066536204,4088
50,20,80,50,5,629.9191502149,-44.9301573161203,61.73684210526316,1900
100,10,80,15,10,629.0882680157497,-45.658625604790686,61.222366710013,3845
100,15,80,15,3,628.9801734878006,-59.69011519763783,62.86173633440515,1244
200,25,80,50,5,626.7588582129501,-60.41473734885835,62.12765957446808,1880
50,25,80,30,10,626.5015490643001,-43.39928394680673,62.11430104641803,3727
200,30,80,15,10,624.9549832349497,-41.77116901737079,61.853067407220394,3961
200,15,70,15,3,624.6378315335004,-61.14271611404117,62.37424547283702,1491
200,25,70,50,10,623.9716516767995,-53.410801501611914,62.24934612031387,4588
200,25,60,20,5,623.1444744372504,-58.63471625928409,62.95789113317357,2921
100,30,80,50,10,623.1337372825003,-44.71088363726191,62.34501347708895,3710
50,15,70,20,5,622.985103684,-51.90329857735922,62.28287841191067,2418
200,30,70,50,5,622.1802450038002,-52.760840642577,62.54111842105263,2432
60,10,80,20,5,621.3083098760496,-48.37911984557749,62.17324449000513,1951
200,20,80,30,5,619.9776519918507,-57.73345782282446,62.02463845741831,1867
30,10,80,20,5,619.8277972746502,-51.00035325588217,61.82100362131402,1933
120,15,80,50,10,619.0588811856504,-36.322006399003286,61.449520586576426,3546
50,20,70,20,5,618.2265365124505,-49.73314041203052,62.591389114541016,2462
200,25,70,30,10,617.6795454366501,-53.19420603237105,62.19804134929271,4595
120,5,80,10,3,616.2592575681005,-69.85102796667134,60.361010830324915,1385
100,5,70,30,5,615.3819252370001,-58.28275376874809,62.52136752136752,2340
100,20,80,20,5,614.2834762596999,-52.710697051453096,62.417804754678805,1977
120,30,70,50,5,613.8780427792502,-45.02428165134529,62.99019607843137,2448
60,5,70,20,5,612.2434019689001,-59.87365242295126,62.52107925801012,2372
50,20,70,10,3,610.6753671915498,-65.73801081151495,61.72106824925816,1685
50,10,80,20,3,610.4328550768504,-59.10141380330335,61.40202702702703,1184
60,15,70,15,3,610.2316926412008,-57.9668816240303,63.023560209424076,1528
120,30,70,20,5,608.4320861724498,-46.380631652203604,62.86749899315345,2483
200,15,80,20,3,607.6221984286499,-68.54130932983374,62.381363244176015,1159
120,30,80,30,5,607.4028683574501,-59.065447544495406,62.506610259122155,1891
100,20,70,15,10,606.6014225165992,-44.38014555819504,62.021343377275585,4779
50,5,80,15,3,605.6248201271499,-58.12550814135182,62.02118989405053,1227
100,20,80,15,3,604.6960250143,-59.6462472577559,62.85028022417934,1249
120,30,80,50,5,603.1679077945499,-58.35873577765691,62.386302835741034,1869
100,5,80,50,5,602.4143412757497,-55.489009016648325,62.75149537792279,1839
120,25,70,20,5,602.3774213573,-46.10250538973035,62.68717118575475,2471
60,30,70,20,5,601.6708410118495,-51.951574143576686,63.027888446215144,2510
50,25,70,30,5,600.7740170900497,-49.719708663501365,62.52039151712887,2452
50,30,70,20,5,600.4370806590503,-51.80233009371163,63.002787733970536,2511
200,30,80,30,5,599.8831692469505,-59.24068239432319,62.73784355179705,1892
100,25,80,20,10,599.6294472561502,-48.07223867028873,62.03363110877562,3806
120,15,80,30,10,599.3452587633496,-36.033681602638175,61.372549019607845,3570
50,20,80,20,10,598.69291607765,-43.66533252112049,61.48382004735596,3801
100,30,70,15,10,598.6009891305999,-45.65260128142628,62.555690562980956,4938
30,20,80,15,5,598.4752345233998,-46.97255501179548,61.368015414258196,2076
100,15,70,15,3,596.5229618640999,-60.71442730215196,62.34527687296417,1535
50,25,80,50,10,594.5495260724498,-42.44971793172917,62.10070384407147,3694
100,10,70,15,3,594.4491162503498,-61.240941143748664,62.565789473684205,1520
100,25,80,15,3,593.9876150366496,-61.998656313704814,63.224781572676726,1259
120,20,70,50,5,593.6559061905502,-44.95869173107671,62.88191577208918,2422
30,30,80,30,5,593.5525685798501,-58.15090182295015,62.21294363256785,1916
100,10,80,20,10,592.3035843301999,-48.183666380439746,61.55110989312141,3649
30,20,60,50,5,591.6489342250997,-49.84435415891236,63.028878441907324,2978
30,25,80,10,3,591.4896990757005,-59.023952395366784,60.0,1475
100,15,70,20,10,591.4293411663999,-50.4695255806477,62.02809482001756,4556
60,30,80,15,5,590.9917916406995,-45.871013297491544,61.87766714082503,2109
100,10,80,10,3,590.6079238598007,-60.64708311060225,60.9652235628105,1409
