SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
150,32,76,3,10,1779.1778005533993,-59.13208724331708,55.24861878453039,1086
130,22,80,3,15,1662.519329277101,-41.01501335368965,58.06451612903226,806
70,32,74,3,10,1601.7139311537999,-56.523695673773574,54.91228070175439,1140
30,26,80,3,40,1592.2884502333013,-53.79917180766724,62.335526315789465,608
110,20,80,3,15,1574.2350218955007,-38.913220022700166,57.340025094102884,797
150,30,76,3,10,1518.8888973048997,-59.57601778551016,55.01858736059479,1076
90,22,80,3,15,1463.7277273391999,-42.573944059022686,58.679706601467,818
130,24,80,5,15,1453.665558835101,-38.317866277127244,57.58490566037736,1325
130,20,80,3,30,1429.2279513726492,-46.605457456482654,62.70096463022507,622
50,30,76,3,25,1416.4690832960496,-63.29610583724792,63.03763440860215,744
150,28,76,3,10,1393.3311065119995,-55.33138456914457,54.37616387337057,1074
110,22,80,3,15,1381.92464154865,-44.13241591427051,57.391304347826086,805
90,24,80,5,40,1375.1224780181994,-48.19913622340866,61.26401630988787,981
70,30,74,3,10,1339.3246580858502,-52.91877678905178,55.33980582524271,1133
130,22,80,3,30,1334.5540775923987,-49.2324758266614,62.72285251215559,617
90,20,80,3,15,1323.81390849315,-40.137398156162476,57.639751552795026,805
90,28,80,3,15,1321.1211907751497,-46.524834003324564,57.93939393939394,825
130,24,80,3,15,1311.30027889705,-45.75237914201357,57.58323057953144,811
130,22,80,5,15,1286.5910376676502,-37.517029865096376,57.22983257229832,1314
30,26,78,5,40,1256.1450606856004,-48.76894878273361,64.55122393472348,1103
110,24,80,5,15,1249.1140576756993,-36.32605681991723,57.68072289156626,1328
90,30,80,5,40,1246.6357536553498,-40.77016661741965,60.95334685598377,986
150,30,80,5,10,1246.52739319455,-39.514444103092785,54.081033470346455,1703
130,20,72,7,30,1233.7568585945,-35.00458766169218,62.9127358490566,1696
150,30,80,5,15,1229.7214383687501,-44.825030584475606,58.00898203592815,1336
130,20,80,3,15,1197.9325899424,-41.51818517055837,57.391304347826086,805
130,32,74,5,30,1186.4742267799,-45.701404440185286,62.36820762368208,1233
150,20,78,3,15,1177.0956116538503,-57.41867623973258,58.78048780487804,820
150,26,76,3,10,1156.9394000303,-62.35602081236284,53.43367826904986,1063
90,32,80,5,40,1149.1753130625,-39.8649206716995,60.692464358452135,982
130,32,74,3,40,1138.5803437476993,-45.014692954596384,62.129380053908356,742
30,32,80,5,40,1122.06776335615,-46.569804823328596,63.662790697674424,1032
90,28,80,5,40,1044.1966233244505,-42.35676213569864,60.79836233367452,977
130,32,72,7,30,1039.6622469064498,-39.35575240678559,63.021420518602035,1774
130,30,72,7,30,1033.6201731361498,-44.39120126458471,63.07171089779785,1771
130,30,80,7,40,1030.3652693062,-37.91279773987082,61.58940397350994,1359
130,20,74,5,40,1029.0064613736997,-40.29517994048625,62.553925798101815,1159
90,24,80,3,15,1017.9599378790003,-48.65747111517188,58.048780487804876,820
90,30,74,7,30,1010.5548901719505,-39.88101349442653,61.26552335895919,1691
130,24,72,7,30,1004.3075059251004,-36.22682825507908,62.644341801385686,1732
130,20,72,7,40,990.5559521508495,-36.61393180496233,62.4019312009656,1657
150,24,80,3,10,986.8106264525999,-53.95411065028469,54.15841584158416,1010
150,30,78,5,15,971.9321631641501,-42.33469476984679,58.33935018050541,1385
150,30,76,5,10,966.8162996251491,-47.32104981970365,55.34308211473565,1778
130,22,74,5,40,962.6952148892501,-40.32998253420058,62.25448334756618,1171
110,30,74,5,30,962.4986200898501,-42.69797729260567,60.973597359735976,1212
130,30,74,3,40,956.2227387759995,-50.05792030533075,61.891891891891895,740
90,28,80,3,40,953.1525544860494,-43.34200448448125,60.570469798657726,596
130,32,74,3,30,950.3755740853501,-46.321065176332624,60.76115485564304,762
70,32,76,3,10,949.5040443917999,-61.3041908656467,53.839205058717255,1107
150,32,76,5,10,948.6263469257503,-46.197887912663006,54.79143179255919,1774
50,30,76,7,10,945.1659301455502,-44.84877193448628,55.075337034099924,2522
50,22,80,3,40,944.5743596445005,-49.11309072344533,61.101836393989984,599
130,22,74,7,40,941.0035427829004,-39.6794553313493,62.59445843828715,1588
130,24,72,5,25,932.96677524885,-49.254018229194365,62.81368821292775,1315
30,28,78,5,40,932.3174631986496,-50.48862329727223,63.91941391941391,1092
130,32,74,7,30,931.1672719190502,-38.4833316738687,62.676886792452834,1696
110,32,74,5,30,929.4081176123498,-44.74594977157284,61.36177194421657,1219
90,26,80,5,40,929.2324020519995,-42.35531966311794,60.45081967213115,976
110,28,70,3,40,929.2305838571006,-45.2671249228213,62.71393643031785,818
30,30,78,5,40,928.2686067923507,-52.49394855868918,64.11181244364292,1109
150,30,78,5,10,925.4117454242498,-45.234951258028374,53.71757925072046,1735
90,32,80,3,40,924.4586929180006,-46.17204704064658,61.39767054908486,601
150,30,80,5,20,921.0247722244496,-49.3793072051378,59.470989761092156,1172
130,22,72,5,25,920.0915957725009,-42.82671006748034,63.0568356374808,1302
130,24,80,10,40,916.15849045645,-38.547889779766976,62.21743810548978,1858
50,30,78,3,25,911.5568276951001,-63.515120629677604,61.62624821683309,701
90,22,80,5,40,911.4193570707503,-42.49866319840994,61.30030959752322,969
130,30,74,5,30,911.3253009700499,-48.38185653876944,61.82707993474714,1226
110,22,80,5,40,904.0888874226999,-40.79256371068716,60.35751840168244,951
90,30,80,3,40,903.1600606389496,-43.34172162097677,60.738255033557046,596
130,32,72,5,30,894.9263741425997,-48.91353386210673,62.14340786430223,1297
130,24,72,7,40,894.5373275262003,-34.22227319066272,62.95215869311552,1714
150,24,78,3,15,890.954360158,-49.92258392707077,58.93074119076549,823
30,26,80,3,25,890.2420049814003,-53.047110188106195,61.847988077496275,671
130,32,80,7,40,888.8060814689497,-37.873320540325054,61.34020618556701,1358
50,30,80,5,30,888.2815660332502,-50.99564420276291,60.95693779904307,1045
30,28,72,3,15,874.9388733584507,-44.47725611368607,61.40350877192983,969
130,22,76,3,10,874.3143798588495,-47.678530498990426,53.483992467043315,1062
110,32,78,3,40,873.5552785684496,-50.514995216089254,62.34567901234568,648
110,30,78,3,40,872.7912339719005,-49.70944809704154,62.052877138413685,643
130,32,74,5,25,869.3813081341501,-53.624504345585,61.501976284584984,1265
130,32,72,7,40,864.5922934438996,-38.81554235389694,63.23613493424814,1749
110,32,74,7,30,860.3058436399506,-42.654811018579885,61.733490566037744,1696
50,24,76,3,40,858.2181519702001,-54.440606686518755,63.582089552238806,670
50,30,76,3,40,850.5468916678504,-54.40987597095375,64.14814814814814,675
50,20,76,3,40,849.0698573306998,-46.48851380570434,63.69047619047619,672
130,30,80,7,25,847.7017143811994,-47.03175613789759,60.434496379196844,1519
70,32,76,7,30,845.4558037546506,-38.985499654905524,60.92097075295582,1607
130,30,72,7,40,845.0569686424507,-37.229518260841914,63.045977011494244,1740
70,30,76,3,10,844.7783270121998,-60.8410582833367,54.14414414414415,1110
130,24,70,5,10,844.1933478669998,-36.127930912141196,57.877639415268,1847
130,28,74,7,30,841.4883201271502,-37.68763824717299,62.30492196878752,1666
110,28,70,3,30,839.2645447273499,-42.00380939312656,62.80193236714976,828
130,22,72,7,40,838.7845704993499,-34.220695903547686,62.73809523809524,1680
30,26,80,3,30,838.6359717974507,-48.84727814750278,61.70886075949367,632
50,20,78,3,25,836.0121719752509,-53.22695833026141,62.154294032023294,687
