SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
50,32,78,3,15,2001.7672126930988,-41.966340264235654,62.21590909090909,1056
130,32,78,7,30,1955.7341616806007,-37.366605171155705,63.591022443890274,2005
150,28,72,3,30,1735.7395511187985,-55.13419690942649,63.0579297245964,1053
150,30,72,3,30,1604.1031968987006,-57.674548658504264,63.167938931297705,1048
150,30,80,5,20,1598.11562291165,-43.0382087278247,62.40601503759399,1463
50,30,80,3,15,1587.5218608855,-49.588171447036835,60.692464358452135,982
130,24,80,3,20,1580.7106958407503,-44.284459982095065,61.85682326621924,894
150,22,72,3,20,1506.7505111339497,-49.91337296678338,61.75373134328358,1072
90,24,80,5,15,1503.9986727712,-40.17547805319522,61.69154228855721,1608
90,30,78,3,20,1476.154960495251,-49.81770635518324,62.63157894736842,950
90,30,78,5,15,1457.7865353347502,-39.558380866948426,61.950059453032104,1682
90,32,80,5,40,1436.6161636815998,-38.80912719024078,61.75359032501889,1323
90,22,80,5,15,1405.4881237257002,-43.48696787344361,61.73533083645443,1602
150,30,72,3,20,1395.385416000001,-49.75225950143829,60.845588235294116,1088
90,22,80,3,10,1391.9656601388995,-56.60040098832645,58.235294117647065,1190
90,22,78,3,20,1386.5958423165002,-52.92470362887217,62.755651237890206,929
130,32,78,7,40,1381.1754573434496,-38.54740953405481,63.1525076765609,1954
150,22,72,3,30,1378.0629733041494,-58.45701970126349,62.98449612403101,1032
130,30,78,7,30,1375.0277101524498,-40.33890212978716,63.08387744851834,1991
150,32,80,5,20,1366.4818498388508,-48.45154030844925,61.986301369863014,1460
90,32,80,3,10,1361.0732798107501,-61.30936168311766,58.623548922056386,1206
150,20,80,3,20,1349.2636904402502,-54.80181807457818,61.94895591647332,862
90,32,78,5,40,1349.2494549770997,-46.67499254285967,63.288447909284194,1411
150,30,74,5,25,1336.9723031665487,-41.2301363436284,64.16009702850212,1649
150,32,72,3,30,1327.8528054540504,-60.01052559820532,63.132760267430754,1047
130,32,78,5,20,1326.7317032937005,-41.4337737954239,62.02365308804205,1522
90,32,78,5,15,1323.6257907515494,-46.16865863132959,61.74377224199288,1686
150,32,80,7,25,1296.504995384199,-30.150626450303452,62.526427061310784,1892
90,24,78,5,15,1286.2130591447997,-44.795886282280385,61.953265428400236,1669
130,32,74,5,30,1275.1218801392508,-37.41802497231205,63.5519801980198,1616
130,28,80,3,20,1263.9956627656493,-42.83927778089316,61.7877094972067,895
150,24,72,3,30,1261.8513378154494,-57.79697857919931,62.87367405978785,1037
90,26,78,3,20,1252.2763996302992,-54.83315923455646,62.738853503184714,942
150,22,72,3,25,1250.4586848583501,-53.960379755508505,62.9277566539924,1052
150,26,72,3,30,1240.8510073060502,-62.72104780404527,62.511984659635665,1043
70,32,80,5,15,1231.7579011915,-35.21335521698673,60.33959975742874,1649
150,28,72,3,40,1230.3993260242498,-57.72054223603542,62.39234449760765,1045
150,22,80,3,20,1228.2624664917998,-54.39097249993635,61.795166858457996,869
130,32,72,3,40,1224.6240986301495,-52.41630503392919,62.042389210019266,1038
150,30,70,3,25,1219.0222438223507,-61.1295295545909,61.98568872987478,1118
70,30,78,3,20,1214.7913912488998,-51.70558032018599,62.473794549266245,954
130,32,74,5,25,1214.3201946443,-49.23841824180561,63.43692870201097,1641
150,32,72,5,10,1211.7363877874,-36.17655418502096,60.6549815498155,2168
150,30,80,5,25,1206.7731111567493,-39.23416918797469,62.25454545454545,1375
90,28,78,5,15,1201.2947272790993,-44.85809242443307,61.40035906642729,1671
150,30,80,7,25,1185.1602143925006,-29.149748865151043,62.295081967213115,1891
150,32,74,5,30,1181.5998845509994,-43.09240981051802,64.07407407407408,1620
90,32,78,3,20,1173.7386086876506,-49.81770635518324,62.447257383966246,948
90,20,80,3,10,1171.7120985005497,-54.74859639997462,58.5016835016835,1188
130,30,74,5,25,1168.9054618095493,-44.91007150515326,63.77427184466019,1648
150,28,70,3,25,1159.1066927559996,-55.55776207921864,61.93029490616622,1119
50,30,72,3,25,1159.1017974275499,-56.99236085477523,62.65060240963856,1079
50,30,72,5,25,1155.1921456128498,-36.45319548941936,61.855670103092784,1746
150,24,72,3,25,1147.9968403427,-51.74917546158727,62.93838862559241,1055
50,32,80,3,15,1144.8678443357994,-50.863057893670735,60.385005065856134,987
150,30,72,3,40,1143.4602298019001,-59.08348748341139,62.3062015503876,1032
130,30,72,3,40,1141.5990110307,-54.24410802128331,61.66505324298161,1033
90,30,78,5,40,1132.0402905057997,-47.307062917637964,62.95244854506742,1409
130,32,74,5,40,1131.3402691019508,-38.58587154265496,63.4207240948814,1602
90,20,78,3,20,1126.0871589600001,-52.92470362887217,62.891046386192016,927
130,30,74,5,15,1126.03406447125,-41.83801323553234,61.886586695747006,1834
130,30,78,7,40,1122.62999889065,-37.967734669576544,62.955361723961,1949
150,28,72,3,25,1118.6382339664503,-59.47482474164241,62.92134831460674,1068
90,32,80,5,15,1117.0532060373498,-42.184477043303275,60.90409285277948,1637
150,30,78,5,25,1112.1138401593992,-44.08232049667536,62.732919254658384,1449
90,30,80,5,40,1108.9545500922502,-45.578814882358344,61.48597422289613,1319
110,26,80,3,20,1106.0711051524997,-53.62376719757265,60.694288913773796,893
90,28,78,5,40,1097.6573326569496,-49.59898343832963,63.195435092724686,1402
130,30,78,5,20,1096.1227065064006,-40.81657674951692,61.80144641683103,1521
150,32,78,7,25,1090.6217412020994,-29.798518860926414,62.124248496993985,1996
110,24,80,3,20,1081.0751405686,-56.87439526463371,60.564971751412436,885
130,32,72,3,30,1080.4232628751993,-53.71914902256982,61.83712121212122,1056
90,24,78,3,20,1075.615931329151,-54.500162233300266,62.0616365568544,941
150,30,70,3,10,1073.1431327839002,-55.26993183082203,61.393323657474596,1378
150,26,72,3,25,1071.5595215599,-58.43373422676172,62.67672007540056,1061
130,32,80,7,40,1070.7833224980998,-39.18757683877504,62.48624862486248,1818
130,32,78,7,25,1069.87937955135,-39.148134354180186,62.854301342615614,2011
130,32,72,5,15,1068.5444015318994,-36.58402318555231,61.82485579444153,1907
50,32,80,5,15,1064.0553164802502,-41.494691908631644,60.292326431181486,1642
90,22,78,5,20,1062.4157212091507,-41.089075600653004,62.31023102310231,1515
70,32,80,3,20,1059.6127273081001,-41.51988768594889,60.639470782800444,907
90,26,70,5,25,1058.6295539592506,-50.311084002316896,61.46993318485523,1796
130,22,70,5,15,1053.6170202837002,-50.61298417075059,61.03359173126614,1935
150,30,80,3,20,1050.68098242505,-49.24448461079267,61.16838487972509,873
90,32,70,5,25,1045.33318736455,-47.44780556771678,61.51315789473685,1824
150,20,72,3,20,1044.1379957810996,-49.39329726209248,61.391801715919925,1049
150,30,72,5,10,1043.6485224689002,-40.90908733725438,60.84949215143121,2166
50,30,78,3,15,1042.9417653538496,-52.66615919495668,61.09510086455331,1041
90,30,80,5,15,1042.4981220301502,-44.98696098453595,60.90964966195451,1627
150,32,80,10,40,1041.3007304411005,-35.726866508952746,61.887835703001585,2532
