SMA,Buy,Sell,Hold,Return,MDD,Win,Trades
100,25,60,10,423.9845170003151,-41.62120550407437,59.78324545987112,3414
120,30,75,20,423.76392870413986,-57.72927588888497,58.97948974487244,1999
50,10,65,10,422.6966056378968,-30.215630363594165,57.98548094373865,1102
100,10,80,10,419.11605690401166,-50.32041814471301,50.13315579227696,1502
200,25,70,20,418.51845967186847,-47.04837200434932,61.199040767386094,2085
20,35,75,10,418.4183723696811,-51.16466807371096,53.21070234113713,2990
200,20,70,20,417.14841397482854,-52.051220139682705,61.73469387755102,1960
200,35,70,20,416.8222517179596,-53.3264406674164,61.72227231740307,2218
200,35,60,40,416.13277376137114,-50.817289259091304,63.612467142320696,2663
200,15,75,20,411.59180414222425,-44.99516315640682,57.49844430616054,1607
60,25,70,20,409.9456660243124,-65.87572922371724,62.10476639924492,2119
100,30,65,10,408.405020925607,-53.36159134305065,57.421068161699615,3389
60,15,75,40,406.7478392216792,-48.39176245936733,61.67763157894737,1216
50,30,60,10,401.8680501068708,-52.42587430502329,60.271693928472416,3607
200,15,60,20,401.71315380820147,-49.018621594144264,62.99326275264677,2078
200,30,70,20,401.3417620409729,-48.549615928909766,61.35842129417164,2179
120,30,65,10,399.8608004125469,-61.23438817149156,58.01186943620178,3370
120,25,65,10,395.48574878292993,-51.14243321766017,57.370892018779344,3195
120,10,75,20,391.4551817422351,-42.72282480522199,57.599999999999994,1250
50,20,70,20,390.31451704594764,-52.10560028481712,61.45339652448657,1899
100,30,75,20,387.2552080002146,-51.55636193354427,58.63110216406643,1987
20,35,65,20,386.8799638518893,-55.52137497343656,65.01111934766493,2698
50,10,80,20,381.8726899269115,-40.95509090322463,54.074889867841414,908
60,10,70,10,380.64056550500493,-36.623299897480564,54.07586763518967,1239
50,20,80,10,380.35103016960556,-49.946971967091486,49.30055108096651,2359
50,10,60,10,380.3111340922932,-31.57573099231577,59.391771019677996,1118
60,10,70,40,378.6548860024382,-56.88098407422192,64.56852791878173,985
50,35,60,10,375.6629296668799,-50.439160672750795,60.69560669456067,3824
200,20,65,40,374.10441187526357,-48.94005734393998,63.74419804022692,1939
50,15,75,20,372.70905041988874,-48.33176521919557,57.61316872427984,1458
200,15,60,40,367.2152734930428,-50.731028300987646,62.532299741602074,1935
100,15,75,40,365.3465163075713,-52.39816261313188,61.15569823434992,1246
200,15,70,20,361.11535494227525,-52.48325600517547,60.62176165803109,1737
50,15,65,10,356.49260858395496,-43.00446876939316,57.17092337917485,2036
50,35,65,10,355.46978912439135,-67.18329157917186,57.67256132344553,3506
50,15,70,20,353.18080054597215,-52.88007845077824,61.17192530585963,1553
200,10,80,40,351.0629463041391,-38.23697253047341,61.521972132904615,933
100,10,60,10,350.8388346158499,-49.807501781719225,58.93630179344464,1617
200,10,70,40,347.71681992192936,-44.48970991934087,62.90189612530915,1213
20,25,75,10,346.9629785780454,-41.79226372560457,53.2166508987701,2114
200,10,75,20,345.93416469346687,-44.675162358377854,58.55717574827322,1303
60,20,70,10,338.76493555888817,-59.481513958981445,53.93087732624383,2633
200,5,60,40,337.0981288346488,-37.51523079138897,66.52046783625731,684
100,15,65,20,333.84758478673353,-49.52388231607185,61.86071817192601,1838
120,35,65,10,333.6406877678387,-60.18477398055858,58.16503173687247,3466
200,25,80,10,332.70662259382505,-61.35833471895118,50.20347761746208,2703
200,30,80,10,332.3069243842993,-64.46273560273823,50.699677072120565,2787
60,20,65,10,330.4232894443819,-63.35294126090609,56.936416184971094,2768
60,10,75,40,329.73794842358126,-53.44766942902375,62.430323299888514,897
60,10,70,20,329.29739184105114,-41.921743662628074,60.43030869971936,1069
20,20,80,20,326.98625117512785,-44.26207961409841,56.417624521072796,1044
50,15,80,10,326.86215885815227,-46.59236194902018,49.11528150134048,1865
