Year,BestCooldown,Return,WinRate,Trades
2005,90.0,106.7758856588787,86.15384615384616,65.0
2006,0.0,12.28176987942624,62.264150943396224,53.0
2007,90.0,17.521037749793788,70.0,60.0
2008,60.0,-34.25616707686607,48.837209302325576,43.0
2009,90.0,53.64674134609106,70.3125,64.0
2010,0.0,54.74553028559619,75.75757575757575,66.0
2011,0.0,27.034600157375934,68.42105263157895,57.0
2012,40.0,36.76058266385811,75.38461538461539,65.0
2013,30.0,-0.27884713242842807,63.33333333333333,60.0
2014,60.0,37.52376563280953,71.875,64.0
2015,60.0,37.68511578150417,69.23076923076923,65.0
2016,180.0,11.611373349109666,67.79661016949152,59.0
2017,0.0,40.35028855132228,67.6923076923077,65.0
2018,0.0,-4.292704332384234,62.06896551724138,58.0
2019,180.0,25.205263481803364,66.15384615384615,65.0
2020,40.0,70.10483345063186,74.24242424242425,66.0
2021,0.0,33.71535053401087,70.0,70.0
2022,0.0,-30.227235692075972,57.692307692307686,52.0
2023,90.0,79.85833484856772,72.6027397260274,73.0
2024,90.0,88.32564134950196,65.67164179104478,67.0
2025,60.0,125.76392181909148,76.71232876712328,73.0
2026,0.0,-0.5940523794999986,0.0,0.0
