전략,수익률 (%),승률 (%),거래횟수,평균보유일,평균승리 (%),평균손실 (%),반복손실
A (기존),24696.67664887769,67.3913043478261,1334,26.395802098950526,8.703354607328283,-10.839138612606293,99
B (추가보유),21938.390267726154,67.34539969834088,1326,26.59426847662142,8.76909628389274,-10.97777841869643,102
