number,value,datetime_start,datetime_complete,duration,params_buy_threshold,params_loss_cooldown_days,params_max_holding_days,params_rsi_window,params_sell_threshold,params_sma_window,state
0,447.04640072223907,2026-01-07 10:44:40.810043,2026-01-07 10:48:32.431768,0 days 00:03:51.621725,28,55,64,15,66,170,COMPLETE
1,2956.5914274999277,2026-01-07 10:44:40.812089,2026-01-07 10:47:09.620113,0 days 00:02:28.808024,29,120,40,5,66,135,COMPLETE
2,25.178341577050034,2026-01-07 10:44:40.813198,2026-01-07 10:48:34.605600,0 days 00:03:53.792402,25,10,64,12,72,85,COMPLETE
3,1130.9530312475938,2026-01-07 10:44:40.814409,2026-01-07 10:47:20.549452,0 days 00:02:39.735043,23,80,59,5,75,75,COMPLETE
4,56.03232814200663,2026-01-07 10:44:40.816811,2026-01-07 10:48:29.492387,0 days 00:03:48.675576,31,20,78,20,62,150,COMPLETE
5,0.0,2026-01-07 10:44:40.818993,2026-01-07 10:48:33.543979,0 days 00:03:52.724986,20,85,80,14,66,70,COMPLETE
6,0.0,2026-01-07 10:44:40.820175,2026-01-07 10:48:33.838233,0 days 00:03:53.018058,23,140,107,16,63,45,COMPLETE
7,1597.9023133210528,2026-01-07 10:44:40.822711,2026-01-07 10:47:51.770384,0 days 00:03:10.947673,36,110,101,4,63,20,COMPLETE
8,152.8516341671269,2026-01-07 10:44:40.823922,2026-01-07 10:47:25.815459,0 days 00:02:44.991537,28,175,39,8,80,150,COMPLETE
9,343.5231272466036,2026-01-07 10:44:40.827358,2026-01-07 10:47:50.829377,0 days 00:03:10.002019,21,135,96,7,71,170,COMPLETE
10,741.8574089102531,2026-01-07 10:44:40.830384,2026-01-07 10:48:28.495731,0 days 00:03:47.665347,31,175,120,17,66,185,COMPLETE
11,573.4789280702234,2026-01-07 10:44:40.840296,2026-01-07 10:47:57.529535,0 days 00:03:16.689239,20,60,80,5,63,105,COMPLETE
12,2823.613868500014,2026-01-07 10:44:40.845126,2026-01-07 10:46:59.166895,0 days 00:02:18.321769,37,20,32,4,66,125,COMPLETE
13,0.0,2026-01-07 10:44:40.856300,2026-01-07 10:48:30.666691,0 days 00:03:49.810391,22,180,95,18,76,175,COMPLETE
14,56.98044647025418,2026-01-07 10:44:40.869667,2026-01-07 10:48:33.130841,0 days 00:03:52.261174,22,80,66,12,66,125,COMPLETE
15,598.3853104037136,2026-01-07 10:44:40.871745,2026-01-07 10:48:20.433345,0 days 00:03:39.561600,30,140,62,13,61,165,COMPLETE
16,0.0,2026-01-07 10:44:40.874105,2026-01-07 10:48:33.762805,0 days 00:03:52.888700,25,155,39,20,80,65,COMPLETE
17,1047.6175757812684,2026-01-07 10:44:40.883728,2026-01-07 10:48:22.735391,0 days 00:03:41.851663,32,50,120,17,62,165,COMPLETE
18,924.2052651845393,2026-01-07 10:44:40.887274,2026-01-07 10:47:08.578290,0 days 00:02:27.691016,40,100,52,11,76,75,COMPLETE
19,92.07787163859606,2026-01-07 10:44:40.890566,2026-01-07 10:47:46.202110,0 days 00:03:05.311544,30,45,60,10,66,165,COMPLETE
20,802.4091395057015,2026-01-07 10:44:40.892354,2026-01-07 10:47:55.509555,0 days 00:03:14.617201,25,55,104,8,61,190,COMPLETE
21,12.624648038734708,2026-01-07 10:44:40.893911,2026-01-07 10:48:32.228194,0 days 00:03:51.334283,26,165,50,18,77,185,COMPLETE
22,208.3169662351571,2026-01-07 10:44:40.896765,2026-01-07 10:48:29.187051,0 days 00:03:48.290286,34,145,44,14,68,90,COMPLETE
23,714.2530211200406,2026-01-07 10:44:40.900690,2026-01-07 10:46:54.371019,0 days 00:02:13.470329,37,10,76,10,62,145,COMPLETE
24,1293.3638146595858,2026-01-07 10:44:40.903910,2026-01-07 10:48:20.634306,0 days 00:03:39.730396,26,80,79,11,69,165,COMPLETE
25,0.0,2026-01-07 10:44:40.912831,2026-01-07 10:48:32.309870,0 days 00:03:51.397039,29,40,86,15,68,35,COMPLETE
26,830.8066907727219,2026-01-07 10:44:40.914007,2026-01-07 10:46:45.964971,0 days 00:02:05.050964,38,65,91,4,73,30,COMPLETE
27,1840.7540497445034,2026-01-07 10:44:40.928568,2026-01-07 10:47:05.741592,0 days 00:02:24.813024,33,90,54,3,69,200,COMPLETE
28,1316.7546374496844,2026-01-07 10:44:40.951304,2026-01-07 10:46:31.740118,0 days 00:01:50.788814,34,80,90,11,77,185,COMPLETE
29,0.0,2026-01-07 10:44:40.956665,2026-01-07 10:48:35.018063,0 days 00:03:54.061398,20,20,59,16,69,170,COMPLETE
30,215.3837222133012,2026-01-07 10:44:40.969487,2026-01-07 10:47:38.079517,0 days 00:02:57.110030,29,180,36,7,66,110,COMPLETE
31,183.53129511502706,2026-01-07 10:44:40.973171,2026-01-07 10:47:45.177792,0 days 00:03:04.204621,40,130,43,12,66,65,COMPLETE
32,1572.8730806089193,2026-01-07 10:46:32.203881,2026-01-07 10:49:09.278780,0 days 00:02:37.074899,37,0,90,17,65,190,COMPLETE
33,200.71188631540946,2026-01-07 10:46:46.094404,2026-01-07 10:48:52.630980,0 days 00:02:06.536576,37,120,75,7,77,195,COMPLETE
34,5248.384801494864,2026-01-07 10:46:54.566500,2026-01-07 10:49:09.374252,0 days 00:02:14.807752,35,25,111,3,80,135,COMPLETE
35,59.507549300527685,2026-01-07 10:47:00.257489,2026-01-07 10:49:28.578531,0 days 00:02:28.321042,26,100,73,7,66,190,COMPLETE
36,1176.3696617018613,2026-01-07 10:47:06.105603,2026-01-07 10:49:14.092586,0 days 00:02:07.986983,37,110,94,6,60,195,COMPLETE
37,737.8953212411769,2026-01-07 10:47:08.810514,2026-01-07 10:50:54.660035,0 days 00:03:45.849521,35,140,78,9,62,45,COMPLETE
38,733.7178473434666,2026-01-07 10:47:09.887377,2026-01-07 10:49:47.969376,0 days 00:02:38.081999,28,160,110,6,61,140,COMPLETE
39,3181.5387641592865,2026-01-07 10:47:21.120806,2026-01-07 10:49:22.151969,0 days 00:02:01.031163,36,20,44,5,73,135,COMPLETE
40,292.05241251747634,2026-01-07 10:47:26.030148,2026-01-07 10:49:18.912226,0 days 00:01:52.882078,36,150,109,11,73,175,COMPLETE
41,0.0,2026-01-07 10:47:38.335744,2026-01-07 10:51:35.280186,0 days 00:03:56.944442,20,135,106,16,60,100,COMPLETE
42,0.0,2026-01-07 10:47:45.305937,2026-01-07 10:51:39.818357,0 days 00:03:54.512420,26,10,118,20,60,130,COMPLETE
43,22.40550821835836,2026-01-07 10:47:46.648143,2026-01-07 10:51:36.789784,0 days 00:03:50.141641,23,130,119,16,60,120,COMPLETE
44,22.40550821835836,2026-01-07 10:47:51.216791,2026-01-07 10:51:34.057171,0 days 00:03:42.840380,25,5,31,17,61,120,COMPLETE
45,30.524364386945813,2026-01-07 10:47:51.818899,2026-01-07 10:51:38.270422,0 days 00:03:46.451523,26,5,120,16,60,120,COMPLETE
46,328.6960100158587,2026-01-07 10:47:55.811923,2026-01-07 10:51:39.097942,0 days 00:03:43.286019,33,25,119,16,69,115,COMPLETE
47,82.10173105858374,2026-01-07 10:47:57.679778,2026-01-07 10:51:39.303028,0 days 00:03:41.623250,32,10,30,16,68,120,COMPLETE
48,563.6063705242443,2026-01-07 10:48:20.925396,2026-01-07 10:51:46.917239,0 days 00:03:25.991843,34,0,119,17,65,125,COMPLETE
49,279.9025284458284,2026-01-07 10:48:21.116119,2026-01-07 10:51:47.268495,0 days 00:03:26.152376,33,5,120,17,65,125,COMPLETE
50,295.12384158348556,2026-01-07 10:48:23.055219,2026-01-07 10:51:45.832952,0 days 00:03:22.777733,35,5,31,15,67,120,COMPLETE
51,134.9042649869413,2026-01-07 10:48:28.612707,2026-01-07 10:51:52.361716,0 days 00:03:23.749009,35,5,31,20,71,130,COMPLETE
52,4010.7990956294393,2026-01-07 10:48:29.395282,2026-01-07 10:51:11.038984,0 days 00:02:41.643702,34,0,30,3,71,130,COMPLETE
53,642.9294161222261,2026-01-07 10:48:29.773521,2026-01-07 10:50:56.020121,0 days 00:02:26.246600,33,25,32,6,71,130,COMPLETE
54,1280.0624701975423,2026-01-07 10:48:30.764340,2026-01-07 10:51:19.055166,0 days 00:02:48.290826,34,30,31,6,71,130,COMPLETE
55,4644.620999197008,2026-01-07 10:48:32.311244,2026-01-07 10:51:13.533208,0 days 00:02:41.221964,34,120,30,3,72,130,COMPLETE
56,2559.3285094675302,2026-01-07 10:48:32.447614,2026-01-07 10:51:10.893348,0 days 00:02:38.445734,34,115,30,3,71,130,COMPLETE
57,4425.607206139075,2026-01-07 10:48:32.589995,2026-01-07 10:51:17.962592,0 days 00:02:45.372597,34,105,30,3,71,125,COMPLETE
58,4916.7608587191025,2026-01-07 10:48:33.254840,2026-01-07 10:51:19.694887,0 days 00:02:46.440047,34,30,33,3,71,130,COMPLETE
59,2559.3285094675302,2026-01-07 10:48:33.708540,2026-01-07 10:51:14.076771,0 days 00:02:40.368231,34,115,30,3,71,130,COMPLETE
60,2199.6579348239643,2026-01-07 10:48:33.783891,2026-01-07 10:51:11.130148,0 days 00:02:37.346257,34,120,51,3,71,130,COMPLETE
61,2906.0850746172227,2026-01-07 10:48:33.919954,2026-01-07 10:51:12.822385,0 days 00:02:38.902431,34,120,33,3,71,130,COMPLETE
62,3089.1750989875254,2026-01-07 10:48:34.607076,2026-01-07 10:51:22.318923,0 days 00:02:47.711847,36,105,49,3,64,125,COMPLETE
63,2843.054501975305,2026-01-07 10:48:35.027896,2026-01-07 10:51:36.925519,0 days 00:03:01.897623,35,105,31,3,64,130,COMPLETE
64,2633.6264419014205,2026-01-07 10:48:52.741613,2026-01-07 10:52:08.882846,0 days 00:03:16.141233,35,105,30,3,68,135,COMPLETE
65,2743.365771856651,2026-01-07 10:49:09.491270,2026-01-07 10:52:15.546391,0 days 00:03:06.055121,34,30,30,3,73,125,COMPLETE
66,2212.0877087797203,2026-01-07 10:49:09.647241,2026-01-07 10:52:16.604073,0 days 00:03:06.956832,34,30,32,3,73,135,COMPLETE
67,3406.0079381337905,2026-01-07 10:49:14.185514,2026-01-07 10:52:13.141796,0 days 00:02:58.956282,34,30,34,3,73,125,COMPLETE
68,2337.700314955065,2026-01-07 10:49:18.930043,2026-01-07 10:52:22.282649,0 days 00:03:03.352606,33,25,31,3,71,135,COMPLETE
69,3525.990676777414,2026-01-07 10:49:22.354376,2026-01-07 10:52:24.738225,0 days 00:03:02.383849,35,30,30,3,64,130,COMPLETE
70,3896.9475897198104,2026-01-07 10:49:28.721381,2026-01-07 10:52:26.063917,0 days 00:02:57.342536,35,30,32,3,64,135,COMPLETE
71,3157.211578721851,2026-01-07 10:49:48.054081,2026-01-07 10:52:23.742711,0 days 00:02:35.688630,35,35,30,3,79,130,COMPLETE
72,6610.637455015656,2026-01-07 10:50:55.341617,2026-01-07 10:53:24.629929,0 days 00:02:29.288312,33,30,31,3,71,125,COMPLETE
73,3367.8953372213473,2026-01-07 10:50:56.850972,2026-01-07 10:53:32.854825,0 days 00:02:36.003853,33,35,32,3,64,120,COMPLETE
74,2586.7242253697127,2026-01-07 10:51:11.827679,2026-01-07 10:53:21.721126,0 days 00:02:09.893447,38,30,35,4,64,120,COMPLETE
75,2451.211079641948,2026-01-07 10:51:11.890006,2026-01-07 10:53:38.149986,0 days 00:02:26.259980,39,30,34,4,64,100,COMPLETE
76,2020.251152123619,2026-01-07 10:51:11.952618,2026-01-07 10:53:42.454823,0 days 00:02:30.502205,39,0,35,4,64,120,COMPLETE
77,601.2873251313496,2026-01-07 10:51:13.043541,2026-01-07 10:53:14.803773,0 days 00:02:01.760232,31,30,47,5,74,95,COMPLETE
78,753.1185307194066,2026-01-07 10:51:13.664605,2026-01-07 10:53:27.223765,0 days 00:02:13.559160,32,35,45,5,74,100,COMPLETE
79,1304.0929832084814,2026-01-07 10:51:14.530124,2026-01-07 10:53:25.271848,0 days 00:02:10.741724,32,0,42,5,73,100,COMPLETE
80,2222.6380609291286,2026-01-07 10:51:18.273864,2026-01-07 10:53:26.352431,0 days 00:02:08.078567,39,30,46,5,74,95,COMPLETE
81,2778.412640496925,2026-01-07 10:51:19.230463,2026-01-07 10:53:26.626391,0 days 00:02:07.395928,39,35,47,5,74,115,COMPLETE
82,1675.118690561462,2026-01-07 10:51:19.787029,2026-01-07 10:53:37.695297,0 days 00:02:17.908268,32,0,37,5,73,120,COMPLETE
83,812.668294295381,2026-01-07 10:51:22.610068,2026-01-07 10:53:41.666991,0 days 00:02:19.056923,32,0,36,4,74,150,COMPLETE
84,1076.9845596593455,2026-01-07 10:51:34.233406,2026-01-07 10:53:45.830887,0 days 00:02:11.597481,32,35,36,4,73,150,COMPLETE
85,755.5035354027896,2026-01-07 10:51:35.397446,2026-01-07 10:53:44.538021,0 days 00:02:09.140575,32,35,36,4,74,155,COMPLETE
86,1079.1132743158823,2026-01-07 10:51:37.117797,2026-01-07 10:53:50.186670,0 days 00:02:13.068873,32,15,36,5,73,150,COMPLETE
87,739.6889577458776,2026-01-07 10:51:37.288746,2026-01-07 10:53:46.070977,0 days 00:02:08.782231,32,15,38,5,73,155,COMPLETE
88,904.883100662025,2026-01-07 10:51:38.278790,2026-01-07 10:53:47.923573,0 days 00:02:09.644783,32,30,36,5,73,155,COMPLETE
89,1204.7736735292358,2026-01-07 10:51:39.461271,2026-01-07 10:53:44.568681,0 days 00:02:05.107410,38,35,36,5,74,150,COMPLETE
90,1176.968589841602,2026-01-07 10:51:39.498808,2026-01-07 10:53:47.051741,0 days 00:02:07.552933,38,40,37,5,73,155,COMPLETE
91,276.5413238273462,2026-01-07 10:51:39.820698,2026-01-07 10:53:49.695858,0 days 00:02:09.875160,32,35,37,5,74,155,COMPLETE
92,1213.3287565555224,2026-01-07 10:51:45.927818,2026-01-07 10:53:55.179364,0 days 00:02:09.251546,36,35,36,4,73,145,COMPLETE
93,1275.0201825636025,2026-01-07 10:51:46.942462,2026-01-07 10:53:51.079918,0 days 00:02:04.137456,39,35,44,4,73,150,COMPLETE
94,1872.879726765802,2026-01-07 10:51:47.332633,2026-01-07 10:53:55.082402,0 days 00:02:07.749769,39,35,47,4,73,155,COMPLETE
95,1029.021755752068,2026-01-07 10:51:52.453928,2026-01-07 10:53:55.884930,0 days 00:02:03.431002,39,40,36,4,73,155,COMPLETE
96,1095.8298192599125,2026-01-07 10:52:08.973645,2026-01-07 10:54:11.085309,0 days 00:02:02.111664,39,40,36,5,74,155,COMPLETE
97,802.0268997115405,2026-01-07 10:52:13.220731,2026-01-07 10:54:15.607215,0 days 00:02:02.386484,39,35,36,4,73,150,COMPLETE
98,637.7094630848534,2026-01-07 10:52:15.624232,2026-01-07 10:54:12.571232,0 days 00:01:56.947000,39,45,37,5,75,150,COMPLETE
99,654.551178359873,2026-01-07 10:52:16.605646,2026-01-07 10:54:18.612225,0 days 00:02:02.006579,39,40,36,4,74,150,COMPLETE
100,597.525835069442,2026-01-07 10:52:22.328686,2026-01-07 10:54:22.308898,0 days 00:01:59.980212,38,45,37,5,74,155,COMPLETE
101,2309.5679316087667,2026-01-07 10:52:23.807423,2026-01-07 10:54:23.596687,0 days 00:01:59.789264,31,65,37,4,75,155,COMPLETE
102,824.3724807901278,2026-01-07 10:52:24.771050,2026-01-07 10:54:24.082366,0 days 00:01:59.311316,32,45,36,4,74,155,COMPLETE
103,824.3724807901278,2026-01-07 10:52:26.091009,2026-01-07 10:54:26.505989,0 days 00:02:00.414980,32,45,36,4,74,155,COMPLETE
104,1458.6430713753819,2026-01-07 10:53:14.903659,2026-01-07 10:54:58.378748,0 days 00:01:43.475089,38,50,37,4,70,155,COMPLETE
105,1268.8671800459208,2026-01-07 10:53:21.842419,2026-01-07 10:55:23.965785,0 days 00:02:02.123366,38,45,37,4,72,110,COMPLETE
106,1717.5121241632069,2026-01-07 10:53:24.770815,2026-01-07 10:55:24.493139,0 days 00:01:59.722324,38,45,37,4,70,155,COMPLETE
107,857.5156088488096,2026-01-07 10:53:25.430708,2026-01-07 10:55:25.950641,0 days 00:02:00.519933,32,45,40,4,70,155,COMPLETE
108,3772.8268573170076,2026-01-07 10:53:26.438524,2026-01-07 10:55:14.421021,0 days 00:01:47.982497,32,65,37,4,70,150,COMPLETE
109,864.5227705909587,2026-01-07 10:53:26.977235,2026-01-07 10:55:23.721894,0 days 00:01:56.744659,32,70,38,4,70,155,COMPLETE
110,1003.5862025423127,2026-01-07 10:53:27.790497,2026-01-07 10:55:28.053367,0 days 00:02:00.262870,36,50,38,4,70,145,COMPLETE
111,1339.8577746112528,2026-01-07 10:53:33.023229,2026-01-07 10:55:29.433762,0 days 00:01:56.410533,36,65,38,4,70,155,COMPLETE
112,2601.0203714921845,2026-01-07 10:53:37.785544,2026-01-07 10:55:46.905199,0 days 00:02:09.119655,36,45,40,4,70,155,COMPLETE
113,1339.8577746112528,2026-01-07 10:53:38.307847,2026-01-07 10:55:38.129888,0 days 00:01:59.822041,36,65,38,4,70,155,COMPLETE
114,2601.0203714921845,2026-01-07 10:53:41.808062,2026-01-07 10:55:49.317782,0 days 00:02:07.509720,36,45,40,4,70,155,COMPLETE
115,2606.8581980082454,2026-01-07 10:53:42.706024,2026-01-07 10:55:42.173117,0 days 00:01:59.467093,36,45,39,4,72,145,COMPLETE
116,3047.3067266576372,2026-01-07 10:53:44.623421,2026-01-07 10:55:42.263017,0 days 00:01:57.639596,36,70,39,4,70,140,COMPLETE
117,1705.0673542855254,2026-01-07 10:53:44.642258,2026-01-07 10:55:49.570086,0 days 00:02:04.927828,36,50,39,4,70,145,COMPLETE
118,3542.0628669123203,2026-01-07 10:53:45.969808,2026-01-07 10:55:48.431425,0 days 00:02:02.461617,36,45,39,4,70,140,COMPLETE
119,3542.0628669123203,2026-01-07 10:53:46.254449,2026-01-07 10:55:47.752538,0 days 00:02:01.498089,36,45,39,4,70,140,COMPLETE
120,1640.768602282214,2026-01-07 10:53:47.150153,2026-01-07 10:55:50.365085,0 days 00:02:03.214932,36,70,41,4,70,140,COMPLETE
121,1686.4989456108149,2026-01-07 10:53:47.997870,2026-01-07 10:55:40.719378,0 days 00:01:52.721508,36,50,41,4,70,140,COMPLETE
122,2151.5696439578505,2026-01-07 10:53:49.782555,2026-01-07 10:55:52.043400,0 days 00:02:02.260845,36,50,40,4,70,140,COMPLETE
123,3124.7675937653903,2026-01-07 10:53:50.239987,2026-01-07 10:55:50.201530,0 days 00:01:59.961543,36,70,34,4,70,140,COMPLETE
124,1717.0410253356972,2026-01-07 10:53:51.111710,2026-01-07 10:55:53.510140,0 days 00:02:02.398430,36,45,41,4,70,140,COMPLETE
125,2821.9964272560883,2026-01-07 10:53:55.135720,2026-01-07 10:55:54.822850,0 days 00:01:59.687130,36,50,70,4,70,110,COMPLETE
126,2900.019433627358,2026-01-07 10:53:55.194307,2026-01-07 10:55:58.266870,0 days 00:02:03.072563,31,70,41,3,70,140,COMPLETE
127,2547.731654318676,2026-01-07 10:53:55.901223,2026-01-07 10:56:02.825153,0 days 00:02:06.923930,31,50,41,3,70,140,COMPLETE
128,2643.8197927491997,2026-01-07 10:54:11.222134,2026-01-07 10:56:18.063672,0 days 00:02:06.841538,31,50,39,3,70,110,COMPLETE
129,2964.8695430134494,2026-01-07 10:54:12.626678,2026-01-07 10:56:24.825974,0 days 00:02:12.199296,31,65,39,3,72,110,COMPLETE
130,2789.511994102038,2026-01-07 10:54:15.639821,2026-01-07 10:56:23.029385,0 days 00:02:07.389564,31,55,40,3,70,110,COMPLETE
131,2340.838704014291,2026-01-07 10:54:18.691574,2026-01-07 10:56:27.424010,0 days 00:02:08.732436,31,55,41,3,70,110,COMPLETE
132,3694.548990200332,2026-01-07 10:54:22.400595,2026-01-07 10:56:29.558000,0 days 00:02:07.157405,36,70,40,3,70,140,COMPLETE
133,4421.116299640944,2026-01-07 10:54:23.611504,2026-01-07 10:56:32.919755,0 days 00:02:09.308251,36,20,68,3,70,140,COMPLETE
134,3540.6288387204845,2026-01-07 10:54:24.100774,2026-01-07 10:56:32.932779,0 days 00:02:08.832005,36,20,41,3,72,140,COMPLETE
135,5144.807383003528,2026-01-07 10:54:26.538594,2026-01-07 10:56:34.260366,0 days 00:02:07.721772,36,20,41,3,70,140,COMPLETE
136,3540.6288387204845,2026-01-07 10:54:58.519291,2026-01-07 10:57:15.505098,0 days 00:02:16.985807,36,20,41,3,72,140,COMPLETE
137,1588.0227594836988,2026-01-07 10:55:14.534726,2026-01-07 10:57:38.823017,0 days 00:02:24.288291,33,90,41,3,72,140,COMPLETE
138,1824.209810673454,2026-01-07 10:55:23.790050,2026-01-07 10:57:43.593536,0 days 00:02:19.803486,33,15,41,3,72,140,COMPLETE
139,1619.3081989689656,2026-01-07 10:55:24.025528,2026-01-07 10:57:41.639438,0 days 00:02:17.613910,33,55,42,3,72,140,COMPLETE
140,1588.0227594836988,2026-01-07 10:55:24.738623,2026-01-07 10:57:34.992335,0 days 00:02:10.253712,33,90,41,3,72,140,COMPLETE
141,2646.093835647064,2026-01-07 10:55:26.082686,2026-01-07 10:57:48.858110,0 days 00:02:22.775424,33,90,33,3,72,140,COMPLETE
142,1824.209810673454,2026-01-07 10:55:28.224823,2026-01-07 10:57:47.224543,0 days 00:02:18.999720,33,15,41,3,72,140,COMPLETE
143,2216.4951110105603,2026-01-07 10:55:29.830114,2026-01-07 10:57:54.103791,0 days 00:02:24.273677,33,15,33,3,72,140,COMPLETE
144,1823.4650317153043,2026-01-07 10:55:38.366960,2026-01-07 10:58:01.696984,0 days 00:02:23.330024,33,20,41,3,72,140,COMPLETE
145,2377.1349879550303,2026-01-07 10:55:40.892032,2026-01-07 10:58:05.513216,0 days 00:02:24.621184,33,20,33,3,72,140,COMPLETE
146,9133.010085663076,2026-01-07 10:55:42.263604,2026-01-07 10:58:15.538719,0 days 00:02:33.275115,33,20,67,3,63,115,COMPLETE
147,4152.605624672845,2026-01-07 10:55:42.905531,2026-01-07 10:58:15.212521,0 days 00:02:32.306990,33,20,33,3,63,135,COMPLETE
148,2427.7459221422187,2026-01-07 10:55:47.262301,2026-01-07 10:58:13.003980,0 days 00:02:25.741679,33,20,33,3,72,135,COMPLETE
149,2377.1349879550303,2026-01-07 10:55:48.021659,2026-01-07 10:58:12.131861,0 days 00:02:24.110202,33,20,33,3,72,140,COMPLETE
150,4575.948742696493,2026-01-07 10:55:48.501943,2026-01-07 10:58:12.995435,0 days 00:02:24.493492,35,20,70,3,69,140,COMPLETE
151,3023.0276423518026,2026-01-07 10:55:49.381519,2026-01-07 10:58:09.345345,0 days 00:02:19.963826,35,95,33,3,72,140,COMPLETE
152,2216.4951110105603,2026-01-07 10:55:49.663199,2026-01-07 10:58:03.655114,0 days 00:02:13.991915,33,15,33,3,72,140,COMPLETE
153,4422.2086687896,2026-01-07 10:55:50.264331,2026-01-07 10:58:20.943572,0 days 00:02:30.679241,33,90,33,3,63,115,COMPLETE
154,2835.4568303371743,2026-01-07 10:55:50.409667,2026-01-07 10:58:11.091648,0 days 00:02:20.681981,33,90,33,3,72,115,COMPLETE
155,1088.4950170077725,2026-01-07 10:55:52.144148,2026-01-07 10:58:07.650077,0 days 00:02:15.505929,33,20,33,3,79,135,COMPLETE
156,2835.4568303371743,2026-01-07 10:55:53.588514,2026-01-07 10:58:08.250800,0 days 00:02:14.662286,33,90,33,3,72,115,COMPLETE
157,4422.2086687896,2026-01-07 10:55:54.842860,2026-01-07 10:58:23.272234,0 days 00:02:28.429374,33,90,33,3,63,115,COMPLETE
158,2666.08361525224,2026-01-07 10:55:58.358895,2026-01-07 10:58:22.880492,0 days 00:02:24.521597,33,95,33,3,72,125,COMPLETE
159,4864.631825505643,2026-01-07 10:56:02.900834,2026-01-07 10:58:35.696250,0 days 00:02:32.795416,33,20,33,3,63,115,COMPLETE
160,5318.884775980004,2026-01-07 10:56:18.172029,2026-01-07 10:58:42.273697,0 days 00:02:24.101668,33,20,33,3,72,115,COMPLETE
161,1277.5342761111326,2026-01-07 10:56:23.049651,2026-01-07 10:58:43.405248,0 days 00:02:20.355597,33,20,33,3,79,115,COMPLETE
162,4152.605624672845,2026-01-07 10:56:24.897428,2026-01-07 10:58:55.604036,0 days 00:02:30.706608,33,20,33,3,63,135,COMPLETE
163,1957.2182104558515,2026-01-07 10:56:27.472462,2026-01-07 10:58:54.101187,0 days 00:02:26.628725,33,95,33,3,72,135,COMPLETE
164,3771.9603055108664,2026-01-07 10:56:29.645978,2026-01-07 10:58:56.646851,0 days 00:02:27.000873,35,95,33,3,69,125,COMPLETE
165,3964.342823588561,2026-01-07 10:56:32.957989,2026-01-07 10:58:57.298089,0 days 00:02:24.340100,35,15,57,3,72,135,COMPLETE
166,5341.273845448081,2026-01-07 10:56:32.960240,2026-01-07 10:59:00.264169,0 days 00:02:27.303929,35,15,33,3,69,135,COMPLETE
167,6913.902115374518,2026-01-07 10:56:34.275792,2026-01-07 10:59:01.674213,0 days 00:02:27.398421,37,15,32,3,69,135,COMPLETE
168,5452.009392736559,2026-01-07 10:57:15.542669,2026-01-07 10:59:36.873404,0 days 00:02:21.330735,37,15,55,3,69,135,COMPLETE
169,6599.013725569686,2026-01-07 10:57:35.156517,2026-01-07 10:59:52.236066,0 days 00:02:17.079549,37,15,99,3,69,135,COMPLETE
170,971.8865858550553,2026-01-07 10:57:38.931474,2026-01-07 10:59:53.026137,0 days 00:02:14.094663,37,15,101,13,69,135,COMPLETE
171,5983.103587898292,2026-01-07 10:57:41.848406,2026-01-07 11:00:06.060052,0 days 00:02:24.211646,37,15,33,3,69,135,COMPLETE
172,6249.545519075915,2026-01-07 10:57:43.774604,2026-01-07 11:00:14.939095,0 days 00:02:31.164491,37,20,100,3,69,135,COMPLETE
173,6656.2993734498505,2026-01-07 10:57:47.328779,2026-01-07 11:00:13.115351,0 days 00:02:25.786572,37,20,33,3,69,135,COMPLETE
174,6299.225568229804,2026-01-07 10:57:49.346153,2026-01-07 11:00:17.664619,0 days 00:02:28.318466,37,20,115,3,69,135,COMPLETE
175,5792.852810088505,2026-01-07 10:57:54.415890,2026-01-07 11:00:14.006401,0 days 00:02:19.590511,37,20,57,3,69,135,COMPLETE
176,4930.555891746757,2026-01-07 10:58:01.861395,2026-01-07 11:00:26.944752,0 days 00:02:25.083357,37,20,54,3,69,135,COMPLETE
177,5736.469958376854,2026-01-07 10:58:03.816949,2026-01-07 11:00:25.623011,0 days 00:02:21.806062,35,25,86,3,69,135,COMPLETE
178,829.4938004323303,2026-01-07 10:58:05.758575,2026-01-07 11:00:10.484560,0 days 00:02:04.725985,37,25,84,9,69,135,COMPLETE
179,642.9847205680077,2026-01-07 10:58:07.722356,2026-01-07 10:59:55.805550,0 days 00:01:48.083194,37,25,86,8,69,125,COMPLETE
180,454.4463630776114,2026-01-07 10:58:08.451676,2026-01-07 11:00:05.379428,0 days 00:01:56.927752,37,10,100,9,69,125,COMPLETE
181,225.82260822138602,2026-01-07 10:58:09.442943,2026-01-07 11:00:34.337936,0 days 00:02:24.894993,37,10,57,13,69,125,COMPLETE
182,555.2568837330749,2026-01-07 10:58:11.185950,2026-01-07 11:00:15.636457,0 days 00:02:04.450507,37,25,84,9,69,125,COMPLETE
183,838.2416475318539,2026-01-07 10:58:12.300402,2026-01-07 11:00:38.318921,0 days 00:02:26.018519,37,25,64,13,69,125,COMPLETE
184,198.87350821852303,2026-01-07 10:58:13.170097,2026-01-07 11:00:17.665810,0 days 00:02:04.495713,37,25,70,9,69,125,COMPLETE
185,556.0932216098819,2026-01-07 10:58:13.195888,2026-01-07 11:00:44.101162,0 days 00:02:30.905274,35,25,56,13,71,125,COMPLETE
186,653.8309301699946,2026-01-07 10:58:15.473388,2026-01-07 11:00:39.455393,0 days 00:02:23.982005,37,25,83,14,69,125,COMPLETE
